agent_name,total_utilization,Split,Abyss,Pearl,Lotus,Bind,Haven,Fracture
Omen,46.0,59.0,50.0,0.0,100.0,0.0,83.0,0.0
Raze,44.0,73.0,0.0,0.0,78.0,100.0,0.0,88.0
Astra,43.0,41.0,90.0,100.0,0.0,0.0,8.0,0.0
Breach,41.0,45.0,15.0,5.0,78.0,0.0,92.0,88.0
Sova,36.0,0.0,95.0,50.0,0.0,0.0,75.0,25.0
Jett,35.0,18.0,80.0,50.0,6.0,0.0,67.0,0.0
Viper,32.0,82.0,15.0,0.0,28.0,83.0,0.0,0.0
Tejo,32.0,41.0,5.0,40.0,50.0,8.0,25.0,63.0
Vyse,28.0,0.0,15.0,65.0,39.0,25.0,17.0,38.0
Cypher,28.0,36.0,25.0,15.0,17.0,8.0,83.0,13.0
Yoru,25.0,27.0,25.0,50.0,11.0,8.0,25.0,13.0
Kayo,21.0,0.0,65.0,35.0,0.0,25.0,0.0,0.0
Fade,20.0,0.0,0.0,45.0,44.0,42.0,0.0,0.0
Brimstone,18.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
Skye,17.0,59.0,0.0,0.0,0.0,50.0,0.0,0.0
Killjoy,9.0,0.0,0.0,20.0,11.0,0.0,0.0,50.0
Chamber,7.0,9.0,15.0,15.0,0.0,0.0,0.0,0.0
Deadlock,4.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0
Gekko,4.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0
Clove,4.0,0.0,0.0,0.0,11.0,0.0,8.0,13.0
Neon,3.0,0.0,0.0,0.0,11.0,0.0,8.0,0.0
Sage,3.0,9.0,0.0,0.0,0.0,0.0,0.0,13.0
Phoenix,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
Iso,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
Harbor,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Reyna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waylay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
