match_id,map_name,map_order,score,winner,duration,picked_by
427991,Split,1,12 - 14,LOUD,1:13:09,LOUD
427991,Pearl,2,10 - 13,LOUD,53:34,Evil Geniuses
427992,Lotus,1,4 - 13,100 Thieves,40:14,MIBR
427992,Bind,2,9 - 13,100 Thieves,51:35,100 Thieves
427994,Haven,1,7 - 13,FURIA,54:22,2Game Esports
427994,Lotus,2,5 - 13,FURIA,38:57,FURIA
427993,Fracture,1,12 - 14,Cloud9,1:10:03,NRG
427993,Lotus,2,10 - 13,Cloud9,56:46,Cloud9
427995,Haven,1,7 - 13,LOUD,52:26,LOUD
427995,Split,2,10 - 13,LOUD,56:04,KRÜ Esports
427996,Split,1,4 - 13,100 Thieves,49:02,Sentinels
427996,Bind,2,13 - 9,Sentinels,54:05,100 Thieves
427996,Pearl,3,13 - 9,Sentinels,51:15,Decider
427998,Haven,1,13 - 8,LEVIATÁN,58:40,FURIA
427998,Split,2,13 - 6,LEVIATÁN,46:44,LEVIATÁN
427997,Lotus,1,13 - 6,G2 Esports,48:13,Cloud9
427997,Abyss,2,13 - 8,G2 Esports,48:17,G2 Esports
428003,Abyss,1,7 - 13,Evil Geniuses,1:00:42,Evil Geniuses
428003,Fracture,2,7 - 13,Evil Geniuses,48:55,FURIA
428004,Lotus,1,13 - 7,Cloud9,55:57,Cloud9
428004,Abyss,2,10 - 13,MIBR,53:31,MIBR
428004,Pearl,3,7 - 13,MIBR,47:23,Decider
428006,Abyss,1,13 - 3,KRÜ Esports,50:41,2Game Esports
428006,Split,2,13 - 2,KRÜ Esports,38:23,KRÜ Esports
428005,Lotus,1,14 - 12,100 Thieves,1:19:06,100 Thieves
428005,Pearl,2,9 - 13,NRG,57:20,NRG
428005,Bind,3,9 - 13,NRG,56:00,Decider
427999,Lotus,1,13 - 11,LOUD,1:12:39,LOUD
427999,Pearl,2,11 - 13,Sentinels,55:49,Sentinels
427999,Split,3,9 - 13,Sentinels,48:58,Decider
428000,Pearl,1,13 - 5,G2 Esports,55:44,G2 Esports
428000,Fracture,2,13 - 9,G2 Esports,48:43,LEVIATÁN
428007,Abyss,1,10 - 13,MIBR,1:05:03,MIBR
428007,Split,2,3 - 13,MIBR,38:31,Evil Geniuses
428008,Abyss,1,8 - 13,KRÜ Esports,1:00:37,KRÜ Esports
428008,Haven,2,13 - 10,NRG,54:23,NRG
428008,Bind,3,7 - 13,KRÜ Esports,46:50,Decider
428009,Lotus,1,13 - 7,LEVIATÁN,1:04:05,LEVIATÁN
428009,Pearl,2,9 - 13,MIBR,51:33,MIBR
428009,Split,3,12 - 14,MIBR,57:46,Decider
428010,Bind,1,5 - 13,KRÜ Esports,49:17,KRÜ Esports
428010,Haven,2,11 - 13,KRÜ Esports,55:40,LOUD
428001,Abyss,1,7 - 13,G2 Esports,1:03:27,G2 Esports
428001,Pearl,2,7 - 13,G2 Esports,45:55,Sentinels
428011,Bind,1,8 - 13,KRÜ Esports,1:01:39,KRÜ Esports
428011,Abyss,2,13 - 8,MIBR,46:51,MIBR
428011,Split,3,13 - 11,MIBR,56:34,Decider
428012,Lotus,1,13 - 7,Sentinels,54:21,Sentinels
428012,Abyss,2,13 - 5,Sentinels,42:35,MIBR
428012,Pearl,3,19 - 21,MIBR,1:38:58,Sentinels
428012,Split,4,13 - 7,Sentinels,48:24,MIBR
428002,Split,1,4 - 13,Sentinels,49:03,G2 Esports
428002,Pearl,2,13 - 8,G2 Esports,50:39,Sentinels
428002,Abyss,3,9 - 13,Sentinels,47:58,G2 Esports
428002,Fracture,4,13 - 5,G2 Esports,34:08,Sentinels
428002,Haven,5,13 - 10,G2 Esports,52:56,Decider
