match_id,event_name,event_stage,match_date,team1,team2,score_overall,player_name,player_id,player_team,stat_type,agent,rating,acs,k,d,a,kd_diff,kast,adr,hs_percent,fk,fd,fk_fd_diff,map_name,map_winner
427991,VCT 2025: Americas Kickoff,"Main Event: 
						Upper Round 1",2025-01-16 17:00:00,Evil Geniuses,LOUD,0 - 2,yay,881,Evil Geniuses,overall,"Chamber, Phoenix",1.00,209,35,33,9,+2,57%,142,29%,8,6,+2,,
427991,VCT 2025: Americas Kickoff,"Main Event: 
						Upper Round 1",2025-01-16 17:00:00,Evil Geniuses,LOUD,0 - 2,NaturE,4927,Evil Geniuses,overall,"Viper, Vyse",0.97,198,33,34,9,-1,71%,132,24%,5,2,+3,,
427991,VCT 2025: Americas Kickoff,"Main Event: 
						Upper Round 1",2025-01-16 17:00:00,Evil Geniuses,LOUD,0 - 2,icy,8402,Evil Geniuses,overall,"Raze, Jett",0.95,193,34,35,7,-1,65%,135,20%,4,8,-4,,
427991,VCT 2025: Americas Kickoff,"Main Event: 
						Upper Round 1",2025-01-16 17:00:00,Evil Geniuses,LOUD,0 - 2,supamen,826,Evil Geniuses,overall,"Omen, Astra",0.93,162,30,31,14,-1,69%,95,25%,3,4,-1,,
427991,VCT 2025: Americas Kickoff,"Main Event: 
						Upper Round 1",2025-01-16 17:00:00,Evil Geniuses,LOUD,0 - 2,Derrek,1533,Evil Geniuses,overall,"Skye, Sova",0.81,161,25,34,23,-9,73%,109,31%,3,6,-3,,
427991,VCT 2025: Americas Kickoff,"Main Event: 
						Upper Round 1",2025-01-16 17:00:00,Evil Geniuses,LOUD,0 - 2,dgzin,8873,LOUD,overall,"Raze, Jett",1.26,245,41,30,8,+11,69%,165,25%,13,6,+7,,
427991,VCT 2025: Americas Kickoff,"Main Event: 
						Upper Round 1",2025-01-16 17:00:00,Evil Geniuses,LOUD,0 - 2,cauanzin,6193,LOUD,overall,"Tejo, Sova",1.22,260,41,35,11,+6,65%,172,33%,5,8,-3,,
427991,VCT 2025: Americas Kickoff,"Main Event: 
						Upper Round 1",2025-01-16 17:00:00,Evil Geniuses,LOUD,0 - 2,v1nny,1586,LOUD,overall,"Breach, Kayo",1.19,191,33,29,27,+4,76%,134,30%,2,3,-1,,
427991,VCT 2025: Americas Kickoff,"Main Event: 
						Upper Round 1",2025-01-16 17:00:00,Evil Geniuses,LOUD,0 - 2,pANcada,683,LOUD,overall,Astra,0.98,159,28,29,19,-1,82%,107,37%,2,2,0,,
427991,VCT 2025: Americas Kickoff,"Main Event: 
						Upper Round 1",2025-01-16 17:00:00,Evil Geniuses,LOUD,0 - 2,tuyz,2408,LOUD,overall,Cypher,0.71,129,24,34,15,-10,65%,85,29%,4,4,0,,
427991,VCT 2025: Americas Kickoff,"Main Event: 
						Upper Round 1",2025-01-16 17:00:00,Evil Geniuses,LOUD,0 - 2,yay,881,Evil Geniuses,map,Chamber,1.06,180,18,15,1,+3,54%,112,22%,5,3,+2,Split,LOUD
427991,VCT 2025: Americas Kickoff,"Main Event: 
						Upper Round 1",2025-01-16 17:00:00,Evil Geniuses,LOUD,0 - 2,icy,8402,Evil Geniuses,map,Raze,0.99,204,18,18,6,0,69%,146,19%,1,3,-2,Split,LOUD
