player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
penny,penny,FUR,7716,"['Jett', 'Raze']",2,38,1.37,266.0,1.68,82%,165.9,0.97,0.21,0.18,0.11,24%,25%,1/4,22,37,22,8,7,4
mada,mada,NRG,5132,"['Raze', 'Jett', 'Yoru', 'Neon']",4,183,1.29,277.3,1.37,75%,173.6,0.97,0.19,0.2,0.21,22%,26%,5/19,30,178,130,35,37,39
bdog,bdog,FUR,844,['Breach'],1,38,1.28,212.5,1.33,79%,125.5,0.74,0.55,0.05,0.0,35%,0%,0/8,16,28,21,21,2,0
aspas,aspas,MIBR,8480,"['Raze', 'Jett']",2,373,1.26,248.8,1.38,77%,163.4,0.89,0.13,0.2,0.12,23%,7%,3/42,37,332,241,48,73,45
trent,trent,G2,15500,"['Tejo', 'Sova']",2,221,1.26,217.2,1.42,75%,150.7,0.81,0.21,0.1,0.07,28%,26%,7/27,23,179,126,47,21,16
Shyy,Shyy,KRÜ,24007,"['Cypher', 'Viper', 'Vyse']",3,246,1.2,213.1,1.22,77%,141.9,0.76,0.23,0.08,0.04,28%,24%,9/38,25,188,154,56,19,9
leaf,leaf,G2,7873,"['Viper', 'Chamber', 'Vyse']",3,221,1.19,230.0,1.27,71%,151.6,0.84,0.2,0.15,0.09,27%,22%,7/32,24,186,146,44,34,19
dgzin,dgzin,LOUD,8873,"['Raze', 'Jett']",2,204,1.19,238.9,1.35,70%,156.1,0.86,0.12,0.21,0.12,26%,13%,2/16,28,175,130,25,42,24
jakee,jakee,FUR,8742,"['Clove', 'Omen']",2,38,1.16,221.0,1.16,82%,141.7,0.76,0.47,0.03,0.11,25%,0%,,19,29,25,18,1,4
gobera,gobera,2G,14950,"['Vyse', 'Jett', 'Omen']",3,69,1.16,239.5,1.07,75%,157.2,0.84,0.29,0.1,0.06,32%,6%,1/18,23,58,54,20,7,4
