match_id,event_name,event_stage,match_date,team1,team2,score_overall,player_name,player_id,player_team,stat_type,agent,rating,acs,k,d,a,kd_diff,kast,adr,hs_percent,fk,fd,fk_fd_diff,map_name,map_winner
459517,VCT 2025: Americas Stage 1,"Group Stage: 
						Week 1",2025-03-21 17:00:00,Cloud9,NRG,2 - 1,Xeppaa,7871,Cloud9,overall,"Tejo, Yoru",1.19,238,50,40,13,+10,73%,156,29%,6,6,0,,
459517,VCT 2025: Americas Stage 1,"Group Stage: 
						Week 1",2025-03-21 17:00:00,Cloud9,NRG,2 - 1,mitch,612,Cloud9,overall,"Breach, Sova",1.05,206,45,42,24,+3,78%,133,24%,4,4,0,,
459517,VCT 2025: Americas Stage 1,"Group Stage: 
						Week 1",2025-03-21 17:00:00,Cloud9,NRG,2 - 1,neT,6582,Cloud9,overall,"Deadlock, Cypher",0.99,177,39,38,11,+1,64%,113,46%,7,4,+3,,
459517,VCT 2025: Americas Stage 1,"Group Stage: 
						Week 1",2025-03-21 17:00:00,Cloud9,NRG,2 - 1,OXY,18796,Cloud9,overall,"Raze, Neon, Jett",0.99,239,48,51,9,-3,69%,159,27%,9,7,+2,,
459517,VCT 2025: Americas Stage 1,"Group Stage: 
						Week 1",2025-03-21 17:00:00,Cloud9,NRG,2 - 1,v1c,17433,Cloud9,overall,"Omen, Brimstone, Astra",0.97,147,32,39,35,-7,71%,92,27%,5,7,-2,,
459517,VCT 2025: Americas Stage 1,"Group Stage: 
						Week 1",2025-03-21 17:00:00,Cloud9,NRG,2 - 1,s0m,4164,NRG,overall,"Omen, Brimstone, Astra",1.33,257,52,40,37,+12,83%,167,28%,6,4,+2,,
459517,VCT 2025: Americas Stage 1,"Group Stage: 
						Week 1",2025-03-21 17:00:00,Cloud9,NRG,2 - 1,brawk,2172,NRG,overall,"Tejo, Sova",1.05,183,44,40,14,+4,71%,120,25%,2,4,-2,,
459517,VCT 2025: Americas Stage 1,"Group Stage: 
						Week 1",2025-03-21 17:00:00,Cloud9,NRG,2 - 1,mada,5132,NRG,overall,"Neon, Raze",0.95,222,44,46,16,-2,68%,143,23%,11,11,0,,
459517,VCT 2025: Americas Stage 1,"Group Stage: 
						Week 1",2025-03-21 17:00:00,Cloud9,NRG,2 - 1,FiNESSE,817,NRG,overall,"Vyse, Cypher, Killjoy",0.80,165,32,41,12,-9,73%,123,21%,4,7,-3,,
459517,VCT 2025: Americas Stage 1,"Group Stage: 
						Week 1",2025-03-21 17:00:00,Cloud9,NRG,2 - 1,Ethan,11225,NRG,overall,"Breach, Yoru",0.77,189,38,48,20,-10,69%,114,17%,5,5,0,,
459517,VCT 2025: Americas Stage 1,"Group Stage: 
						Week 1",2025-03-21 17:00:00,Cloud9,NRG,2 - 1,neT,6582,Cloud9,map,Deadlock,1.06,227,16,16,2,0,63%,139,42%,2,1,+1,Lotus,NRG
459517,VCT 2025: Americas Stage 1,"Group Stage: 
						Week 1",2025-03-21 17:00:00,Cloud9,NRG,2 - 1,mitch,612,Cloud9,map,Breach,0.78,164,11,15,2,-4,63%,110,31%,1,3,-2,Lotus,NRG
459517,VCT 2025: Americas Stage 1,"Group Stage: 
						Week 1",2025-03-21 17:00:00,Cloud9,NRG,2 - 1,Xeppaa,7871,Cloud9,map,Tejo,0.76,183,11,16,3,-5,68%,129,30%,2,2,0,Lotus,NRG
459517,VCT 2025: Americas Stage 1,"Group Stage: 
						Week 1",2025-03-21 17:00:00,Cloud9,NRG,2 - 1,v1c,17433,Cloud9,map,Omen,0.74,152,10,16,3,-6,58%,109,31%,1,2,-1,Lotus,NRG
459517,VCT 2025: Americas Stage 1,"Group Stage: 
						Week 1",2025-03-21 17:00:00,Cloud9,NRG,2 - 1,OXY,18796,Cloud9,map,Raze,0.44,149,9,18,1,-9,47%,111,25%,1,4,-3,Lotus,NRG
459517,VCT 2025: Americas Stage 1,"Group Stage: 
						Week 1",2025-03-21 17:00:00,Cloud9,NRG,2 - 1,s0m,4164,NRG,map,Omen,1.63,346,24,11,5,+13,84%,218,32%,4,1,+3,Lotus,NRG
459517,VCT 2025: Americas Stage 1,"Group Stage: 
						Week 1",2025-03-21 17:00:00,Cloud9,NRG,2 - 1,brawk,2172,NRG,map,Tejo,1.49,237,19,9,7,+10,84%,148,27%,1,0,+1,Lotus,NRG
459517,VCT 2025: Americas Stage 1,"Group Stage: 
						Week 1",2025-03-21 17:00:00,Cloud9,NRG,2 - 1,Ethan,11225,NRG,map,Breach,1.27,248,18,14,11,+4,100%,152,22%,2,1,+1,Lotus,NRG
459517,VCT 2025: Americas Stage 1,"Group Stage: 
						Week 1",2025-03-21 17:00:00,Cloud9,NRG,2 - 1,FiNESSE,817,NRG,map,Vyse,1.11,156,10,8,8,+2,89%,117,13%,0,0,0,Lotus,NRG
459517,VCT 2025: Americas Stage 1,"Group Stage: 
						Week 1",2025-03-21 17:00:00,Cloud9,NRG,2 - 1,mada,5132,NRG,map,Neon,0.61,172,10,15,5,-5,63%,107,26%,5,5,0,Lotus,NRG
459517,VCT 2025: Americas Stage 1,"Group Stage: 
						Week 1",2025-03-21 17:00:00,Cloud9,NRG,2 - 1,Xeppaa,7871,Cloud9,map,Tejo,1.81,309,22,9,3,+13,78%,202,27%,2,2,0,Fracture,Cloud9
459517,VCT 2025: Americas Stage 1,"Group Stage: 
						Week 1",2025-03-21 17:00:00,Cloud9,NRG,2 - 1,mitch,612,Cloud9,map,Breach,1.34,243,16,12,14,+4,89%,149,20%,0,1,-1,Fracture,Cloud9
459517,VCT 2025: Americas Stage 1,"Group Stage: 
						Week 1",2025-03-21 17:00:00,Cloud9,NRG,2 - 1,neT,6582,Cloud9,map,Cypher,1.07,160,11,9,4,+2,61%,99,58%,2,2,0,Fracture,Cloud9
459517,VCT 2025: Americas Stage 1,"Group Stage: 
						Week 1",2025-03-21 17:00:00,Cloud9,NRG,2 - 1,v1c,17433,Cloud9,map,Brimstone,1.04,143,10,11,16,-1,89%,76,11%,2,1,+1,Fracture,Cloud9
459517,VCT 2025: Americas Stage 1,"Group Stage: 
						Week 1",2025-03-21 17:00:00,Cloud9,NRG,2 - 1,OXY,18796,Cloud9,map,Neon,0.91,254,15,17,5,-2,78%,169,34%,4,2,+2,Fracture,Cloud9
459517,VCT 2025: Americas Stage 1,"Group Stage: 
						Week 1",2025-03-21 17:00:00,Cloud9,NRG,2 - 1,mada,5132,NRG,map,Raze,1.09,229,15,14,3,+1,72%,145,18%,2,1,+1,Fracture,Cloud9
459517,VCT 2025: Americas Stage 1,"Group Stage: 
						Week 1",2025-03-21 17:00:00,Cloud9,NRG,2 - 1,Ethan,11225,NRG,map,Breach,0.89,220,14,15,6,-1,83%,131,22%,2,1,+1,Fracture,Cloud9
459517,VCT 2025: Americas Stage 1,"Group Stage: 
						Week 1",2025-03-21 17:00:00,Cloud9,NRG,2 - 1,s0m,4164,NRG,map,Brimstone,0.84,169,10,15,16,-5,78%,113,22%,1,3,-2,Fracture,Cloud9
459517,VCT 2025: Americas Stage 1,"Group Stage: 
						Week 1",2025-03-21 17:00:00,Cloud9,NRG,2 - 1,brawk,2172,NRG,map,Tejo,0.61,147,10,16,3,-6,56%,103,23%,0,1,-1,Fracture,Cloud9
459517,VCT 2025: Americas Stage 1,"Group Stage: 
						Week 1",2025-03-21 17:00:00,Cloud9,NRG,2 - 1,FiNESSE,817,NRG,map,Cypher,0.61,161,9,15,3,-6,56%,120,20%,3,4,-1,Fracture,Cloud9
