map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Lotus,C9,0,4 (0),0 (0),5 (1),10 (5),459517
Lotus,NRG,2,2 (2),0 (0),8 (6),9 (5),459517
Fracture,C9,1,3 (2),0 (0),3 (3),12 (8),459517
Fracture,NRG,1,3 (1),1 (0),8 (3),6 (1),459517
All Maps,C9,2,2 (2),2 (0),6 (4),12 (7),459517
All Maps,NRG,0,3 (0),3 (1),7 (5),9 (3),459517
Fracture,KRÜ,0,3 (0),2 (1),5 (2),6 (0),459518
Fracture,LOUD,2,3 (2),0 (0),2 (1),11 (10),459518
Haven,KRÜ,2,2 (2),0 (0),5 (4),8 (7),459518
Haven,LOUD,0,3 (0),3 (0),3 (1),6 (1),459518
All Maps,KRÜ,2,4 (2),2 (1),6 (3),11 (7),459518
All Maps,LOUD,0,4 (1),2 (0),4 (2),13 (7),459518
Lotus,G2,1,3 (1),3 (0),4 (4),13 (8),459519
Lotus,FUR,1,3 (1),2 (0),6 (2),12 (7),459519
Ascent,G2,2,3 (2),1 (1),5 (2),11 (8),459519
Ascent,FUR,0,4 (1),0 (0),5 (3),11 (3),459519
All Maps,G2,3,6 (3),4 (1),9 (6),24 (16),459519
All Maps,FUR,1,7 (2),2 (0),11 (5),23 (10),459519
Split,MIBR,2,2 (2),0 (0),6 (3),12 (8),459520
Split,LEV,0,4 (0),2 (0),2 (0),12 (7),459520
Icebox,MIBR,2,2 (2),1 (0),5 (3),13 (8),459520
Icebox,LEV,0,4 (0),1 (0),3 (0),13 (8),459520
All Maps,MIBR,4,4 (4),1 (0),11 (6),25 (16),459520
All Maps,LEV,0,8 (0),3 (0),5 (0),25 (15),459520
Haven,2G,1,4 (1),1 (0),4 (1),15 (9),459521
Haven,EG,1,3 (2),2 (0),6 (3),13 (8),459521
Lotus,2G,0,4 (1),1 (0),4 (1),12 (6),459521
Lotus,EG,2,2 (2),2 (0),4 (3),13 (8),459521
All Maps,2G,1,8 (2),2 (0),8 (2),27 (15),459521
All Maps,EG,3,5 (4),4 (0),10 (6),26 (16),459521
Pearl,SEN,2,3 (2),0 (0),4 (2),11 (9),459522
Pearl,100T,0,4 (1),2 (0),3 (1),9 (3),459522
Haven,SEN,0,4 (0),1 (0),3 (1),14 (8),459522
Haven,100T,2,2 (2),0 (0),4 (3),16 (8),459522
All Maps,SEN,2,2 (2),0 (0),3 (3),9 (8),459522
All Maps,100T,0,3 (0),3 (0),3 (0),5 (1),459522
Lotus,NRG,0,4 (0),1 (0),3 (2),15 (8),459523
Lotus,FUR,2,2 (2),1 (0),10 (6),10 (5),459523
Pearl,NRG,2,2 (2),0 (0),4 (4),9 (7),459523
Pearl,FUR,0,3 (0),1 (0),9 (2),2 (0),459523
All Maps,NRG,1,3 (1),0 (0),3 (3),11 (9),459523
All Maps,FUR,1,3 (1),0 (0),12 (3),2 (0),459523
Lotus,SEN,1,3 (1),1 (1),4 (2),12 (3),459524
Lotus,KRÜ,1,3 (1),1 (0),2 (1),14 (11),459524
Icebox,SEN,0,4 (0),1 (0),3 (0),13 (8),459524
Icebox,KRÜ,2,2 (2),1 (0),6 (4),12 (7),459524
y,SEN,1,7 (1),2 (1),7 (2),25 (11),459524
y,KRÜ,3,5 (3),2 (0),8 (5),26 (18),459524
Fracture,100T,0,4 (1),2 (2),0 (0),17 (10),459525
Fracture,EG,2,2 (2),2 (1),10 (4),9 (3),459525
Haven,100T,2,2 (2),1 (0),6 (3),11 (8),459525
Haven,EG,0,4 (0),2 (0),6 (3),8 (4),459525
All Maps,100T,2,6 (3),3 (2),6 (3),28 (18),459525
All Maps,EG,2,6 (2),4 (1),16 (7),17 (7),459525
Pearl,G2,1,3 (1),1 (1),5 (3),17 (7),459526
Pearl,MIBR,1,3 (1),1 (0),9 (5),13 (8),459526
Haven,G2,1,2 (1),1 (0),9 (5),12 (7),459526
Haven,MIBR,1,3 (1),1 (0),5 (3),15 (7),459526
All Maps,G2,2,2 (2),1 (0),8 (5),10 (6),459526
All Maps,MIBR,0,3 (0),2 (1),5 (0),11 (7),459526
Lotus,LOUD,1,3 (1),1 (0),5 (4),17 (7),459527
Lotus,2G,1,3 (1),1 (0),3 (1),19 (12),459527
Pearl,LOUD,0,4 (0),2 (1),2 (1),16 (9),459527
Pearl,2G,2,2 (2),6 (1),3 (3),13 (7),459527
All Maps,LOUD,1,7 (1),3 (1),7 (5),33 (16),459527
All Maps,2G,3,5 (3),7 (1),6 (4),32 (19),459527
Split,LEV,1,3 (1),3 (0),5 (3),10 (4),459528
Split,C9,1,3 (1),0 (0),4 (3),14 (9),459528
Ascent,LEV,0,3 (0),4 (1),3 (1),6 (1),459528
Ascent,C9,2,3 (2),0 (0),3 (2),10 (9),459528
All Maps,LEV,1,6 (1),7 (1),8 (4),16 (5),459528
All Maps,C9,3,6 (3),0 (0),7 (5),24 (18),459528
Haven,EG,1,3 (1),2 (1),6 (1),6 (1),459529
Haven,SEN,1,3 (1),0 (0),1 (1),13 (11),459529
Pearl,EG,0,5 (0),1 (0),6 (3),7 (3),459529
Pearl,SEN,2,2 (2),0 (0),8 (5),9 (6),459529
All Maps,EG,1,8 (1),3 (1),12 (4),13 (4),459529
All Maps,SEN,3,5 (3),0 (0),9 (6),22 (17),459529
Haven,100T,0,4 (0),0 (0),6 (4),9 (2),459530
Haven,LOUD,2,2 (2),0 (0),4 (4),13 (7),459530
Icebox,100T,2,3 (2),3 (1),3 (1),15 (9),459530
Icebox,LOUD,0,4 (1),1 (0),5 (0),14 (10),459530
All Maps,100T,0,4 (0),1 (0),1 (1),15 (12),459530
All Maps,LOUD,2,2 (2),1 (0),10 (3),8 (3),459530
Icebox,2G,1,3 (1),2 (0),5 (2),9 (3),459531
Icebox,KRÜ,1,3 (1),1 (1),1 (1),14 (10),459531
Ascent,2G,2,2 (2),0 (0),4 (3),13 (8),459531
Ascent,KRÜ,0,4 (0),0 (0),5 (1),10 (5),459531
All Maps,2G,1,3 (1),2 (0),5 (2),9 (3),459531
All Maps,KRÜ,1,3 (1),1 (0),4 (3),11 (9),459531
Lotus,G2,2,2 (2),0 (0),3 (3),9 (8),459532
Lotus,NRG,0,3 (0),2 (0),3 (0),6 (1),459532
Ascent,G2,1,2 (1),2 (0),6 (5),9 (7),459532
Ascent,NRG,1,3 (1),3 (0),5 (2),8 (3),459532
All Maps,G2,3,4 (3),2 (0),9 (8),18 (15),459532
All Maps,NRG,1,6 (1),5 (0),8 (2),14 (4),459532
Ascent,FUR,0,4 (0),1 (0),2 (1),10 (3),459533
Ascent,LEV,2,3 (2),0 (0),5 (5),9 (6),459533
Pearl,FUR,0,5 (0),0 (0),11 (3),2 (2),459533
Pearl,LEV,2,2 (2),1 (1),5 (4),10 (6),459533
All Maps,FUR,0,9 (0),1 (0),13 (4),12 (5),459533
All Maps,LEV,4,5 (4),1 (1),10 (9),19 (12),459533
Pearl,C9,1,3 (1),1 (0),2 (2),16 (10),459534
Pearl,MIBR,1,3 (1),2 (1),7 (3),10 (4),459534
Lotus,C9,1,3 (1),0 (0),8 (4),17 (8),459534
Lotus,MIBR,1,3 (1),0 (0),10 (4),15 (10),459534
All Maps,C9,1,2 (1),1 (0),7 (2),14 (8),459534
All Maps,MIBR,1,2 (1),2 (0),9 (5),11 (7),459534
Ascent,100T,1,4 (1),4 (2),3 (0),17 (12),459535
Ascent,2G,1,3 (2),2 (0),3 (2),20 (9),459535
Icebox,100T,0,4 (1),1 (1),0 (0),14 (11),459535
Icebox,2G,2,2 (2),3 (0),6 (3),8 (1),459535
All Maps,100T,1,8 (2),5 (3),3 (0),31 (23),459535
All Maps,2G,3,5 (4),5 (0),9 (5),28 (10),459535
Lotus,G2,0,3 (0),0 (0),7 (5),13 (8),459536
Lotus,LEV,2,3 (2),1 (0),4 (1),15 (7),459536
Fracture,G2,2,2 (2),3 (2),8 (4),11 (3),459536
Fracture,LEV,0,4 (1),2 (0),1 (1),17 (11),459536
All Maps,G2,0,4 (0),1 (0),1 (1),14 (12),459536
All Maps,LEV,2,2 (2),3 (0),7 (2),8 (3),459536
Lotus,FUR,1,3 (1),0 (0),9 (4),18 (9),459537
Lotus,C9,1,3 (1),1 (0),6 (1),20 (14),459537
Pearl,FUR,0,3 (0),2 (0),8 (1),1 (0),459537
Pearl,C9,2,2 (2),0 (0),3 (3),9 (8),459537
All Maps,FUR,1,6 (1),2 (0),17 (5),19 (9),459537
All Maps,C9,3,5 (3),1 (0),9 (4),29 (22),459537
Split,SEN,1,3 (2),0 (0),5 (3),15 (8),459538
Split,LOUD,1,4 (1),2 (1),3 (1),14 (7),459538
Lotus,SEN,1,4 (2),1 (0),3 (1),16 (8),459538
Lotus,LOUD,1,3 (1),2 (0),1 (1),18 (11),459538
All Maps,SEN,1,3 (2),1 (0),3 (2),11 (9),459538
All Maps,LOUD,1,3 (1),4 (1),2 (0),9 (3),459538
Lotus,KRÜ,1,3 (1),1 (0),7 (2),6 (1),459539
Lotus,EG,1,3 (2),0 (0),2 (1),12 (10),459539
Pearl,KRÜ,1,3 (1),3 (0),6 (3),8 (3),459539
Pearl,EG,1,3 (1),2 (1),5 (5),10 (6),459539
All Maps,KRÜ,2,6 (2),4 (0),13 (5),14 (4),459539
All Maps,EG,2,6 (3),2 (1),7 (6),22 (16),459539
Haven,NRG,1,3 (1),0 (0),5 (2),11 (3),459540
Haven,MIBR,1,3 (1),1 (0),3 (3),12 (9),459540
Icebox,NRG,2,2 (2),1 (0),10 (3),5 (0),459540
Icebox,MIBR,0,4 (1),0 (0),0 (0),14 (12),459540
All Maps,NRG,3,5 (3),1 (0),15 (5),16 (3),459540
All Maps,MIBR,1,7 (2),1 (0),3 (3),26 (21),459540
Icebox,G2,1,3 (1),1 (1),2 (2),12 (9),459541
Icebox,C9,1,3 (1),2 (0),6 (2),7 (2),459541
Haven,G2,0,3 (0),3 (1),5 (1),6 (2),459541
Haven,C9,2,2 (2),0 (0),5 (4),10 (7),459541
All Maps,G2,2,2 (2),3 (1),7 (4),12 (6),459541
All Maps,C9,0,4 (0),2 (1),1 (1),17 (9),459541
Icebox,MIBR,2,2 (2),0 (0),5 (3),9 (8),459542
Icebox,FUR,0,4 (0),0 (0),5 (0),7 (3),459542
Ascent,MIBR,2,2 (2),0 (0),9 (2),11 (5),459542
Ascent,FUR,0,4 (0),1 (0),5 (3),12 (10),459542
All Maps,MIBR,1,3 (2),0 (0),5 (4),13 (7),459542
All Maps,FUR,1,3 (1),3 (0),5 (2),10 (5),459542
Haven,SEN,1,3 (1),0 (0),2 (1),12 (11),459543
Haven,2G,1,3 (1),2 (0),6 (1),6 (2),459543
Pearl,SEN,2,2 (2),1 (1),8 (7),7 (3),459543
Pearl,2G,0,4 (0),0 (0),4 (1),10 (4),459543
ban,SEN,3,5 (3),1 (1),10 (8),19 (14),459543
ban,2G,1,7 (1),2 (0),10 (2),16 (6),459543
Fracture,KRÜ,1,3 (1),1 (0),4 (4),15 (8),459544
Fracture,100T,1,3 (1),1 (0),5 (1),14 (8),459544
Icebox,KRÜ,1,3 (1),1 (1),4 (2),14 (9),459544
Icebox,100T,1,3 (2),3 (1),6 (2),10 (4),459544
All Maps,KRÜ,2,6 (2),2 (1),8 (6),29 (17),459544
All Maps,100T,2,6 (3),4 (1),11 (3),24 (12),459544
Lotus,EG,1,4 (1),2 (1),9 (4),9 (5),459545
Lotus,LOUD,1,3 (1),3 (1),2 (2),16 (9),459545
Pearl,EG,0,4 (0),4 (3),3 (2),15 (9),459545
Pearl,LOUD,2,2 (2),1 (0),7 (3),16 (7),459545
All Maps,EG,1,3 (1),3 (1),5 (3),13 (8),459545
All Maps,LOUD,1,3 (1),0 (0),6 (3),15 (7),459545
Fracture,LEV,0,4 (0),0 (0),0 (0),24 (13),459546
Fracture,NRG,2,2 (2),0 (0),12 (6),14 (7),459546
Icebox,LEV,0,4 (0),1 (0),4 (2),12 (6),459546
Icebox,NRG,2,2 (2),1 (0),6 (4),12 (7),459546
All Maps,LEV,0,8 (0),1 (0),4 (2),36 (19),459546
All Maps,NRG,4,4 (4),1 (0),18 (10),26 (14),459546
Split,MIBR,2,2 (2),1 (0),3 (2),17 (9),475897
Split,100T,0,4 (0),3 (1),2 (1),14 (8),475897
Icebox,MIBR,1,3 (2),0 (0),3 (3),11 (8),475897
Icebox,100T,1,4 (1),2 (1),5 (1),6 (1),475897
All Maps,MIBR,3,5 (4),1 (0),6 (5),28 (17),475897
All Maps,100T,1,8 (1),5 (2),7 (2),20 (9),475897
Ascent,SEN,1,3 (2),1 (1),4 (1),14 (9),475898
Ascent,C9,1,2 (1),3 (0),7 (3),10 (5),475898
Pearl,SEN,1,3 (1),1 (1),5 (3),13 (8),475898
Pearl,C9,1,3 (1),2 (0),5 (1),12 (7),475898
icebox,SEN,2,6 (3),2 (2),9 (4),27 (17),475898
icebox,C9,2,5 (2),5 (0),12 (4),22 (12),475898
Fracture,100T,2,2 (2),0 (0),6 (5),10 (6),475903
Fracture,NRG,0,4 (0),1 (0),6 (2),7 (3),475903
Haven,100T,1,3 (1),2 (0),5 (3),14 (9),475903
Haven,NRG,1,3 (1),0 (0),7 (3),14 (7),475903
All Maps,100T,3,5 (3),2 (0),11 (8),24 (15),475903
All Maps,NRG,1,7 (1),1 (0),13 (5),21 (10),475903
Fracture,C9,1,3 (2),1 (0),9 (3),9 (4),475904
Fracture,EG,1,3 (1),1 (1),3 (0),15 (11),475904
Icebox,C9,1,3 (1),4 (0),4 (4),17 (8),475904
Icebox,EG,1,3 (1),3 (1),5 (2),17 (11),475904
All Maps,C9,2,6 (3),5 (0),13 (7),26 (12),475904
All Maps,EG,2,6 (2),4 (2),8 (2),32 (22),475904
Lotus,KRÜ,0,4 (0),0 (0),5 (3),12 (5),475899
Lotus,MIBR,2,2 (2),2 (2),7 (4),10 (5),475899
Icebox,KRÜ,1,3 (1),1 (1),2 (1),12 (2),475899
Icebox,MIBR,1,3 (1),0 (0),2 (2),13 (10),475899
All Maps,KRÜ,1,7 (1),1 (1),7 (4),24 (7),475899
All Maps,MIBR,3,5 (3),2 (2),9 (6),23 (15),475899
Split,G2,1,2 (1),1 (0),4 (2),11 (10),475900
Split,SEN,1,3 (1),0 (0),8 (3),7 (1),475900
Icebox,G2,2,2 (2),2 (0),9 (4),11 (5),475900
Icebox,SEN,0,4 (0),0 (0),2 (2),18 (11),475900
Lotus,G2,0,2 (0),0 (0),8 (4),14 (7),475900
Lotus,SEN,2,4 (2),1 (0),4 (0),15 (11),475900
Pearl,G2,3,6 (3),3 (0),21 (10),36 (22),475900
Pearl,SEN,3,11 (3),1 (0),14 (5),40 (23),475900
Lotus,KRÜ,2,2 (2),2 (1),7 (4),15 (5),475906
Lotus,EG,0,4 (0),2 (1),1 (1),19 (12),475906
Icebox,KRÜ,1,3 (1),2 (1),5 (1),14 (8),475906
Icebox,EG,1,4 (1),2 (1),4 (2),14 (9),475906
All Maps,KRÜ,3,5 (3),4 (2),12 (5),29 (13),475906
All Maps,EG,1,8 (1),4 (2),5 (3),33 (21),475906
Haven,G2,1,2 (1),0 (0),6 (5),9 (7),475905
Haven,100T,1,3 (1),3 (0),5 (0),6 (3),475905
Split,G2,0,4 (0),1 (0),2 (1),19 (11),475905
Split,100T,2,2 (2),1 (0),10 (6),13 (6),475905
Lotus,G2,1,3 (1),3 (2),4 (1),20 (12),475905
Lotus,100T,1,3 (1),3 (0),3 (2),21 (11),475905
SPLIT,G2,2,9 (2),4 (2),12 (7),48 (30),475905
SPLIT,100T,4,8 (4),7 (0),18 (8),40 (20),475905
Lotus,MIBR,1,3 (1),0 (0),8 (3),9 (3),475901
Lotus,SEN,1,3 (1),0 (0),3 (3),14 (9),475901
Split,MIBR,1,3 (2),1 (0),7 (4),13 (5),475901
Split,SEN,1,3 (1),1 (0),6 (2),14 (10),475901
haven,MIBR,2,6 (3),1 (0),15 (7),22 (8),475901
haven,SEN,2,6 (2),1 (0),9 (5),28 (19),475901
Lotus,G2,0,3 (0),0 (0),8 (3),11 (6),475907
Lotus,EG,2,3 (3),2 (0),4 (2),13 (8),475907
Split,G2,1,2 (1),1 (1),5 (2),12 (9),475907
Split,EG,1,2 (1),3 (0),7 (4),8 (2),475907
instead,G2,1,4 (1),1 (1),6 (2),13 (9),475907
instead,EG,1,4 (1),3 (0),5 (3),12 (7),475907
All Maps,G2,2,9 (2),2 (2),19 (7),36 (24),475907
All Maps,EG,4,9 (5),8 (0),16 (9),33 (17),475907
Haven,MIBR,2,2 (2),0 (0),8 (6),13 (5),475908
Haven,G2,0,3 (0),4 (2),3 (1),13 (7),475908
Lotus,MIBR,1,3 (1),2 (0),5 (2),18 (10),475908
Lotus,G2,1,2 (1),2 (1),5 (1),19 (12),475908
Split,MIBR,1,3 (1),3 (3),6 (2),11 (4),475908
Split,G2,1,3 (1),0 (0),2 (1),18 (11),475908
Ascent,MIBR,0,4 (0),2 (1),5 (2),10 (5),475908
Ascent,G2,2,2 (2),2 (2),8 (4),9 (5),475908
All Maps,MIBR,4,12 (4),7 (4),24 (12),52 (24),475908
All Maps,G2,4,10 (4),8 (5),18 (7),59 (35),475908
Haven,SEN,0,4 (0),0 (0),4 (1),14 (8),475902
Haven,G2,2,2 (2),2 (0),8 (5),10 (6),475902
Split,SEN,2,2 (2),2 (0),8 (2),10 (5),475902
Split,G2,0,4 (1),1 (0),4 (2),13 (10),475902
Pearl,SEN,1,3 (2),2 (0),5 (3),13 (8),475902
Pearl,G2,1,3 (1),2 (1),5 (2),13 (6),475902
Ascent,SEN,0,4 (0),1 (0),5 (3),13 (7),475902
Ascent,G2,2,2 (2),0 (0),9 (3),12 (8),475902
it,SEN,3,13 (4),5 (0),22 (9),50 (28),475902
it,G2,5,11 (6),5 (1),26 (12),48 (30),475902
