match_id,map_name,map_order,score,winner,duration,picked_by
509801,Haven,1,13 - 5,Cloud9,51:54,FURIA
509801,Bind,2,13 - 4,Cloud9,39:12,Cloud9
509802,Bind,1,13 - 10,LEVIATÁN,52:51,LEVIATÁN
509802,Ascent,2,10 - 13,LOUD,48:25,LOUD
509802,Icebox,3,11 - 13,LOUD,54:22,Decider
509803,Sunset,1,7 - 13,2Game Esports,56:02,2Game Esports
509803,Lotus,2,13 - 11,Evil Geniuses,57:27,Evil Geniuses
509803,Ascent,3,13 - 9,Evil Geniuses,49:23,Decider
509804,Corrode,1,13 - 9,MIBR,57:52,VISA KRÜ(KRÜ Esports)
509804,Ascent,2,1 - 13,VISA KRÜ(KRÜ Esports),30:42,MIBR
509804,Haven,3,9 - 13,VISA KRÜ(KRÜ Esports),47:42,Decider
509805,Bind,1,13 - 10,100 Thieves,1:03:22,100 Thieves
509805,Sunset,2,13 - 4,100 Thieves,32:59,NRG
509806,Corrode,1,13 - 8,Sentinels,55:23,Sentinels
509806,Ascent,2,6 - 13,G2 Esports,48:11,G2 Esports
509806,Lotus,3,14 - 12,Sentinels,1:00:49,Decider
509807,Ascent,1,8 - 13,G2 Esports,1:02:41,2Game Esports
509807,Haven,2,5 - 13,G2 Esports,41:13,G2 Esports
509808,Sunset,1,4 - 13,Sentinels,41:59,Sentinels
509808,Icebox,2,0 - 13,Sentinels,33:49,FURIA
509809,Corrode,1,13 - 4,100 Thieves,45:15,VISA KRÜ(KRÜ Esports)
509809,Bind,2,13 - 5,100 Thieves,39:57,100 Thieves
509810,Haven,1,13 - 4,NRG,44:37,LOUD
509810,Corrode,2,13 - 9,NRG,51:55,NRG
509811,Lotus,1,13 - 7,Cloud9,42:40,Evil Geniuses
509811,Haven,2,13 - 10,Cloud9,57:15,Cloud9
509812,Lotus,1,8 - 13,LEVIATÁN,55:55,MIBR
509812,Sunset,2,3 - 13,LEVIATÁN,58:40,LEVIATÁN
509813,Corrode,1,12 - 14,FURIA,1:13:27,FURIA
509813,Sunset,2,13 - 3,2Game Esports,36:01,2Game Esports
509813,Ascent,3,13 - 2,2Game Esports,35:52,Decider
509814,Lotus,1,7 - 13,NRG,51:57,NRG
509814,Haven,2,14 - 12,LEVIATÁN,56:20,LEVIATÁN
509814,Icebox,3,11 - 13,NRG,54:22,Decider
509815,Lotus,1,13 - 5,Sentinels,43:19,Sentinels
509815,Haven,2,13 - 9,Sentinels,49:12,Cloud9
509816,Icebox,1,13 - 10,MIBR,59:01,MIBR
509816,Bind,2,14 - 12,MIBR,1:02:04,100 Thieves
509817,Corrode,1,11 - 13,Evil Geniuses,1:09:50,G2 Esports
509817,Haven,2,13 - 4,G2 Esports,39:40,Evil Geniuses
509817,Ascent,3,13 - 4,G2 Esports,39:26,Decider
509818,Haven,1,7 - 13,VISA KRÜ(KRÜ Esports),49:07,LOUD
509818,Bind,2,13 - 9,LOUD,45:15,VISA KRÜ(KRÜ Esports)
509818,Ascent,3,4 - 13,VISA KRÜ(KRÜ Esports),38:39,Decider
509819,Bind,1,13 - 1,Cloud9,44:15,Cloud9
509819,Lotus,2,13 - 7,Cloud9,45:35,2Game Esports
509820,Lotus,1,13 - 15,NRG,1:11:32,NRG
509820,Bind,2,10 - 13,NRG,55:22,MIBR
509821,Lotus,1,13 - 8,Sentinels,1:02:27,Sentinels
509821,Corrode,2,13 - 4,Sentinels,38:56,Evil Geniuses
509822,Bind,1,6 - 13,VISA KRÜ(KRÜ Esports),51:53,LEVIATÁN
509822,Haven,2,13 - 10,LEVIATÁN,47:12,VISA KRÜ(KRÜ Esports)
509822,Ascent,3,13 - 4,LEVIATÁN,38:35,Decider
509823,Corrode,1,2 - 13,G2 Esports,49:02,FURIA
509823,Ascent,2,5 - 13,G2 Esports,44:58,G2 Esports
509824,Sunset,1,13 - 2,LOUD,41:30,LOUD
509824,Bind,2,7 - 13,100 Thieves,47:13,100 Thieves
509824,Lotus,3,12 - 14,100 Thieves,1:01:52,Decider
509825,Sunset,1,13 - 6,VISA KRÜ(KRÜ Esports),1:01:21,VISA KRÜ(KRÜ Esports)
509825,Lotus,2,7 - 13,NRG,45:11,NRG
509825,Haven,3,5 - 13,NRG,36:46,Decider
509826,Haven,1,13 - 10,100 Thieves,54:45,100 Thieves
509826,Sunset,2,10 - 13,LEVIATÁN,50:32,LEVIATÁN
509826,Lotus,3,2 - 13,LEVIATÁN,35:11,Decider
509827,Corrode,1,6 - 13,Evil Geniuses,52:56,Evil Geniuses
509827,Ascent,2,9 - 13,Evil Geniuses,52:13,FURIA
509829,Sunset,1,13 - 9,2Game Esports,54:40,2Game Esports
509829,Lotus,2,4 - 13,Sentinels,36:33,Sentinels
