player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
OXY,OXY,C9,18796,"['Jett', 'Raze', 'Neon', 'Yoru']",4,442,1.17,254.6,1.25,76%,160.0,0.91,0.17,0.19,0.16,27%,20%,6/30,27,404,324,75,85,70
valyn,valyn,G2,3885,"['Omen', 'Brimstone']",2,452,1.14,213.7,1.23,76%,135.6,0.79,0.39,0.08,0.07,27%,18%,5/28,26,357,290,175,37,31
N4RRATE,N4RRATE,SEN,36245,"['Fade', 'Sova', 'Yoru']",3,426,1.14,225.2,1.17,76%,144.0,0.78,0.33,0.14,0.08,26%,17%,4/24,27,332,283,141,58,36
Cryocells,Cryocells,100T,4147,"['Yoru', 'Chamber', 'Jett']",3,372,1.14,221.0,1.23,78%,145.9,0.83,0.21,0.15,0.09,30%,18%,7/40,35,310,252,79,56,33
JonahP,JonahP,G2,4581,"['Viper', 'Vyse', 'Fade', 'Sage']",4,452,1.13,206.4,1.2,77%,129.3,0.74,0.33,0.1,0.08,23%,27%,15/55,23,333,278,150,46,34
brawk,brawk,NRG,2172,"['Fade', 'Sova', 'Vyse']",3,568,1.13,213.7,1.15,74%,139.2,0.72,0.32,0.07,0.04,19%,10%,8/80,25,411,356,179,41,22
Sato,Sato,LEV,21659,"['Yoru', 'Jett', 'Raze', 'Neon']",4,463,1.12,254.0,1.2,71%,163.7,0.9,0.17,0.19,0.18,33%,13%,2/15,35,418,349,79,86,85
aspas,aspas,MIBR,8480,"['Raze', 'Jett', 'Yoru', 'Neon']",4,242,1.12,227.4,1.22,74%,147.3,0.8,0.16,0.19,0.09,26%,17%,4/23,24,194,159,39,46,21
keznit,keznit,KRÜ,2462,"['Omen', 'Yoru', 'Iso', 'Skye', 'Raze']",5,334,1.12,234.1,1.15,72%,151.3,0.8,0.28,0.12,0.12,23%,16%,5/31,22,268,234,93,41,41
johnqt,johnqt,SEN,1265,"['Viper', 'Cypher', 'Sage', 'Fade']",4,426,1.11,184.2,1.18,80%,119.8,0.65,0.4,0.06,0.03,25%,10%,7/68,20,276,234,171,25,14
zekken,zekken,SEN,4004,"['Neon', 'Yoru', 'Raze', 'Jett']",4,426,1.09,234.0,1.18,71%,148.9,0.83,0.18,0.22,0.18,24%,18%,4/22,27,355,300,76,94,75
trent,trent,G2,15500,"['Sova', 'Tejo', 'Fade']",3,452,1.08,192.1,1.14,75%,126.1,0.69,0.33,0.07,0.07,26%,19%,10/54,21,310,273,147,30,31
