agent_name,total_utilization,Abyss,Bind,Haven,Lotus,Pearl,Fracture,Split
Omen,50.0,77.0,0.0,100.0,94.0,0.0,0.0,67.0
Sova,47.0,91.0,5.0,94.0,39.0,38.0,17.0,0.0
Cypher,39.0,45.0,15.0,72.0,28.0,50.0,17.0,50.0
Raze,35.0,0.0,95.0,0.0,50.0,0.0,42.0,100.0
Astra,32.0,68.0,5.0,0.0,6.0,100.0,8.0,33.0
Breach,31.0,0.0,0.0,78.0,56.0,0.0,92.0,0.0
Jett,31.0,82.0,0.0,44.0,0.0,56.0,0.0,0.0
Kayo,30.0,68.0,35.0,6.0,0.0,69.0,0.0,0.0
Neon,29.0,0.0,5.0,56.0,50.0,31.0,67.0,0.0
Brimstone,27.0,0.0,95.0,0.0,0.0,0.0,92.0,0.0
Fade,25.0,0.0,15.0,0.0,61.0,56.0,42.0,0.0
Vyse,23.0,9.0,60.0,0.0,22.0,6.0,25.0,67.0
Viper,21.0,9.0,30.0,17.0,44.0,13.0,8.0,33.0
Killjoy,21.0,0.0,0.0,22.0,22.0,50.0,58.0,0.0
Skye,14.0,0.0,45.0,0.0,0.0,6.0,0.0,100.0
Yoru,10.0,32.0,5.0,0.0,6.0,13.0,0.0,0.0
Deadlock,9.0,0.0,40.0,0.0,0.0,0.0,0.0,33.0
Tejo,8.0,0.0,20.0,6.0,0.0,0.0,25.0,17.0
Gekko,6.0,9.0,25.0,0.0,0.0,0.0,0.0,0.0
Clove,5.0,0.0,5.0,6.0,22.0,0.0,0.0,0.0
Phoenix,3.0,0.0,0.0,0.0,0.0,13.0,8.0,0.0
Harbor,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
Iso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reyna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chamber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waylay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
