match_id,match_title,event,date,format,teams,score,maps_played,patch,pick_ban_info
430838,TYLOO vs Titan Esports Club,VCT 2025: China Kickoff,2025-01-11 04:00:00,Bo3,TYLOO vs Titan Esports Club,0 - 2,2,,TEC ban Split; TYL ban Lotus; TEC pick Fracture; TYL pick Abyss; TEC ban Bind; TYL ban Haven; Pearl remains
430837,Xi Lai Gaming vs Wolves Esports,VCT 2025: China Kickoff,2025-01-11 06:35:00,Bo3,Xi Lai Gaming vs Wolves Esports,2 - 0,2,,XLG ban Fracture; WOL ban Bind; XLG pick Lotus; WOL pick Split; XLG ban Pearl; WOL ban Haven; Abyss remains
430839,JD Mall JDG Esports(JDG Esports) vs Dragon Ranger Gaming,VCT 2025: China Kickoff,2025-01-12 04:00:00,Bo3,JD Mall JDG Esports(JDG Esports) vs Dragon Ranger Gaming,1 - 2,3,,JDG ban Lotus; DRG ban Fracture; JDG pick Abyss; DRG pick Haven; JDG ban Split; DRG ban Pearl; Bind remains
430840,All Gamers vs Nova Esports,VCT 2025: China Kickoff,2025-01-12 07:25:00,Bo3,All Gamers vs Nova Esports,0 - 2,2,,NOVA ban Haven; AG ban Fracture; NOVA pick Abyss; AG pick Bind; NOVA ban Lotus; AG ban Pearl; Split remains
430842,FunPlus Phoenix vs Titan Esports Club,VCT 2025: China Kickoff,2025-01-16 04:00:00,Bo3,FunPlus Phoenix vs Titan Esports Club,2 - 1,3,,TEC ban Lotus; FPX ban Split; TEC pick Abyss; FPX pick Fracture; TEC ban Haven; FPX ban Bind; Pearl remains
430841,Bilibili Gaming vs Xi Lai Gaming,VCT 2025: China Kickoff,2025-01-16 07:20:00,Bo3,Bilibili Gaming vs Xi Lai Gaming,2 - 1,3,,XLG ban Fracture; BLG ban Bind; XLG pick Haven; BLG pick Lotus; XLG ban Pearl; BLG ban Split; Abyss remains
430843,Trace Esports vs Dragon Ranger Gaming,VCT 2025: China Kickoff,2025-01-17 04:00:00,Bo3,Trace Esports vs Dragon Ranger Gaming,2 - 0,2,,TE ban Haven; DRG ban Fracture; TE pick Pearl; DRG pick Abyss; TE ban Split; DRG ban Lotus; Bind remains
430844,EDward Gaming vs Nova Esports,VCT 2025: China Kickoff,2025-01-17 06:10:00,Bo3,EDward Gaming vs Nova Esports,2 - 0,2,,NOVA ban Haven; EDG ban Abyss; NOVA pick Split; EDG pick Fracture; NOVA ban Pearl; EDG ban Lotus; Bind remains
430851,Titan Esports Club vs JD Mall JDG Esports(JDG Esports),VCT 2025: China Kickoff,2025-01-18 04:00:00,Bo3,Titan Esports Club vs JD Mall JDG Esports(JDG Esports),0 - 2,2,,JDG ban Lotus; TEC ban Split; JDG pick Fracture; TEC pick Abyss; JDG ban Bind; TEC ban Haven; Pearl remains
430853,Xi Lai Gaming vs All Gamers,VCT 2025: China Kickoff,2025-01-18 06:20:00,Bo3,Xi Lai Gaming vs All Gamers,2 - 1,3,,AG ban Haven; XLG ban Fracture; AG pick Abyss; XLG pick Bind; AG ban Pearl; XLG ban Split; Lotus remains
