match_id,event_name,event_stage,match_date,team1,team2,score_overall,player_name,player_id,player_team,stat_type,agent,rating,acs,k,d,a,kd_diff,kast,adr,hs_percent,fk,fd,fk_fd_diff,map_name,map_winner
430838,VCT 2025: China Kickoff,"Main Event: 
						Upper Round 1",2025-01-11 04:00:00,TYLOO,Titan Esports Club,0 - 2,slowly,41739,TYLOO,overall,"Sova, Astra",N/A,259,43,30,12,+13,N/A,N/A,N/A,N/A,N/A,N/A,,
430838,VCT 2025: China Kickoff,"Main Event: 
						Upper Round 1",2025-01-11 04:00:00,TYLOO,Titan Esports Club,0 - 2,Ninebody,3547,TYLOO,overall,"Killjoy, Jett",N/A,195,32,35,10,-3,N/A,N/A,N/A,N/A,N/A,N/A,,
430838,VCT 2025: China Kickoff,"Main Event: 
						Upper Round 1",2025-01-11 04:00:00,TYLOO,Titan Esports Club,0 - 2,zjc,7135,TYLOO,overall,"Breach, Sova",N/A,176,28,35,16,-7,N/A,N/A,N/A,N/A,N/A,N/A,,
430838,VCT 2025: China Kickoff,"Main Event: 
						Upper Round 1",2025-01-11 04:00:00,TYLOO,Titan Esports Club,0 - 2,Eren,14444,TYLOO,overall,"Raze, Yoru",N/A,164,29,37,9,-8,N/A,N/A,N/A,N/A,N/A,N/A,,
430838,VCT 2025: China Kickoff,"Main Event: 
						Upper Round 1",2025-01-11 04:00:00,TYLOO,Titan Esports Club,0 - 2,5CM,47101,TYLOO,overall,"Brimstone, Omen",N/A,139,21,33,20,-12,N/A,N/A,N/A,N/A,N/A,N/A,,
430838,VCT 2025: China Kickoff,"Main Event: 
						Upper Round 1",2025-01-11 04:00:00,TYLOO,Titan Esports Club,0 - 2,Rb,488,Titan Esports Club,overall,"Fade, Sova",N/A,246,40,30,11,+10,N/A,N/A,N/A,N/A,N/A,N/A,,
430838,VCT 2025: China Kickoff,"Main Event: 
						Upper Round 1",2025-01-11 04:00:00,TYLOO,Titan Esports Club,0 - 2,Dynamite,42235,Titan Esports Club,overall,"Raze, Jett",N/A,245,43,31,5,+12,N/A,N/A,N/A,N/A,N/A,N/A,,
430838,VCT 2025: China Kickoff,"Main Event: 
						Upper Round 1",2025-01-11 04:00:00,TYLOO,Titan Esports Club,0 - 2,Haodong,4720,Titan Esports Club,overall,"Brimstone, Omen",N/A,206,32,28,29,+4,N/A,N/A,N/A,N/A,N/A,N/A,,
430838,VCT 2025: China Kickoff,"Main Event: 
						Upper Round 1",2025-01-11 04:00:00,TYLOO,Titan Esports Club,0 - 2,Abo,5011,Titan Esports Club,overall,"Killjoy, Cypher",N/A,184,32,34,4,-2,N/A,N/A,N/A,N/A,N/A,N/A,,
430838,VCT 2025: China Kickoff,"Main Event: 
						Upper Round 1",2025-01-11 04:00:00,TYLOO,Titan Esports Club,0 - 2,B1ack,30526,Titan Esports Club,overall,"Breach, Kayo",N/A,154,23,30,22,-7,N/A,N/A,N/A,N/A,N/A,N/A,,
