agent_name,total_utilization,Fracture,Lotus,Pearl,Icebox,Haven,Split,Ascent
Tejo,71.0,93.0,79.0,66.0,67.0,61.0,65.0,50.0
Breach,53.0,100.0,87.0,3.0,0.0,71.0,58.0,13.0
Omen,49.0,0.0,95.0,0.0,7.0,100.0,81.0,100.0
Yoru,44.0,13.0,47.0,88.0,0.0,57.0,58.0,63.0
Viper,36.0,0.0,61.0,3.0,100.0,11.0,54.0,25.0
Cypher,32.0,75.0,11.0,3.0,0.0,82.0,27.0,13.0
Vyse,31.0,23.0,24.0,75.0,17.0,18.0,19.0,56.0
Neon,27.0,58.0,29.0,31.0,0.0,29.0,8.0,13.0
Astra,19.0,0.0,8.0,100.0,0.0,0.0,19.0,0.0
Brimstone,19.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Killjoy,15.0,3.0,0.0,22.0,67.0,0.0,0.0,25.0
Jett,15.0,0.0,0.0,0.0,80.0,14.0,0.0,25.0
Fade,14.0,8.0,8.0,44.0,0.0,0.0,19.0,25.0
Sova,14.0,0.0,5.0,22.0,17.0,39.0,0.0,25.0
Deadlock,12.0,0.0,18.0,6.0,17.0,0.0,27.0,25.0
Raze,11.0,20.0,16.0,0.0,0.0,0.0,35.0,0.0
Kayo,9.0,0.0,0.0,6.0,33.0,0.0,0.0,44.0
Gekko,9.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0
Waylay,7.0,10.0,8.0,0.0,13.0,4.0,8.0,0.0
Chamber,5.0,0.0,0.0,28.0,3.0,0.0,0.0,0.0
Iso,4.0,0.0,5.0,0.0,0.0,14.0,8.0,0.0
Skye,2.0,0.0,0.0,3.0,0.0,0.0,15.0,0.0
Harbor,2.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
Reyna,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
Clove,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phoenix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
