player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
slowly,slowly,TYL,41739,"['Breach', 'Tejo', 'Kayo', 'Fade', 'Sova']",5,281,1.37,250.4,1.32,79%,164.8,0.89,0.35,0.08,0.05,30%,0%,,28,249,188,99,14,10
Rarga,Rarga,XLG,22047,"['Yoru', 'Waylay', 'Neon', 'Jett', 'Chamber']",5,509,1.25,260.0,1.29,73%,168.8,0.91,0.17,0.21,0.18,33%,0%,,35,465,360,89,76,65
whzy,whzy,BLG,4885,"['Neon', 'Jett', 'Yoru']",3,577,1.21,264.4,1.28,73%,166.9,0.93,0.23,0.2,0.14,26%,0%,,29,538,421,130,97,66
Smoggy,Smoggy,EDG,4742,"['Brimstone', 'Omen', 'Viper', 'Astra']",4,424,1.19,203.1,1.15,74%,132.1,0.72,0.41,0.06,0.04,33%,0%,,27,307,267,175,20,14
vo0kashu,vo0kashu,DRG,3741,"['Cypher', 'Viper', 'Vyse', 'Iso']",4,409,1.17,236.6,1.29,72%,151.1,0.87,0.23,0.08,0.08,31%,0%,,30,356,277,94,30,30
Kai,Kai,TE,37494,"['Neon', 'Yoru', 'Jett']",3,349,1.17,244.6,1.24,73%,154.7,0.88,0.19,0.25,0.12,27%,0%,,34,308,249,68,52,24
rushia,rushia,BLG,48878,"['Astra', 'Harbor', 'Brimstone', 'Omen']",4,577,1.13,200.0,1.07,78%,129.1,0.71,0.48,0.11,0.09,24%,0%,,28,410,383,275,55,45
Scales,Scales,TYL,39485,"['Breach', 'Viper']",2,63,1.12,210.3,1.18,76%,142.9,0.75,0.46,0.14,0.17,42%,0%,,22,47,40,29,9,11
CHICHOO,CHICHOO,EDG,15559,"['Cypher', 'Vyse', 'Killjoy', 'Viper']",4,424,1.11,207.8,1.11,74%,141.8,0.74,0.22,0.07,0.05,29%,0%,,28,313,283,94,23,16
Knight,Knight,BLG,4774,"['Tejo', 'Sova', 'Fade']",3,577,1.09,196.1,1.06,75%,136.1,0.68,0.3,0.07,0.09,22%,0%,,26,395,373,175,35,42
Rb,Rb,TEC,488,"['Tejo', 'Neon', 'Fade', 'Omen', 'Breach', 'Kayo']",6,382,1.08,197.9,1.03,71%,131.8,0.73,0.28,0.07,0.06,29%,0%,,29,277,269,108,23,18
stew,stew,JDG,16924,"['Yoru', 'Iso', 'Waylay', 'Raze', 'Neon', 'Jett']",6,257,1.08,217.9,1.05,72%,140.4,0.77,0.23,0.18,0.18,28%,0%,,24,198,188,59,31,31
Viva,Viva,XLG,36415,"['Tejo', 'Sova']",2,509,1.08,182.6,1.09,73%,124.4,0.64,0.24,0.05,0.06,25%,0%,,20,328,301,120,17,22
nephh,nephh,BLG,10698,"['Kayo', 'Viper', 'Breach', 'Tejo']",4,577,1.07,195.6,1.05,78%,124.0,0.68,0.43,0.07,0.08,27%,0%,,21,394,377,249,33,37
Yuicaw,Yuicaw,WOL,11218,"['Chamber', 'Breach', 'Kayo', 'Gekko', 'Cypher']",5,464,1.07,201.3,1.07,74%,131.2,0.72,0.36,0.09,0.09,34%,0%,,27,336,313,166,28,30
yosemite,yosemite,FPX,6022,"['Viper', 'Vyse']",2,224,1.06,233.1,1.28,67%,136.1,0.83,0.27,0.1,0.08,36%,0%,,22,185,145,61,11,9
ZmjjKK,ZmjjKK,EDG,3520,"['Waylay', 'Jett', 'Yoru', 'Chamber', 'Neon', 'Iso']",6,424,1.06,258.4,1.16,72%,159.8,0.91,0.24,0.19,0.18,25%,0%,,29,386,332,102,62,59
Ezeir,Ezeir,NOVA,46460,"['Tejo', 'Astra', 'Omen', 'Viper']",4,302,1.06,213.1,1.03,72%,132.0,0.75,0.37,0.07,0.11,23%,0%,,25,228,221,112,12,20
Flex1n,Flex1n,DRG,4705,"['Brimstone', 'Omen', 'Astra']",3,409,1.06,214.9,1.04,73%,132.2,0.74,0.47,0.08,0.09,27%,0%,,27,303,291,191,29,32
coconut,coconut,XLG,12365,"['Vyse', 'Gekko', 'Breach', 'Omen', 'Astra']",5,509,1.05,176.2,0.98,78%,118.6,0.63,0.38,0.04,0.07,31%,0%,,26,322,327,191,13,26
YOU,YOU,XLG,4710,"['Fade', 'Killjoy', 'Brimstone', 'Vyse', 'Breach', 'Deadlock']",6,509,1.05,186.3,1.01,76%,120.0,0.65,0.4,0.07,0.06,28%,0%,,23,331,327,202,26,22
Lysoar,Lysoar,WOL,37489,"['Deadlock', 'Cypher', 'Killjoy', 'Omen', 'Vyse']",5,464,1.05,194.2,0.97,74%,140.9,0.7,0.27,0.1,0.07,31%,0%,,23,323,333,123,33,23
Ninebody,Ninebody,TYL,3547,"['Waylay', 'Cypher', 'Yoru', 'Neon', 'Jett']",5,281,1.04,206.3,0.99,71%,139.2,0.72,0.2,0.14,0.18,24%,0%,,30,203,205,57,26,33
happywei,happywei,XLG,37927,"['Astra', 'Viper', 'Vyse', 'Cypher', 'Omen', 'Yoru']",6,509,1.02,223.4,1.08,72%,139.8,0.76,0.31,0.14,0.12,32%,0%,,25,386,358,157,49,43
K1ra,K1ra,AG,46748,"['Astra', 'Omen', 'Brimstone']",3,242,1.01,214.8,0.98,75%,129.0,0.75,0.36,0.07,0.07,25%,0%,,24,182,186,88,7,7
Coco,Coco,TEC,47629,"['Gekko', 'Sova', 'Breach', 'Tejo']",4,382,1.01,208.3,1.03,74%,134.8,0.71,0.33,0.04,0.05,32%,0%,,24,272,263,125,12,14
Autumn,Autumn,FPX,872,"['Vyse', 'Viper', 'Cypher', 'Tejo']",4,224,1.0,196.4,0.98,68%,138.9,0.69,0.22,0.14,0.08,34%,0%,,32,155,158,50,15,9
heybay,heybay,TE,4712,"['Killjoy', 'Viper', 'Vyse', 'Cypher', 'Breach', 'Kayo']",6,349,1.0,211.8,1.15,73%,128.6,0.74,0.28,0.07,0.08,23%,0%,,28,260,227,97,15,16
Abo,Abo,TEC,5011,"['Deadlock', 'Vyse', 'Cypher']",3,382,0.99,191.3,0.98,68%,126.3,0.69,0.28,0.11,0.11,37%,0%,,24,262,267,106,33,34
Z1yan,Z1yan,JDG,41029,"['Vyse', 'Cypher', 'Viper']",3,257,0.98,190.2,0.96,68%,136.9,0.67,0.16,0.07,0.1,37%,0%,,22,173,180,41,12,16
Levius,Levius,BLG,40845,"['Vyse', 'Killjoy', 'Cypher', 'Viper']",4,577,0.98,179.4,1.02,69%,114.2,0.64,0.24,0.08,0.07,24%,0%,,22,368,361,140,37,34
Juicy,Juicy,WOL,7426,"['Yoru', 'Raze', 'Reyna', 'Neon', 'Omen', 'Jett']",6,464,0.98,223.6,1.01,67%,142.4,0.77,0.26,0.17,0.19,29%,0%,,26,359,355,119,55,62
GuanG,GuanG,NOVA,41054,"['Cypher', 'Raze', 'Killjoy', 'Jett', 'Vyse']",5,302,0.97,195.3,0.91,71%,131.4,0.71,0.2,0.08,0.12,29%,0%,,22,214,234,60,15,22
TvirusLuke,TvirusLuke,TEC,7841,"['Waylay', 'Raze', 'Jett', 'Reyna']",4,382,0.97,227.2,1.02,68%,145.6,0.77,0.14,0.26,0.19,26%,0%,,25,296,289,53,81,60
Babyblue,Babyblue,JDG,15302,"['Tejo', 'Yoru', 'Fade']",3,257,0.97,207.7,1.0,69%,133.6,0.72,0.25,0.12,0.12,34%,0%,,21,185,185,63,20,20
Spring,Spring,WOL,14125,"['Astra', 'Omen', 'Brimstone', 'Viper', 'Neon']",5,464,0.96,213.1,1.05,69%,134.7,0.74,0.39,0.1,0.1,28%,0%,,27,345,330,180,32,32
LuoK1ng,LuoK1ng,TE,3045,"['Astra', 'Omen', 'Brimstone']",3,349,0.95,202.9,1.13,72%,122.7,0.74,0.41,0.08,0.08,30%,0%,,23,260,231,142,16,16
AAAAY,AAAAY,FPX,19530,"['Gekko', 'Omen', 'Astra', 'Brimstone']",4,224,0.94,197.0,1.08,68%,126.1,0.72,0.32,0.06,0.05,34%,0%,,20,162,150,72,7,5
jkuro,jkuro,JDG,3519,"['Astra', 'Omen', 'Viper', 'Brimstone']",4,257,0.94,185.2,0.91,73%,117.9,0.64,0.38,0.08,0.08,29%,0%,,19,165,182,98,14,13
Nicc,Nicc,DRG,11524,"['Breach', 'Kayo', 'Fade', 'Sova']",4,409,0.93,181.0,0.81,76%,118.7,0.59,0.55,0.05,0.06,27%,0%,,21,240,295,223,17,23
CB,CB,NOVA,39697,"['Neon', 'Deadlock', 'Tejo', 'Raze']",4,302,0.93,205.3,0.94,67%,135.8,0.72,0.19,0.13,0.16,22%,0%,,25,218,232,56,23,29
MrCANI,MrCANI,JDG,37674,"['Fade', 'Sova', 'Gekko', 'Breach', 'Omen']",5,257,0.92,159.3,0.82,71%,104.3,0.57,0.3,0.04,0.03,43%,0%,,21,147,180,76,6,5
Haodong,Haodong,TEC,4720,"['Viper', 'Omen', 'Brimstone']",3,382,0.92,190.8,0.92,72%,119.5,0.63,0.41,0.05,0.06,27%,0%,,20,240,260,155,14,19
zjc,zjc,TYL,7135,"['Tejo', 'Sova', 'Fade', 'Gekko', 'Brimstone', 'Omen', 'Raze', 'Cypher']",8,281,0.92,172.6,0.86,68%,124.3,0.62,0.23,0.11,0.09,28%,0%,,20,174,203,64,20,17
SpiritZ1,SpiritZ1,DRG,31753,"['Yoru', 'Jett', 'Raze']",3,409,0.91,212.5,0.98,71%,139.4,0.76,0.17,0.19,0.2,35%,0%,,34,312,318,71,69,74
FengF,FengF,TE,4770,"['Yoru', 'Tejo', 'Vyse']",3,224,0.9,178.3,0.88,74%,115.0,0.62,0.25,0.09,0.08,26%,0%,,19,139,158,57,10,9
Bai,Bai,AG,52101,"['Yoru', 'Neon']",2,102,0.9,196.8,0.8,65%,137.9,0.66,0.14,0.13,0.27,30%,0%,,20,67,84,14,8,17
Biank,Biank,TE,3021,"['Tejo', 'Breach', 'Cypher', 'Vyse']",4,349,0.89,169.1,0.83,67%,109.1,0.58,0.37,0.06,0.11,26%,0%,,19,203,246,129,13,22
waituu,waituu,TYL,47102,"['Brimstone', 'Omen', 'Astra', 'Viper', 'Breach']",5,281,0.89,166.2,0.8,75%,102.9,0.58,0.34,0.06,0.03,24%,0%,,17,164,204,96,11,6
Midi,Midi,TE,37017,['Tejo'],1,125,0.88,163.7,0.86,68%,119.4,0.58,0.24,0.05,0.06,32%,0%,,15,73,85,30,5,6
nobody,nobody,EDG,3017,"['Tejo', 'Sova', 'Fade']",3,424,0.88,177.5,0.9,71%,116.5,0.62,0.25,0.1,0.09,26%,0%,,21,263,293,105,32,28
OBONE,OBONE,NOVA,36670,"['Brimstone', 'Vyse', 'Yoru', 'Killjoy', 'Deadlock']",5,302,0.88,166.2,0.84,66%,115.0,0.6,0.25,0.07,0.13,23%,0%,,23,182,217,75,12,23
SiuFatBB,SiuFatBB,WOL,7849,"['Fade', 'Tejo', 'Sova']",3,464,0.85,159.7,0.86,68%,106.8,0.56,0.25,0.03,0.08,25%,0%,,22,259,300,115,11,25
Jieni7,Jieni7,EDG,51244,"['Kayo', 'Deadlock', 'Yoru', 'Breach', 'Neon']",5,340,0.83,177.1,0.82,72%,114.2,0.63,0.36,0.1,0.11,27%,0%,,21,213,259,124,32,35
XII,XII,FPX,13781,"['Kayo', 'Tejo']",2,42,0.83,195.5,0.94,67%,131.0,0.69,0.21,0.05,0.05,29%,0%,,16,29,31,9,2,2
5CM,5CM,TYL,47101,"['Vyse', 'Neon', 'Killjoy', 'Cypher', 'Viper']",5,218,0.83,164.7,0.73,69%,121.7,0.55,0.23,0.11,0.11,20%,0%,,21,119,164,50,14,14
Cangshu,Cangshu,DRG,46527,"['Fade', 'Tejo', 'Killjoy', 'Viper', 'Cypher']",5,409,0.82,158.0,0.79,69%,111.4,0.55,0.3,0.07,0.1,27%,0%,,23,226,286,124,25,38
Shr1mp,Shr1mp,FPX,25494,"['Tejo', 'Fade', 'Breach']",3,182,0.81,167.7,0.87,68%,98.6,0.6,0.24,0.09,0.01,31%,0%,,19,109,126,43,6,1
o0o0o,o0o0o,NOVA,4402,"['Breach', 'Kayo', 'Skye']",3,302,0.73,144.0,0.62,66%,90.5,0.48,0.4,0.06,0.07,28%,0%,,17,145,235,120,10,12
Lsn,Lsn,AG,50080,"['Sova', 'Tejo', 'Breach']",3,242,0.73,165.8,0.73,66%,111.9,0.57,0.29,0.07,0.14,28%,0%,,20,137,187,70,7,14
player,player,AG,46749,"['Yoru', 'Breach']",2,140,0.7,170.0,0.74,66%,107.6,0.6,0.32,0.06,0.06,28%,0%,,18,84,113,45,2,2
HanChe,HanChe,AG,42537,"['Neon', 'Waylay', 'Killjoy', 'Cypher', 'Vyse', 'Viper']",6,242,0.69,155.9,0.72,60%,100.8,0.56,0.2,0.05,0.05,40%,0%,,19,135,188,49,5,5
Life,Life,FPX,3028,"['Jett', 'Neon', 'Yoru']",3,224,0.68,197.8,0.93,59%,101.5,0.7,0.21,0.15,0.24,31%,0%,,25,156,168,48,17,27
deLb,deLb,AG,10821,"['Killjoy', 'Viper', 'Cypher', 'Neon', 'Deadlock', 'Yoru', 'Fade', 'Tejo']",8,242,0.66,181.9,0.89,60%,97.5,0.69,0.17,0.08,0.16,31%,0%,,22,166,186,40,8,16
S1Mon,S1Mon,EDG,13768,"['Breach', 'Kayo']",2,84,,183.5,1.0,,,0.68,0.57,,,,0%,,25,57,57,48,0,0
