agent_name,total_utilization,Lotus,Haven,Sunset,Ascent,Corrode,Bind,Icebox,Abyss
Omen,85.0,100.0,100.0,100.0,97.0,96.0,9.0,59.0,50.0
Sova,52.0,0.0,95.0,74.0,83.0,23.0,0.0,86.0,100.0
Viper,50.0,57.0,53.0,26.0,3.0,69.0,68.0,91.0,0.0
Neon,39.0,20.0,70.0,76.0,13.0,50.0,14.0,9.0,50.0
Yoru,38.0,50.0,33.0,29.0,47.0,58.0,36.0,0.0,50.0
Fade,37.0,82.0,0.0,24.0,17.0,62.0,77.0,0.0,0.0
Cypher,33.0,25.0,48.0,68.0,30.0,35.0,5.0,0.0,50.0
Raze,25.0,70.0,0.0,6.0,3.0,8.0,82.0,0.0,0.0
Killjoy,25.0,5.0,48.0,0.0,37.0,0.0,0.0,100.0,0.0
Vyse,22.0,52.0,5.0,0.0,33.0,23.0,32.0,0.0,0.0
Jett,17.0,0.0,5.0,12.0,33.0,0.0,0.0,86.0,100.0
Deadlock,16.0,9.0,8.0,41.0,10.0,19.0,27.0,0.0,0.0
Kayo,12.0,0.0,0.0,15.0,47.0,4.0,23.0,5.0,0.0
Breach,10.0,18.0,20.0,18.0,0.0,0.0,0.0,0.0,50.0
Brimstone,8.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0
Gekko,5.0,0.0,0.0,0.0,0.0,19.0,9.0,14.0,0.0
Waylay,4.0,5.0,3.0,0.0,7.0,8.0,9.0,0.0,0.0
Clove,4.0,0.0,0.0,6.0,13.0,12.0,0.0,0.0,0.0
Chamber,4.0,0.0,0.0,3.0,17.0,8.0,0.0,0.0,0.0
Harbor,3.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0
Astra,3.0,0.0,0.0,0.0,3.0,8.0,9.0,0.0,50.0
Iso,3.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
Sage,2.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
Skye,2.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0
Phoenix,1.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0
Reyna,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
Tejo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
