match_id,map_name,map_order,score,winner,duration,picked_by
506930,Sunset,1,13 - 9,EDward Gaming,58:14,EDward Gaming
506930,Corrode,2,13 - 6,EDward Gaming,40:02,Titan Esports Club
506931,Bind,1,13 - 5,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),54:01,TYLOO
506931,Lotus,2,13 - 9,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),51:21,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming)
506932,Sunset,1,13 - 3,All Gamers,-,Xi Lai Gaming
506932,Lotus,2,7 - 13,Xi Lai Gaming,-,All Gamers
506932,Ascent,3,3 - 13,Xi Lai Gaming,-,Decider
506933,Sunset,1,5 - 13,FunPlus Phoenix,55:01,FunPlus Phoenix
506933,Corrode,2,7 - 13,FunPlus Phoenix,49:28,Wolves Esports
506934,Lotus,1,13 - 8,Dragon Ranger Gaming,53:18,Dragon Ranger Gaming
506934,Icebox,2,12 - 14,Nova Esports,54:21,Nova Esports
506934,Ascent,3,13 - 5,Dragon Ranger Gaming,40:51,Decider
506935,Icebox,1,7 - 13,Trace Esports,1:00:18,JD Mall JDG Esports(JDG Esports)
506935,Lotus,2,13 - 4,JD Mall JDG Esports(JDG Esports),42:05,Trace Esports
506935,Haven,3,4 - 13,Trace Esports,41:24,Decider
506936,Corrode,1,7 - 13,TYLOO,1:01:04,TYLOO
506936,Bind,2,10 - 13,TYLOO,55:14,Trace Esports
506937,Haven,1,6 - 13,Nova Esports,59:30,Nova Esports
506937,Ascent,2,13 - 8,FunPlus Phoenix,46:48,FunPlus Phoenix
506937,Bind,3,13 - 6,FunPlus Phoenix,42:26,Decider
506938,Bind,1,13 - 2,All Gamers,49:51,Wolves Esports
506938,Corrode,2,13 - 4,All Gamers,39:04,All Gamers
506939,Sunset,1,7 - 13,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),56:51,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming)
506939,Ascent,2,15 - 13,JD Mall JDG Esports(JDG Esports),1:08:29,JD Mall JDG Esports(JDG Esports)
506939,Icebox,3,4 - 13,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),39:50,Decider
506940,Haven,1,13 - 2,TYLOO,46:21,TYLOO
506940,Lotus,2,13 - 10,TYLOO,56:22,Titan Esports Club
506941,Sunset,1,13 - 8,Trace Esports,58:38,EDward Gaming
506941,Bind,2,11 - 13,EDward Gaming,54:49,Trace Esports
506941,Icebox,3,13 - 3,Trace Esports,37:46,Decider
506942,Lotus,1,5 - 13,All Gamers,51:09,Dragon Ranger Gaming
506942,Corrode,2,13 - 7,Dragon Ranger Gaming,44:21,All Gamers
506942,Sunset,3,13 - 10,Dragon Ranger Gaming,51:40,Decider
506943,Haven,1,13 - 9,Xi Lai Gaming,1:05:28,Xi Lai Gaming
506943,Lotus,2,13 - 8,Xi Lai Gaming,49:45,Wolves Esports
