match_id,match_title,event,date,format,teams,score,maps_played,patch,pick_ban_info
506930,EDward Gaming vs Titan Esports Club,VCT 2025: China Stage 2,2025-07-03 07:00:00,Bo3,EDward Gaming vs Titan Esports Club,2 - 0,2,,EDG ban Bind; TEC ban Haven; EDG pick Sunset; TEC pick Corrode; EDG ban Lotus; TEC ban Ascent; Icebox remains
506931,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming) vs TYLOO,VCT 2025: China Stage 2,2025-07-04 07:00:00,Bo3,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming) vs TYLOO,2 - 0,2,,TYL ban Sunset; BLG ban Corrode; TYL pick Bind; BLG pick Lotus; TYL ban Ascent; BLG ban Haven; Icebox remains
506932,All Gamers vs Xi Lai Gaming,VCT 2025: China Stage 2,2025-07-05 05:00:00,Bo3,All Gamers vs Xi Lai Gaming,1 - 2,3,,XLG ban Corrode; AG ban Bind; XLG pick Sunset; AG pick Lotus; XLG ban Haven; AG ban Icebox; Ascent remains
506933,Wolves Esports vs FunPlus Phoenix,VCT 2025: China Stage 2,2025-07-05 07:45:00,Bo3,Wolves Esports vs FunPlus Phoenix,0 - 2,2,,FPX ban Lotus; WOL ban Haven; FPX pick Sunset; WOL pick Corrode; FPX ban Icebox; WOL ban Ascent; Bind remains
506934,Dragon Ranger Gaming vs Nova Esports,VCT 2025: China Stage 2,2025-07-06 05:00:00,Bo3,Dragon Ranger Gaming vs Nova Esports,2 - 1,3,,DRG ban Corrode; NOVA ban Bind; DRG pick Lotus; NOVA pick Icebox; DRG ban Haven; NOVA ban Sunset; Ascent remains
506935,JD Mall JDG Esports(JDG Esports) vs Trace Esports,VCT 2025: China Stage 2,2025-07-06 08:05:00,Bo3,JD Mall JDG Esports(JDG Esports) vs Trace Esports,1 - 2,3,,JDG ban Bind; TE ban Corrode; JDG pick Icebox; TE pick Lotus; JDG ban Sunset; TE ban Ascent; Haven remains
506936,Trace Esports vs TYLOO,VCT 2025: China Stage 2,2025-07-16 07:00:00,Bo3,Trace Esports vs TYLOO,0 - 2,2,,TYL ban Sunset; TE ban Icebox; TYL pick Corrode; TE pick Bind; TYL ban Ascent; TE ban Lotus; Haven remains
506937,FunPlus Phoenix vs Nova Esports,VCT 2025: China Stage 2,2025-07-17 07:00:00,Bo3,FunPlus Phoenix vs Nova Esports,2 - 1,3,,NOVA ban Sunset; FPX ban Icebox; NOVA pick Haven; FPX pick Ascent; NOVA ban Corrode; FPX ban Lotus; Bind remains
506938,All Gamers vs Wolves Esports,VCT 2025: China Stage 2,2025-07-18 05:00:00,Bo3,All Gamers vs Wolves Esports,2 - 0,2,,WOL ban Sunset; AG ban Ascent; WOL pick Bind; AG pick Corrode; WOL ban Lotus; AG ban Icebox; Haven remains
506939,JD Mall JDG Esports(JDG Esports) vs Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),VCT 2025: China Stage 2,2025-07-18 07:00:00,Bo3,JD Mall JDG Esports(JDG Esports) vs Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),1 - 2,3,,BLG ban Corrode; JDG ban Bind; BLG pick Sunset; JDG pick Ascent; BLG ban Haven; JDG ban Lotus; Icebox remains
506940,TYLOO vs Titan Esports Club,VCT 2025: China Stage 2,2025-07-19 05:00:00,Bo3,TYLOO vs Titan Esports Club,2 - 0,2,,TYL ban Sunset; TEC ban Corrode; TYL pick Haven; TEC pick Lotus; TYL ban Ascent; TEC ban Bind; Icebox remains
506941,Trace Esports vs EDward Gaming,VCT 2025: China Stage 2,2025-07-19 07:10:00,Bo3,Trace Esports vs EDward Gaming,2 - 1,3,,EDG ban Haven; TE ban Corrode; EDG pick Sunset; TE pick Bind; EDG ban Ascent; TE ban Lotus; Icebox remains
506942,Dragon Ranger Gaming vs All Gamers,VCT 2025: China Stage 2,2025-07-20 05:00:00,Bo3,Dragon Ranger Gaming vs All Gamers,2 - 1,3,,DRG ban Bind; AG ban Ascent; DRG pick Lotus; AG pick Corrode; DRG ban Haven; AG ban Icebox; Sunset remains
506943,Xi Lai Gaming vs Wolves Esports,VCT 2025: China Stage 2,2025-07-20 08:10:00,Bo3,Xi Lai Gaming vs Wolves Esports,2 - 0,2,,XLG ban Icebox; WOL ban Sunset; XLG pick Haven; WOL pick Lotus; XLG ban Corrode; WOL ban Ascent; Bind remains
