match_id,map_name,map_order,score,winner,duration,picked_by
429381,Lotus,1,13 - 9,BBL Esports,1:05:24,GIANTX
429381,Haven,2,12 - 14,GIANTX,1:02:21,BBL Esports
429381,Pearl,3,13 - 5,BBL Esports,43:41,Decider
429380,Abyss,1,10 - 13,Natus Vincere,1:09:50,Natus Vincere
429380,Bind,2,13 - 2,Karmine Corp,37:51,Karmine Corp
429380,Lotus,3,13 - 6,Karmine Corp,51:52,Decider
429379,Fracture,1,10 - 13,Movistar KOI(KOI),58:08,Team Liquid
429379,Abyss,2,13 - 3,Team Liquid,36:44,Movistar KOI(KOI)
429379,Bind,3,13 - 10,Team Liquid,52:51,Decider
429382,Pearl,1,7 - 13,Gentle Mates,51:40,Gentle Mates
429382,Haven,2,12 - 14,Gentle Mates,55:55,Apeks
429385,Abyss,1,8 - 13,BBL Esports,1:16:23,BBL Esports
429385,Fracture,2,13 - 8,FNATIC,1:02:29,FNATIC
429385,Split,3,10 - 13,BBL Esports,1:01:55,Decider
429384,Haven,1,13 - 5,Team Vitality,50:28,Team Vitality
429384,Bind,2,9 - 13,Karmine Corp,53:35,Karmine Corp
429384,Abyss,3,17 - 15,Team Vitality,1:17:32,Decider
429383,Pearl,1,13 - 7,FUT Esports,56:58,FUT Esports
429383,Fracture,2,13 - 6,FUT Esports,42:06,Team Liquid
429386,Abyss,1,4 - 13,Gentle Mates,49:12,Gentle Mates
429386,Fracture,2,13 - 3,Team Heretics,33:21,Team Heretics
429386,Pearl,3,13 - 8,Team Heretics,46:40,Decider
429393,Bind,1,14 - 12,Karmine Corp,1:19:57,Karmine Corp
429393,Lotus,2,8 - 13,GIANTX,44:40,GIANTX
429393,Fracture,3,10 - 13,GIANTX,51:41,Decider
429392,Pearl,1,13 - 9,FNATIC,1:05:22,Natus Vincere
429392,Fracture,2,8 - 13,Natus Vincere,53:16,FNATIC
429392,Haven,3,15 - 13,FNATIC,1:10:03,Decider
429394,Abyss,1,13 - 9,Team Liquid,58:28,Team Liquid
429394,Pearl,2,11 - 13,Apeks,56:15,Apeks
429394,Haven,3,13 - 6,Team Liquid,37:23,Decider
429391,Haven,1,13 - 3,Gentle Mates,44:42,Gentle Mates
429391,Lotus,2,7 - 13,Movistar KOI(KOI),45:07,Movistar KOI(KOI)
429391,Pearl,3,13 - 6,Gentle Mates,40:22,Decider
429388,Pearl,1,11 - 13,Team Heretics,1:15:19,BBL Esports
429388,Lotus,2,7 - 13,Team Heretics,44:49,Team Heretics
429387,Bind,1,7 - 13,Team Vitality,1:01:52,FUT Esports
429387,Split,2,4 - 13,Team Vitality,36:12,Team Vitality
429395,Abyss,1,5 - 13,FNATIC,56:58,Gentle Mates
429395,Fracture,2,6 - 13,FNATIC,44:41,FNATIC
429396,Fracture,1,8 - 13,Team Liquid,51:00,GIANTX
429396,Split,2,6 - 13,Team Liquid,44:07,Team Liquid
429397,Abyss,1,13 - 10,FUT Esports,1:10:32,FUT Esports
429397,Fracture,2,13 - 6,FUT Esports,42:58,FNATIC
429398,Bind,1,11 - 13,Team Liquid,1:02:57,Team Liquid
429398,Pearl,2,13 - 9,BBL Esports,56:12,BBL Esports
429398,Split,3,10 - 13,Team Liquid,47:17,Decider
429389,Haven,1,13 - 10,Team Vitality,1:05:29,Team Vitality
429389,Abyss,2,13 - 1,Team Vitality,35:16,Team Heretics
429400,Abyss,1,7 - 13,Team Liquid,1:06:22,FUT Esports
429400,Bind,2,13 - 11,FUT Esports,55:54,Team Liquid
429400,Haven,3,4 - 13,Team Liquid,39:18,Decider
429401,Lotus,1,4 - 13,Team Liquid,51:17,Team Heretics
429401,Abyss,2,4 - 13,Team Liquid,38:19,Team Liquid
429401,Fracture,3,7 - 13,Team Liquid,41:51,Team Heretics
429390,Split,1,10 - 13,Team Liquid,1:16:50,Team Vitality
429390,Haven,2,7 - 13,Team Liquid,44:42,Team Liquid
429390,Lotus,3,13 - 6,Team Vitality,40:16,Team Vitality
429390,Bind,4,13 - 7,Team Vitality,46:10,Team Liquid
429390,Fracture,5,13 - 8,Team Vitality,48:14,Decider
