match_id,match_title,event,date,format,teams,score,maps_played,patch,pick_ban_info
429381,BBL Esports vs GIANTX,VCT 2025: EMEA Kickoff,2025-01-15 12:00:00,Bo3,BBL Esports vs GIANTX,2 - 1,3,Patch 10.0,GX ban Abyss; BBL ban Fracture; GX pick Lotus; BBL pick Haven; GX ban Split; BBL ban Bind; Pearl remains
429380,Karmine Corp vs Natus Vincere,VCT 2025: EMEA Kickoff,2025-01-15 15:30:00,Bo3,Karmine Corp vs Natus Vincere,2 - 1,3,Patch 10.0,NAVI ban Fracture; KC ban Split; NAVI pick Abyss; KC pick Bind; NAVI ban Haven; KC ban Pearl; Lotus remains
429379,Team Liquid vs Movistar KOI(KOI),VCT 2025: EMEA Kickoff,2025-01-16 12:00:00,Bo3,Team Liquid vs Movistar KOI(KOI),2 - 1,3,Patch 10.0,TL ban Lotus; MKOI ban Haven; TL pick Fracture; MKOI pick Abyss; TL ban Pearl; MKOI ban Split; Bind remains
429382,Apeks vs Gentle Mates,VCT 2025: EMEA Kickoff,2025-01-16 15:10:00,Bo3,Apeks vs Gentle Mates,0 - 2,2,Patch 10.0,M8 ban Lotus; APK ban Split; M8 pick Pearl; APK pick Haven; M8 ban Fracture; APK ban Abyss; Bind remains
429385,FNATIC vs BBL Esports,VCT 2025: EMEA Kickoff,2025-01-17 12:00:00,Bo3,FNATIC vs BBL Esports,1 - 2,3,Patch 10.0,BBL ban Bind; FNC ban Pearl; BBL pick Abyss; FNC pick Fracture; BBL ban Haven; FNC ban Lotus; Split remains
429384,Team Vitality vs Karmine Corp,VCT 2025: EMEA Kickoff,2025-01-17 16:00:00,Bo3,Team Vitality vs Karmine Corp,2 - 1,3,Patch 10.0,VIT ban Pearl; KC ban Split; VIT pick Haven; KC pick Bind; VIT ban Lotus; KC ban Fracture; Abyss remains
429383,FUT Esports vs Team Liquid,VCT 2025: EMEA Kickoff,2025-01-22 12:00:00,Bo3,FUT Esports vs Team Liquid,2 - 0,2,Patch 10.0,FUT ban Bind; TL ban Lotus; FUT pick Pearl; TL pick Fracture; FUT ban Abyss; TL ban Haven; Split remains
429386,Team Heretics vs Gentle Mates,VCT 2025: EMEA Kickoff,2025-01-22 14:10:00,Bo3,Team Heretics vs Gentle Mates,2 - 1,3,Patch 10.0,M8 ban Lotus; TH ban Split; M8 pick Abyss; TH pick Fracture; M8 ban Bind; TH ban Haven; Pearl remains
429393,Karmine Corp vs GIANTX,VCT 2025: EMEA Kickoff,2025-01-23 12:00:00,Bo3,Karmine Corp vs GIANTX,1 - 2,3,Patch 10.0,KC ban Haven; GX ban Abyss; KC pick Bind; GX pick Lotus; KC ban Split; GX ban Pearl; Fracture remains
429392,FNATIC vs Natus Vincere,VCT 2025: EMEA Kickoff,2025-01-23 15:30:00,Bo3,FNATIC vs Natus Vincere,2 - 1,3,Patch 10.0,NAVI ban Bind; FNC ban Abyss; NAVI pick Pearl; FNC pick Fracture; NAVI ban Lotus; FNC ban Split; Haven remains
429394,Team Liquid vs Apeks,VCT 2025: EMEA Kickoff,2025-01-24 12:00:00,Bo3,Team Liquid vs Apeks,2 - 1,3,Patch 10.0,TL ban Lotus; APK ban Split; TL pick Abyss; APK pick Pearl; TL ban Fracture; APK ban Bind; Haven remains
429391,Gentle Mates vs Movistar KOI(KOI),VCT 2025: EMEA Kickoff,2025-01-24 15:10:00,Bo3,Gentle Mates vs Movistar KOI(KOI),2 - 1,3,Patch 10.0,M8 ban Fracture; MKOI ban Abyss; M8 pick Haven; MKOI pick Lotus; M8 ban Split; MKOI ban Bind; Pearl remains
429388,BBL Esports vs Team Heretics,VCT 2025: EMEA Kickoff,2025-01-29 12:00:00,Bo3,BBL Esports vs Team Heretics,0 - 2,2,Patch 10.01,BBL ban Fracture; TH ban Split; BBL pick Pearl; TH pick Lotus; BBL ban Haven; TH ban Bind; Abyss remains
429387,FUT Esports vs Team Vitality,VCT 2025: EMEA Kickoff,2025-01-29 14:25:00,Bo3,FUT Esports vs Team Vitality,0 - 2,2,Patch 10.01,FUT ban Haven; VIT ban Pearl; FUT pick Bind; VIT pick Split; FUT ban Fracture; VIT ban Abyss; Lotus remains
429395,Gentle Mates vs FNATIC,VCT 2025: EMEA Kickoff,2025-01-30 12:00:00,Bo3,Gentle Mates vs FNATIC,0 - 2,2,Patch 10.01,M8 ban Lotus; FNC ban Bind; M8 pick Abyss; FNC pick Fracture; M8 ban Split; FNC ban Pearl; Haven remains
429396,GIANTX vs Team Liquid,VCT 2025: EMEA Kickoff,2025-01-30 14:15:00,Bo3,GIANTX vs Team Liquid,0 - 2,2,Patch 10.01,GX ban Abyss; TL ban Lotus; GX pick Fracture; TL pick Split; GX ban Haven; TL ban Pearl; Bind remains
429397,FUT Esports vs FNATIC,VCT 2025: EMEA Kickoff,2025-01-31 12:00:00,Bo3,FUT Esports vs FNATIC,2 - 0,2,Patch 10.01,FUT ban Split; FNC ban Bind; FUT pick Abyss; FNC pick Fracture; FUT ban Haven; FNC ban Lotus; Pearl remains
429398,BBL Esports vs Team Liquid,VCT 2025: EMEA Kickoff,2025-01-31 14:15:00,Bo3,BBL Esports vs Team Liquid,1 - 2,3,Patch 10.01,TL ban Lotus; BBL ban Fracture; TL pick Bind; BBL pick Pearl; TL ban Abyss; BBL ban Haven; Split remains
429389,Team Vitality vs Team Heretics,VCT 2025: EMEA Kickoff,2025-02-07 12:00:00,Bo3,Team Vitality vs Team Heretics,2 - 0,2,Patch 10.01,VIT ban Pearl; TH ban Split; VIT pick Haven; TH pick Abyss; VIT ban Lotus; TH ban Fracture; Bind remains
429400,FUT Esports vs Team Liquid,VCT 2025: EMEA Kickoff,2025-02-07 14:10:00,Bo3,FUT Esports vs Team Liquid,1 - 2,3,Patch 10.01,FUT ban Split; TL ban Pearl; FUT pick Abyss; TL pick Bind; FUT ban Fracture; TL ban Lotus; Haven remains
429401,Team Heretics vs Team Liquid,VCT 2025: EMEA Kickoff,2025-02-08 12:00:00,Bo5,Team Heretics vs Team Liquid,0 - 3,3,Patch 10.01,TH ban Split; TL ban Pearl; TH pick Lotus; TL pick Abyss; TH pick Fracture; TL pick Haven; Bind remains
429390,Team Vitality vs Team Liquid,VCT 2025: EMEA Kickoff,2025-02-09 12:00:00,Bo5,Team Vitality vs Team Liquid,3 - 2,5,Patch 10.01,VIT ban Pearl; VIT ban Abyss; VIT pick Split; TL pick Haven; VIT pick Lotus; TL pick Bind; Fracture remains
