map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Lotus,BBL,1,3 (1),2 (0),3 (2),14 (10),429381
Lotus,GX,1,3 (1),1 (0),5 (2),13 (6),429381
Haven,BBL,2,2 (2),0 (0),6 (3),18 (7),429381
Haven,GX,0,4 (0),2 (1),3 (1),17 (12),429381
All Maps,BBL,2,2 (2),0 (0),5 (4),11 (7),429381
All Maps,GX,0,4 (0),3 (1),3 (0),8 (4),429381
Abyss,KC,1,3 (1),1 (0),8 (3),11 (6),429380
Abyss,NAVI,1,3 (1),0 (0),5 (3),15 (9),429380
Bind,KC,2,2 (2),0 (0),4 (4),9 (7),429380
Bind,NAVI,0,3 (0),1 (0),4 (1),7 (1),429380
All Maps,KC,1,3 (1),0 (0),3 (2),13 (10),429380
All Maps,NAVI,1,2 (1),3 (0),5 (2),9 (3),429380
Fracture,TL,1,3 (1),1 (0),6 (2),13 (7),429379
Fracture,MKOI,1,4 (2),1 (0),2 (1),16 (10),429379
Abyss,TL,1,3 (1),0 (0),2 (2),11 (10),429379
Abyss,MKOI,1,3 (1),2 (0),4 (1),7 (1),429379
All Maps,TL,1,3 (1),0 (0),4 (2),16 (10),429379
All Maps,MKOI,1,4 (2),0 (0),7 (3),12 (5),429379
Pearl,APK,0,5 (0),2 (0),2 (1),11 (6),429382
Pearl,M8,2,3 (3),0 (0),6 (4),11 (6),429382
Haven,APK,1,3 (1),3 (0),2 (1),18 (10),429382
Haven,M8,1,3 (1),2 (0),3 (2),18 (11),429382
All Maps,APK,1,8 (1),5 (0),4 (2),29 (16),429382
All Maps,M8,3,6 (4),2 (0),9 (6),29 (17),429382
Abyss,FNC,1,3 (1),0 (0),5 (3),13 (4),429385
Abyss,BBL,1,3 (1),2 (0),5 (4),11 (8),429385
Fracture,FNC,2,2 (2),0 (0),6 (4),13 (7),429385
Fracture,BBL,0,4 (1),4 (1),5 (3),8 (3),429385
All Maps,FNC,1,3 (1),1 (0),7 (3),12 (6),429385
All Maps,BBL,1,3 (1),2 (1),7 (3),11 (8),429385
Haven,VIT,2,2 (2),0 (0),5 (4),11 (7),429384
Haven,KC,0,4 (0),1 (0),4 (2),9 (3),429384
Bind,VIT,1,3 (1),0 (0),6 (1),13 (7),429384
Bind,KC,1,3 (1),1 (0),7 (4),11 (8),429384
All Maps,VIT,2,2 (2),2 (1),9 (5),19 (9),429384
All Maps,KC,0,4 (0),0 (0),4 (3),24 (12),429384
Pearl,FUT,1,4 (1),0 (0),3 (1),13 (11),429383
Pearl,TL,1,3 (1),1 (0),5 (1),11 (5),429383
Fracture,FUT,1,3 (1),1 (1),4 (4),11 (7),429383
Fracture,TL,1,3 (1),3 (1),5 (2),8 (2),429383
All Maps,FUT,2,7 (2),1 (1),7 (5),24 (18),429383
All Maps,TL,2,6 (2),4 (1),10 (3),19 (7),429383
Abyss,TH,0,4 (0),1 (0),2 (0),10 (4),429386
Abyss,M8,2,2 (2),0 (0),3 (3),12 (8),429386
Fracture,TH,2,3 (2),0 (0),3 (2),10 (9),429386
Fracture,M8,0,3 (0),2 (0),3 (1),8 (2),429386
All Maps,TH,1,3 (1),1 (0),2 (1),15 (11),429386
All Maps,M8,1,4 (1),1 (0),5 (2),11 (5),429386
Bind,KC,2,2 (2),2 (0),8 (5),14 (7),429393
