match_id,map_name,map_order,score,winner,duration,picked_by
459826,Split,1,13 - 9,Team Vitality,1:16:15,Team Vitality
459826,Lotus,2,13 - 2,Team Vitality,34:00,GIANTX
459827,Icebox,1,3 - 13,Karmine Corp,47:40,Karmine Corp
459827,Pearl,2,13 - 11,BBL Esports,57:52,BBL Esports
459827,Fracture,3,13 - 8,BBL Esports,46:23,Decider
459828,Ascent,1,5 - 13,Apeks,1:07:19,Team Heretics
459828,Split,2,13 - 8,Team Heretics,50:00,Apeks
459828,Icebox,3,13 - 6,Team Heretics,44:07,Decider
459829,Pearl,1,13 - 4,FUT Esports,52:39,FUT Esports
459829,Lotus,2,14 - 12,FUT Esports,56:26,Movistar KOI(KOI)
459830,Split,1,13 - 5,FNATIC,47:09,FNATIC
459830,Fracture,2,13 - 11,FNATIC,1:01:43,Natus Vincere
459831,Split,1,13 - 6,Team Liquid,48:23,Team Liquid
459831,Haven,2,12 - 14,Gentle Mates,55:47,Gentle Mates
459831,Icebox,3,6 - 13,Gentle Mates,40:49,Decider
459832,Fracture,1,13 - 7,Team Liquid,56:20,Team Liquid
459832,Haven,2,4 - 13,BBL Esports,41:51,BBL Esports
459832,Ascent,3,13 - 4,Team Liquid,36:35,Decider
459833,Lotus,1,13 - 10,Apeks,1:03:39,Natus Vincere
459833,Haven,2,11 - 13,Natus Vincere,1:04:08,Apeks
459833,Split,3,6 - 13,Natus Vincere,44:08,Decider
459834,Icebox,1,10 - 13,Gentle Mates,1:01:36,Gentle Mates
459834,Fracture,2,18 - 16,FUT Esports,1:12:56,FUT Esports
459834,Lotus,3,13 - 4,FUT Esports,36:11,Decider
459835,Haven,1,13 - 3,Team Heretics,39:05,GIANTX
459835,Split,2,11 - 13,GIANTX,53:22,Team Heretics
459835,Lotus,3,13 - 8,Team Heretics,46:48,Decider
459836,Split,1,18 - 16,Team Vitality,1:45:23,FNATIC
459836,Lotus,2,6 - 13,FNATIC,51:17,Team Vitality
459836,Haven,3,10 - 13,FNATIC,1:00:25,Decider
459837,Lotus,1,2 - 13,Karmine Corp,50:34,Movistar KOI(KOI)
459837,Icebox,2,12 - 14,Karmine Corp,1:00:42,Karmine Corp
459839,Pearl,1,6 - 13,BBL Esports,1:05:11,BBL Esports
459839,Icebox,2,9 - 13,BBL Esports,47:29,Movistar KOI(KOI)
459840,Fracture,1,9 - 13,GIANTX,57:45,Natus Vincere
459840,Pearl,2,13 - 7,Natus Vincere,49:20,GIANTX
459840,Split,3,13 - 0,Natus Vincere,29:17,Decider
459841,Lotus,1,13 - 1,Team Liquid,45:25,FUT Esports
459841,Split,2,13 - 9,Team Liquid,48:29,Team Liquid
459842,Haven,1,10 - 13,Team Heretics,1:06:18,Team Heretics
459842,Icebox,2,6 - 13,Team Heretics,51:46,Team Vitality
459843,Lotus,1,5 - 13,FNATIC,46:30,Apeks
459843,Split,2,14 - 16,FNATIC,1:16:11,FNATIC
459844,Haven,1,14 - 12,Karmine Corp,1:30:25,Gentle Mates
459844,Pearl,2,13 - 2,Karmine Corp,1:16:48,Karmine Corp
459845,Ascent,1,13 - 5,Team Vitality,1:00:54,Apeks
459845,Lotus,2,13 - 10,Team Vitality,58:49,Team Vitality
459846,Split,1,13 - 5,Team Liquid,40:07,Team Liquid
459846,Lotus,2,13 - 9,Team Liquid,58:57,Movistar KOI(KOI)
459847,Lotus,1,12 - 14,BBL Esports,1:11:51,BBL Esports
459847,Haven,2,2 - 13,BBL Esports,33:59,Gentle Mates
459848,Ascent,1,13 - 10,GIANTX,1:01:56,GIANTX
459848,Lotus,2,5 - 13,FNATIC,43:53,FNATIC
459848,Haven,3,10 - 13,FNATIC,51:32,Decider
459849,Lotus,1,5 - 13,FUT Esports,45:17,Karmine Corp
459849,Ascent,2,11 - 13,FUT Esports,53:44,Decider
459849,Pearl,3,14 - 12,Karmine Corp,1:26:37,FUT Esports
459850,Haven,1,3 - 13,Team Heretics,48:29,Team Heretics
459850,Pearl,2,8 - 13,Team Heretics,1:04:30,Natus Vincere
459852,Ascent,1,25 - 23,BBL Esports,2:05:00,BBL Esports
459852,Icebox,2,13 - 11,BBL Esports,1:01:21,FUT Esports
459853,Lotus,1,13 - 7,GIANTX,1:10:01,Apeks
459853,Ascent,2,13 - 9,GIANTX,53:48,GIANTX
459854,Split,1,13 - 11,Gentle Mates,1:02:18,Gentle Mates
459854,Icebox,2,6 - 13,Movistar KOI(KOI),39:27,Movistar KOI(KOI)
459854,Fracture,3,9 - 13,Movistar KOI(KOI),46:26,Decider
459855,Haven,1,5 - 13,Natus Vincere,49:15,Team Vitality
459855,Icebox,2,11 - 13,Natus Vincere,1:00:49,Natus Vincere
459856,Icebox,1,9 - 13,Karmine Corp,54:25,Karmine Corp
459856,Lotus,2,13 - 6,Team Liquid,38:02,Decider
459856,Split,3,13 - 6,Team Liquid,-,Team Liquid
459857,Haven,1,5 - 13,Team Heretics,45:48,Team Heretics
459857,Lotus,2,10 - 13,Team Heretics,55:42,FNATIC
482503,Lotus,1,13 - 9,BBL Esports,1:07:28,BBL Esports
482503,Fracture,2,13 - 10,BBL Esports,55:46,Natus Vincere
482504,Split,1,13 - 8,FNATIC,50:58,FNATIC
482504,Lotus,2,13 - 6,FNATIC,1:01:36,FUT Esports
482505,Icebox,1,12 - 14,Karmine Corp,1:21:45,Karmine Corp
482505,Split,2,13 - 11,Natus Vincere,1:01:52,Natus Vincere
482505,Ascent,3,13 - 11,Natus Vincere,57:59,Decider
482506,Split,1,13 - 6,FUT Esports,47:30,Team Vitality
482506,Fracture,2,13 - 7,FUT Esports,1:06:15,FUT Esports
482507,Icebox,1,14 - 12,Team Heretics,59:03,Team Heretics
482507,Ascent,2,13 - 10,Team Heretics,1:08:11,BBL Esports
482508,Split,1,10 - 13,FNATIC,1:14:44,Team Liquid
482508,Icebox,2,13 - 11,Team Liquid,54:25,FNATIC
482508,Fracture,3,12 - 14,FNATIC,55:57,Decider
482510,Ascent,1,13 - 10,BBL Esports,56:55,Decider
482510,Split,2,13 - 2,BBL Esports,34:02,FUT Esports
482510,Haven,3,12 - 14,FUT Esports,1:11:31,BBL Esports
482509,Icebox,1,11 - 13,Natus Vincere,1:09:34,Natus Vincere
482509,Split,2,13 - 4,Team Liquid,38:16,Team Liquid
482509,Ascent,3,13 - 8,Team Liquid,42:26,Decider
482515,Fracture,1,6 - 13,FNATIC,58:07,FNATIC
482515,Icebox,2,8 - 13,FNATIC,55:22,Team Heretics
482511,Haven,1,13 - 11,Team Liquid,1:06:33,BBL Esports
482511,Split,2,7 - 13,BBL Esports,43:32,Team Liquid
482511,Fracture,3,13 - 8,Team Liquid,43:46,Decider
482512,Haven,1,13 - 3,Team Heretics,49:03,Team Heretics
482512,Ascent,2,13 - 10,Team Heretics,49:22,Team Liquid
482512,Icebox,3,13 - 2,Team Heretics,33:50,Team Heretics
482513,Split,1,13 - 4,FNATIC,1:03:12,FNATIC
482513,Icebox,2,13 - 9,FNATIC,53:25,Team Heretics
482513,Fracture,3,14 - 12,FNATIC,1:07:19,FNATIC
