map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Split,VIT,1,3 (1),2 (1),2 (2),15 (9),459826
Split,GX,1,3 (1),0 (0),6 (4),13 (4),459826
Lotus,VIT,2,2 (2),0 (0),3 (3),10 (8),459826
Lotus,GX,0,3 (0),2 (0),7 (2),3 (0),459826
All Maps,VIT,3,5 (3),2 (1),5 (5),25 (17),459826
All Maps,GX,1,6 (1),2 (0),13 (6),16 (4),459826
Icebox,BBL,1,3 (1),1 (0),4 (1),8 (1),459827
Icebox,KC,1,3 (1),0 (0),2 (2),11 (10),459827
Pearl,BBL,1,3 (1),4 (2),5 (3),12 (7),459827
Pearl,KC,1,4 (2),0 (0),6 (1),14 (8),459827
All Maps,BBL,2,2 (2),1 (1),5 (2),13 (8),459827
All Maps,KC,0,4 (0),2 (0),4 (2),11 (6),459827
Ascent,TH,1,3 (1),1 (0),7 (2),7 (2),459828
Ascent,APK,1,3 (1),1 (0),2 (2),12 (10),459828
Split,TH,2,2 (2),0 (0),8 (3),11 (8),459828
Split,APK,0,4 (0),2 (0),2 (0),13 (8),459828
All Maps,TH,0,4 (1),1 (1),1 (0),13 (11),459828
All Maps,APK,2,3 (2),2 (0),5 (1),9 (3),459828
Pearl,FUT,1,3 (1),0 (0),2 (2),12 (10),459829
Pearl,MKOI,1,3 (1),2 (1),7 (1),5 (1),459829
Lotus,FUT,2,2 (2),2 (0),7 (4),15 (8),459829
Lotus,MKOI,0,5 (0),2 (0),1 (1),18 (11),459829
All Maps,FUT,3,5 (3),2 (0),9 (6),27 (18),459829
All Maps,MKOI,1,8 (1),4 (1),8 (2),23 (12),459829
Split,FNC,2,2 (2),0 (0),3 (3),13 (8),459830
Split,NAVI,0,4 (0),1 (0),8 (3),5 (2),459830
Fracture,FNC,1,3 (1),2 (1),4 (1),15 (10),459830
Fracture,NAVI,1,3 (1),0 (0),4 (1),17 (9),459830
All Maps,FNC,3,5 (3),2 (1),7 (4),28 (18),459830
