player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
kaajak,kaajak,FNC,9554,"['Yoru', 'Neon', 'Raze', 'Sage']",4,489,1.24,249.9,1.38,76%,160.6,0.89,0.19,0.19,0.12,30%,10%,3/31,28,435,316,95,91,59
marteen,marteen,KC,10307,"['Omen', 'Yoru', 'Jett']",3,326,1.22,245.3,1.31,74%,159.2,0.87,0.22,0.16,0.13,33%,28%,8/29,27,283,216,73,52,42
SUYGETSU,SUYGETSU,KC,2858,"['Viper', 'Astra', 'Omen']",3,326,1.11,195.3,1.2,77%,129.7,0.73,0.32,0.08,0.09,41%,8%,4/48,26,237,198,105,25,29
sociablEE,sociablEE,BBL,5568,"['Sova', 'Chamber', 'Tejo', 'Fade', 'Yoru', 'Sage']",6,489,1.11,212.6,1.22,72%,142.4,0.79,0.2,0.09,0.07,26%,16%,10/64,40,385,316,97,41,33
MiniBoo,MiniBoo,TH,18350,"['Waylay', 'Raze', 'Neon', 'Yoru']",4,447,1.1,241.0,1.2,72%,151.3,0.85,0.22,0.2,0.15,34%,32%,7/22,23,379,317,99,89,68
Keiko,Keiko,TL,11494,"['Raze', 'Omen', 'Brimstone', 'Iso', 'Jett']",5,489,1.09,213.8,1.1,72%,141.6,0.77,0.24,0.11,0.07,39%,15%,7/48,25,377,343,116,54,35
RieNs,RieNs,TH,10971,"['Sova', 'Fade', 'Breach', 'Gekko']",4,447,1.09,207.1,1.13,78%,139.5,0.74,0.36,0.08,0.07,39%,16%,8/50,29,329,292,161,35,31
PROFEK,PROFEK,BBL,5554,"['Clove', 'Astra', 'Omen', 'Viper', 'Brimstone']",5,489,1.09,209.8,1.08,75%,136.7,0.74,0.43,0.08,0.06,27%,4%,2/47,37,361,334,208,37,30
crashies,crashies,FNC,4,"['Fade', 'Tejo', 'Sova']",3,489,1.09,190.6,1.14,76%,128.8,0.68,0.32,0.05,0.06,33%,24%,13/54,26,334,294,158,26,29
nAts,nAts,TL,457,"['Viper', 'Cypher', 'Vyse']",3,489,1.08,216.0,1.15,70%,141.8,0.77,0.22,0.14,0.09,26%,12%,7/58,23,376,328,106,68,44
Wo0t,Wo0t,TH,21328,"['Kayo', 'Iso', 'Tejo', 'Jett', 'Gekko', 'Raze']",6,447,1.08,222.0,1.16,73%,141.8,0.8,0.2,0.13,0.1,33%,22%,7/32,26,356,308,90,58,44
CyvOph,CyvOph,VIT,13258,"['Omen', 'Iso', 'Killjoy', 'Brimstone']",4,277,1.07,209.5,1.06,71%,127.7,0.73,0.33,0.08,0.08,32%,6%,2/36,23,203,191,91,21,23
Shao,Shao,NAVI,384,"['Astra', 'Breach', 'Sova', 'Tejo', 'Gekko']",5,423,1.07,194.7,1.07,75%,133.7,0.69,0.26,0.06,0.05,33%,18%,12/68,26,291,271,108,25,23
florescent,florescent,APK,17976,"['Yoru', 'Waylay', 'Neon', 'Raze']",4,255,1.07,235.8,1.11,67%,151.7,0.85,0.2,0.16,0.16,35%,8%,2/24,27,216,195,51,41,40
kamyk,kamyk,M8,1475,"['Breach', 'Kayo', 'Fade', 'Tejo']",4,285,1.07,205.2,1.04,72%,141.0,0.76,0.32,0.05,0.07,34%,11%,4/36,34,218,210,92,14,21
Ruxic,Ruxic,NAVI,18677,"['Omen', 'Brimstone', 'Astra', 'Viper']",4,423,1.06,210.4,1.05,76%,136.6,0.73,0.34,0.1,0.1,32%,12%,6/51,29,308,292,145,44,44
Chronicle,Chronicle,FNC,458,"['Viper', 'Breach', 'Cypher', 'Sova', 'Gekko']",5,489,1.06,203.8,1.1,76%,131.1,0.7,0.31,0.1,0.09,23%,5%,3/55,25,341,309,153,49,43
MrFaliN,MrFaliN,FUT,8044,"['Tejo', 'Breach', 'Sova', 'Skye']",4,433,1.05,186.1,0.94,70%,126.0,0.63,0.39,0.09,0.09,23%,11%,6/57,38,273,290,171,35,36
benjyfishy,benjyfishy,TH,29873,"['Cypher', 'Viper', 'Vyse', 'Killjoy']",4,447,1.05,197.5,1.15,74%,133.9,0.74,0.17,0.07,0.06,38%,16%,10/64,26,329,287,77,31,27
Minny,Minny,M8,23169,"['Viper', 'Cypher', 'Killjoy', 'Vyse']",4,285,1.05,190.7,1.02,68%,131.3,0.69,0.17,0.09,0.08,35%,10%,5/48,25,198,194,48,26,22
ara,ara,GX,11332,"['Jett', 'Neon']",2,106,1.04,229.8,1.09,77%,146.7,0.8,0.15,0.2,0.16,24%,0%,0/11,22,85,78,16,21,17
Avez,Avez,KC,5654,"['Tejo', 'Fade', 'Phoenix', 'Raze', 'Kayo']",5,326,1.03,204.4,1.07,71%,132.9,0.7,0.26,0.07,0.12,32%,12%,3/25,25,229,215,86,22,38
soulcas,soulcas,MKOI,101,"['Vyse', 'Tejo', 'Killjoy']",3,230,1.03,190.6,1.0,73%,127.7,0.7,0.2,0.07,0.03,35%,16%,5/31,23,160,160,45,16,7
LewN,LewN,BBL,20144,"['Chamber', 'Yoru', 'Jett', 'Raze', 'Iso']",5,489,1.03,221.0,1.1,70%,148.4,0.79,0.18,0.2,0.18,32%,19%,6/31,42,384,349,87,92,85
MAGNUM,MAGNUM,BBL,2173,"['Viper', 'Vyse', 'Cypher', 'Kayo', 'Killjoy', 'Fade', 'Deadlock']",7,489,1.03,197.1,1.05,74%,127.4,0.71,0.31,0.1,0.09,23%,15%,7/48,38,346,328,152,45,40
yetujey,yetujey,FUT,8369,"['Cypher', 'Tejo', 'Viper', 'Killjoy', 'Deadlock']",5,433,1.03,189.5,1.07,69%,130.6,0.71,0.24,0.09,0.09,23%,8%,5/63,38,308,288,105,37,36
Cloud,Cloud,GX,4181,"['Tejo', 'Fade', 'Yoru', 'Sova']",4,259,1.02,206.8,1.02,72%,137.2,0.76,0.24,0.11,0.1,28%,3%,1/35,23,198,194,61,29,26
hiro,hiro,NAVI,29867,"['Vyse', 'Cypher', 'Raze', 'Killjoy']",4,423,1.01,202.9,1.08,68%,135.7,0.74,0.18,0.06,0.1,31%,14%,6/42,26,315,292,75,27,44
xeus,xeus,FUT,12793,"['Yoru', 'Jett', 'Neon', 'Chamber', 'Waylay']",5,433,1.0,233.0,1.08,67%,144.6,0.83,0.15,0.2,0.18,39%,4%,1/23,33,359,333,66,82,75
Alfajer,Alfajer,FNC,9810,"['Raze', 'Cypher', 'Killjoy', 'Iso', 'Vyse']",5,489,0.99,213.4,1.08,70%,142.7,0.77,0.16,0.12,0.1,30%,19%,8/43,26,378,350,79,61,51
MOLSI,MOLSI,APK,1281,"['Deadlock', 'Breach', 'Viper']",3,255,0.99,194.4,0.97,72%,125.6,0.69,0.35,0.06,0.08,29%,8%,3/36,25,177,183,89,16,20
koalanoob,koalanoob,NAVI,3722,"['Raze', 'Chamber', 'Yoru', 'Omen']",4,423,0.99,210.3,1.0,70%,133.8,0.72,0.2,0.19,0.14,21%,9%,3/35,24,306,307,86,81,59
AtaKaptan,AtaKaptan,FUT,6510,"['Astra', 'Omen', 'Viper', 'Brimstone']",4,433,0.99,184.9,0.89,72%,120.7,0.64,0.46,0.07,0.07,31%,20%,9/44,31,276,309,200,29,28
Jamppi,Jamppi,BBL,9780,"['Tejo', 'Sova', 'Breach', 'Kayo']",4,489,0.98,180.8,0.96,73%,115.1,0.64,0.4,0.05,0.08,23%,13%,7/54,20,313,325,195,25,37
westside,westside,GX,34684,"['Cypher', 'Viper', 'Vyse']",3,259,0.97,192.2,0.99,66%,124.3,0.72,0.19,0.07,0.08,42%,7%,3/42,23,186,187,48,19,20
Kicks,Kicks,VIT,11134,"['Breach', 'Omen', 'Kayo', 'Fade']",4,277,0.97,167.6,0.88,71%,110.0,0.6,0.43,0.04,0.09,23%,21%,6/29,26,165,188,118,10,24
Boo,Boo,TH,1144,"['Omen', 'Viper', 'Astra', 'Brimstone']",4,447,0.96,163.9,0.92,76%,103.6,0.57,0.4,0.08,0.06,33%,13%,8/62,23,255,277,177,37,26
Less,Less,VIT,8447,"['Cypher', 'Viper']",2,277,0.95,189.2,1.01,68%,123.8,0.68,0.18,0.06,0.08,32%,11%,4/37,26,188,187,50,16,23
paTiTek,paTiTek,TL,309,"['Fade', 'Breach', 'Tejo', 'Sova', 'Kayo']",5,489,0.95,176.3,0.93,73%,116.7,0.62,0.27,0.07,0.05,25%,9%,5/53,23,303,327,134,35,24
Elite,Elite,KC,16459,"['Killjoy', 'Vyse', 'Cypher', 'Deadlock', 'Viper']",5,326,0.95,172.2,0.91,71%,114.8,0.6,0.23,0.06,0.06,33%,14%,6/43,20,194,213,75,21,18
kamo,kamo,TL,14681,"['Yoru', 'Jett', 'Waylay', 'Neon', 'Gekko']",5,489,0.94,209.3,1.01,69%,135.3,0.74,0.16,0.18,0.16,30%,19%,7/36,23,361,357,80,86,77
Derke,Derke,VIT,5022,"['Yoru', 'Jett', 'Neon', 'Raze']",4,277,0.93,208.5,0.92,64%,133.4,0.69,0.22,0.21,0.24,23%,21%,4/19,20,192,209,61,59,67
Boaster,Boaster,FNC,438,"['Astra', 'Brimstone', 'Omen', 'Viper']",4,489,0.93,161.7,0.93,72%,106.6,0.56,0.35,0.07,0.09,24%,26%,11/43,29,276,298,173,35,45
Filu,Filu,MKOI,4544,"['Yoru', 'Iso', 'Raze', 'Jett']",4,230,0.93,206.9,0.94,64%,130.2,0.73,0.21,0.16,0.15,26%,15%,3/20,21,169,180,48,36,35
Flickless,Flickless,GX,6959,"['Kayo', 'Breach']",2,106,0.93,172.4,0.9,74%,116.5,0.61,0.38,0.05,0.12,33%,20%,1/5,19,65,72,40,5,13
Serial,Serial,TL,18162,"['Astra', 'Tejo', 'Killjoy', 'Deadlock']",4,489,0.92,167.0,0.89,70%,114.0,0.59,0.28,0.05,0.08,37%,14%,9/64,18,289,325,139,25,37
sheydos,sheydos,MKOI,1428,"['Chamber', 'Tejo', 'Killjoy', 'Sova', 'Breach', 'Fade']",6,230,0.92,169.4,0.92,68%,116.1,0.61,0.15,0.04,0.07,30%,14%,5/37,21,141,153,34,10,17
runneR,runneR,GX,21610,"['Breach', 'Vyse', 'Tejo', 'Omen']",4,195,0.92,173.7,0.79,68%,120.4,0.58,0.38,0.03,0.1,24%,28%,9/32,18,114,144,75,6,20
qRaxs,qRaxs,FUT,1139,"['Fade', 'Kayo', 'Raze', 'Neon']",4,433,0.91,171.8,0.88,72%,113.8,0.63,0.36,0.06,0.06,26%,24%,12/50,40,273,310,156,26,26
Kada,Kada,M8,20871,"['Omen', 'Viper', 'Brimstone', 'Astra']",4,285,0.91,177.8,0.85,73%,119.0,0.63,0.36,0.09,0.08,31%,7%,3/41,26,179,210,103,27,24
saadhak,saadhak,KC,727,"['Kayo', 'Harbor', 'Breach', 'Sova', 'Fade']",5,326,0.89,183.1,0.82,75%,119.6,0.59,0.4,0.11,0.13,26%,20%,5/25,18,192,235,130,36,43
AvovA,AvovA,APK,1507,"['Omen', 'Viper', 'Astra']",3,255,0.88,167.0,0.76,70%,108.3,0.54,0.39,0.06,0.05,29%,18%,8/45,19,138,182,99,15,12
purp0,purp0,GX,1885,"['Yoru', 'Raze', 'Iso', 'Omen', 'Brimstone', 'Astra']",6,217,0.88,173.1,0.78,68%,115.6,0.6,0.35,0.06,0.13,35%,15%,3/20,17,130,166,77,14,29
batujnax,batujnax,APK,18615,"['Cypher', 'Viper', 'Killjoy', 'Yoru']",4,255,0.87,187.8,0.86,69%,122.1,0.65,0.24,0.11,0.11,27%,3%,1/33,27,167,194,60,27,29
Sayf,Sayf,VIT,312,"['Tejo', 'Sova', 'Yoru']",3,277,0.86,165.2,0.82,68%,114.8,0.57,0.24,0.05,0.06,23%,14%,4/29,24,159,194,67,15,18
grubinho,grubinho,MKOI,5550,"['Astra', 'Omen', 'Viper', 'Brimstone']",4,230,0.86,153.6,0.75,69%,104.2,0.56,0.31,0.1,0.13,32%,8%,3/36,19,129,171,72,24,29
flyuh,flyuh,MKOI,3685,"['Sova', 'Cypher', 'Vyse', 'Viper']",4,230,0.84,189.7,0.8,71%,128.3,0.63,0.27,0.1,0.13,27%,8%,1/13,21,144,181,61,22,31
Zyppan,Zyppan,M8,11,"['Tejo', 'Sova', 'Omen']",3,285,0.78,150.5,0.74,68%,108.9,0.53,0.22,0.06,0.11,27%,6%,2/31,22,150,204,62,18,32
ANGE1,ANGE1,NAVI,109,"['Fade', 'Vyse', 'Sova', 'Tejo', 'Deadlock']",5,423,0.74,146.8,0.71,68%,100.2,0.51,0.22,0.08,0.1,34%,20%,8/41,18,215,302,93,32,43
Click,Click,M8,7866,"['Raze', 'Neon', 'Waylay', 'Yoru', 'Jett']",5,285,0.72,187.9,0.78,64%,115.6,0.62,0.14,0.13,0.22,36%,20%,3/15,22,178,227,40,37,64
tomaszy,tomaszy,GX,19691,"['Omen', 'Yoru', 'Raze', 'Neon']",4,153,0.65,146.0,0.61,61%,99.3,0.5,0.27,0.09,0.17,33%,7%,1/15,16,76,124,42,14,26
Governor,Governor,APK,3980,"['Sova', 'Tejo', 'Fade']",3,255,0.65,145.2,0.63,60%,98.0,0.48,0.2,0.08,0.13,27%,25%,5/20,17,122,195,50,20,34
