match_id,match_title,event,date,format,teams,score,maps_played,patch,pick_ban_info
511543,Natus Vincere vs Apeks,VCT 2025: EMEA Stage 2,2025-07-16 11:00:00,Bo3,Natus Vincere vs Apeks,2 - 1,3,Patch 11.0,NAVI ban Lotus; APK ban Bind; NAVI pick Icebox; APK pick Sunset; NAVI ban Haven; APK ban Ascent; Corrode remains
511544,Team Vitality vs GIANTX,VCT 2025: EMEA Stage 2,2025-07-16 13:50:00,Bo3,Team Vitality vs GIANTX,0 - 2,2,Patch 11.0,VIT ban Ascent; GX ban Corrode; VIT pick Sunset; GX pick Bind; VIT ban Icebox; GX ban Haven; Lotus remains
511545,FUT Esports vs Gentle Mates,VCT 2025: EMEA Stage 2,2025-07-17 11:00:00,Bo3,FUT Esports vs Gentle Mates,2 - 1,3,Patch 11.0,FUT ban Icebox; M8 ban Corrode; FUT pick Bind; M8 pick Sunset; FUT ban Haven; M8 ban Ascent; Lotus remains
511546,Team Liquid vs Movistar KOI(KOI),VCT 2025: EMEA Stage 2,2025-07-17 14:30:00,Bo3,Team Liquid vs Movistar KOI(KOI),2 - 1,3,Patch 11.0,TL ban Haven; MKOI ban Corrode; TL pick Bind; MKOI pick Icebox; TL ban Sunset; MKOI ban Ascent; Lotus remains
511547,Team Heretics vs BBL Esports,VCT 2025: EMEA Stage 2,2025-07-18 11:00:00,Bo3,Team Heretics vs BBL Esports,2 - 1,3,Patch 11.0,BBL ban Bind; TH ban Corrode; BBL pick Icebox; TH pick Haven; BBL ban Ascent; TH ban Lotus; Sunset remains
511548,FNATIC vs Karmine Corp,VCT 2025: EMEA Stage 2,2025-07-18 14:15:00,Bo3,FNATIC vs Karmine Corp,2 - 1,3,Patch 11.0,KC ban Ascent; FNC ban Corrode; KC pick Bind; FNC pick Lotus; KC ban Sunset; FNC ban Haven; Icebox remains
511549,Apeks vs Karmine Corp,VCT 2025: EMEA Stage 2,2025-07-23 11:00:00,Bo3,Apeks vs Karmine Corp,1 - 2,3,Patch 11.0,KC ban Ascent; APK ban Bind; KC pick Icebox; APK pick Sunset; KC ban Corrode; APK ban Haven; Lotus remains
511550,GIANTX vs BBL Esports,VCT 2025: EMEA Stage 2,2025-07-23 14:30:00,Bo3,GIANTX vs BBL Esports,2 - 1,3,Patch 11.0,BBL ban Bind; GX ban Ascent; BBL pick Icebox; GX pick Lotus; BBL ban Sunset; GX ban Haven; Corrode remains
511551,Team Liquid vs Natus Vincere,VCT 2025: EMEA Stage 2,2025-07-24 11:00:00,Bo3,Team Liquid vs Natus Vincere,2 - 0,2,Patch 11.0,NAVI ban Lotus; TL ban Icebox; NAVI pick Corrode; TL pick Sunset; NAVI ban Haven; TL ban Ascent; Bind remains
511552,Gentle Mates vs Team Heretics,VCT 2025: EMEA Stage 2,2025-07-24 13:05:00,Bo3,Gentle Mates vs Team Heretics,1 - 2,3,Patch 11.0,M8 ban Sunset; TH ban Icebox; M8 pick Corrode; TH pick Ascent; M8 ban Haven; TH ban Lotus; Bind remains
511553,FUT Esports vs Team Vitality,VCT 2025: EMEA Stage 2,2025-07-25 11:00:00,Bo3,FUT Esports vs Team Vitality,0 - 2,2,Patch 11.0,FUT ban Icebox; VIT ban Ascent; FUT pick Haven; VIT pick Lotus; FUT ban Corrode; VIT ban Sunset; Bind remains
511554,Movistar KOI(KOI) vs FNATIC,VCT 2025: EMEA Stage 2,2025-07-25 12:55:00,Bo3,Movistar KOI(KOI) vs FNATIC,0 - 2,2,Patch 11.0,FNC ban Corrode; MKOI ban Bind; FNC pick Ascent; MKOI pick Haven; FNC ban Icebox; MKOI ban Lotus; Sunset remains
511562,FUT Esports vs GIANTX,VCT 2025: EMEA Stage 2,2025-07-30 11:00:00,Bo3,FUT Esports vs GIANTX,2 - 1,3,Patch 11.0,FUT ban Icebox; GX ban Ascent; FUT pick Sunset; GX pick Haven; FUT ban Lotus; GX ban Corrode; Bind remains
511563,Gentle Mates vs BBL Esports,VCT 2025: EMEA Stage 2,2025-07-30 14:10:00,Bo3,Gentle Mates vs BBL Esports,0 - 2,2,Patch 11.0,BBL ban Bind; M8 ban Icebox; BBL pick Sunset; M8 pick Lotus; BBL ban Corrode; M8 ban Haven; Ascent remains
511564,Team Liquid vs Apeks,VCT 2025: EMEA Stage 2,2025-07-31 11:00:00,Bo3,Team Liquid vs Apeks,2 - 1,3,Patch 11.0,APK ban Bind; TL ban Sunset; APK pick Ascent; TL pick Corrode; APK ban Icebox; TL ban Haven; Lotus remains
511565,Movistar KOI(KOI) vs Karmine Corp,VCT 2025: EMEA Stage 2,2025-07-31 14:40:00,Bo3,Movistar KOI(KOI) vs Karmine Corp,1 - 2,3,Patch 11.0,MKOI ban Bind; KC ban Ascent; MKOI pick Lotus; KC pick Sunset; MKOI ban Icebox; KC ban Corrode; Haven remains
511566,Natus Vincere vs FNATIC,VCT 2025: EMEA Stage 2,2025-08-01 11:00:00,Bo3,Natus Vincere vs FNATIC,1 - 2,3,Patch 11.0,NAVI ban Lotus; FNC ban Corrode; NAVI pick Bind; FNC pick Ascent; NAVI ban Sunset; FNC ban Haven; Icebox remains
511567,Team Vitality vs Team Heretics,VCT 2025: EMEA Stage 2,2025-08-01 14:40:00,Bo3,Team Vitality vs Team Heretics,0 - 2,2,Patch 11.0,TH ban Icebox; VIT ban Sunset; TH pick Haven; VIT pick Ascent; TH ban Corrode; VIT ban Bind; Lotus remains
511568,FUT Esports vs Team Heretics,VCT 2025: EMEA Stage 2,2025-08-06 11:00:00,Bo3,FUT Esports vs Team Heretics,0 - 2,2,Patch 11.0,TH ban Corrode; FUT ban Sunset; TH pick Haven; FUT pick Bind; TH ban Icebox; FUT ban Lotus; Ascent remains
511569,Movistar KOI(KOI) vs Apeks,VCT 2025: EMEA Stage 2,2025-08-06 13:35:00,Bo3,Movistar KOI(KOI) vs Apeks,2 - 1,3,Patch 11.0,MKOI ban Sunset; APK ban Icebox; MKOI pick Lotus; APK pick Ascent; MKOI ban Corrode; APK ban Bind; Haven remains
511570,Gentle Mates vs GIANTX,VCT 2025: EMEA Stage 2,2025-08-07 11:00:00,Bo3,Gentle Mates vs GIANTX,1 - 2,3,Patch 11.0,M8 ban Sunset; GX ban Lotus; M8 pick Corrode; GX pick Ascent; M8 ban Bind; GX ban Icebox; Haven remains
511571,Natus Vincere vs Karmine Corp,VCT 2025: EMEA Stage 2,2025-08-07 14:00:00,Bo3,Natus Vincere vs Karmine Corp,2 - 0,2,Patch 11.0,KC ban Icebox; NAVI ban Lotus; KC pick Sunset; NAVI pick Corrode; KC ban Ascent; NAVI ban Haven; Bind remains
511572,Team Vitality vs BBL Esports,VCT 2025: EMEA Stage 2,2025-08-08 11:00:00,Bo3,Team Vitality vs BBL Esports,1 - 2,3,Patch 11.0,VIT ban Sunset; BBL ban Haven; VIT pick Lotus; BBL pick Icebox; VIT ban Ascent; BBL ban Corrode; Bind remains
511573,Team Liquid vs FNATIC,VCT 2025: EMEA Stage 2,2025-08-08 14:40:00,Bo3,Team Liquid vs FNATIC,2 - 0,2,Patch 11.0,TL ban Icebox; FNC ban Sunset; TL pick Bind; FNC pick Ascent; TL ban Haven; FNC ban Lotus; Corrode remains
511575,Movistar KOI(KOI) vs Natus Vincere,VCT 2025: EMEA Stage 2,2025-08-13 11:00:00,Bo3,Movistar KOI(KOI) vs Natus Vincere,1 - 2,3,Patch 11.0,MKOI ban Sunset; NAVI ban Lotus; MKOI pick Icebox; NAVI pick Corrode; MKOI ban Bind; NAVI ban Haven; Ascent remains
511576,Apeks vs FNATIC,VCT 2025: EMEA Stage 2,2025-08-13 14:20:00,Bo3,Apeks vs FNATIC,0 - 2,2,Patch 11.0,FNC ban Sunset; APK ban Icebox; FNC pick Bind; APK pick Lotus; FNC ban Haven; APK ban Corrode; Ascent remains
511577,GIANTX vs Team Heretics,VCT 2025: EMEA Stage 2,2025-08-14 11:00:00,Bo3,GIANTX vs Team Heretics,0 - 2,2,Patch 11.0,GX ban Bind; TH ban Corrode; GX pick Abyss; TH pick Haven; GX ban Icebox; TH ban Lotus; Ascent remains
511579,Gentle Mates vs Team Vitality,VCT 2025: EMEA Stage 2,2025-08-14 13:05:00,Bo3,Gentle Mates vs Team Vitality,1 - 2,3,Patch 11.0,M8 ban Haven; VIT ban Icebox; M8 pick Corrode; VIT pick Lotus; M8 ban Sunset; VIT ban Bind; Ascent remains
511580,FUT Esports vs BBL Esports,VCT 2025: EMEA Stage 2,2025-08-15 11:00:00,Bo3,FUT Esports vs BBL Esports,0 - 2,2,Patch 11.0,BBL ban Corrode; FUT ban Icebox; BBL pick Sunset; FUT pick Ascent; BBL ban Bind; FUT ban Lotus; Haven remains
511581,Team Liquid vs Karmine Corp,VCT 2025: EMEA Stage 2,2025-08-15 13:30:00,Bo3,Team Liquid vs Karmine Corp,1 - 2,3,Patch 11.0,TL ban Haven; KC ban Ascent; TL pick Lotus; KC pick Bind; TL ban Icebox; KC ban Corrode; Sunset remains
530924,FNATIC vs BBL Esports,VCT 2025: EMEA Stage 2,2025-08-21 11:00:00,Bo3,FNATIC vs BBL Esports,1 - 2,3,Patch 11.0,FNC ban Sunset; BBL ban Lotus; FNC pick Corrode; BBL pick Ascent; FNC ban Icebox; BBL ban Bind; Haven remains
530925,GIANTX vs Natus Vincere,VCT 2025: EMEA Stage 2,2025-08-21 14:15:00,Bo3,GIANTX vs Natus Vincere,2 - 1,3,Patch 11.0,NAVI ban Lotus; GX ban Icebox; NAVI pick Bind; GX pick Haven; NAVI ban Sunset; GX ban Corrode; Ascent remains
530928,Team Heretics vs BBL Esports,VCT 2025: EMEA Stage 2,2025-08-22 11:00:00,Bo3,Team Heretics vs BBL Esports,0 - 2,2,Patch 11.0,BBL ban Bind; TH ban Corrode; BBL pick Icebox; TH pick Ascent; BBL ban Lotus; TH ban Sunset; Haven remains
530929,Team Liquid vs GIANTX,VCT 2025: EMEA Stage 2,2025-08-22 13:20:00,Bo3,Team Liquid vs GIANTX,2 - 1,3,Patch 11.0,GX ban Bind; TL ban Haven; GX pick Sunset; TL pick Corrode; GX ban Lotus; TL ban Icebox; Ascent remains
530926,FNATIC vs Karmine Corp,VCT 2025: EMEA Stage 2,2025-08-23 11:00:00,Bo3,FNATIC vs Karmine Corp,2 - 1,3,Patch 11.0,KC ban Ascent; FNC ban Sunset; KC pick Haven; FNC pick Corrode; KC ban Icebox; FNC ban Lotus; Bind remains
530927,Natus Vincere vs Team Vitality,VCT 2025: EMEA Stage 2,2025-08-23 14:55:00,Bo3,Natus Vincere vs Team Vitality,2 - 0,2,Patch 11.0,VIT ban Icebox; NAVI ban Lotus; VIT pick Haven; NAVI pick Bind; VIT ban Sunset; NAVI ban Ascent; Corrode remains
530930,GIANTX vs FNATIC,VCT 2025: EMEA Stage 2,2025-08-24 11:00:00,Bo3,GIANTX vs FNATIC,2 - 0,2,Patch 11.0,FNC ban Ascent; GX ban Bind; FNC pick Lotus; GX pick Sunset; FNC ban Haven; GX ban Icebox; Corrode remains
530931,Team Heretics vs Natus Vincere,VCT 2025: EMEA Stage 2,2025-08-24 13:25:00,Bo3,Team Heretics vs Natus Vincere,0 - 2,2,Patch 11.0,NAVI ban Lotus; TH ban Corrode; NAVI pick Icebox; TH pick Haven; NAVI ban Ascent; TH ban Sunset; Bind remains
530932,BBL Esports vs Team Liquid,VCT 2025: EMEA Stage 2,2025-08-29 11:00:00,Bo3,BBL Esports vs Team Liquid,1 - 2,3,Patch 11.0,BBL ban Corrode; TL ban Icebox; BBL pick Ascent; TL pick Sunset; BBL ban Haven; TL ban Lotus; Bind remains
530933,GIANTX vs Natus Vincere,VCT 2025: EMEA Stage 2,2025-08-29 14:40:00,Bo3,GIANTX vs Natus Vincere,2 - 1,3,Patch 11.0,NAVI ban Lotus; GX ban Bind; NAVI pick Icebox; GX pick Sunset; NAVI ban Ascent; GX ban Corrode; Haven remains
530934,BBL Esports vs GIANTX,VCT 2025: EMEA Stage 2,2025-08-30 12:00:00,Bo5,BBL Esports vs GIANTX,0 - 3,3,Patch 11.0,BBL ban Corrode; GX ban Icebox; BBL pick Ascent; GX pick Sunset; BBL pick Bind; GX pick Lotus; Haven remains
538583,Team France vs Team EMEA,VCT 2025: EMEA Stage 2,2025-08-31 11:00:00,Bo1,Team France vs Team EMEA,0 - 1,1,Patch 11.0,
530935,Team Liquid vs GIANTX,VCT 2025: EMEA Stage 2,2025-08-31 12:00:00,Bo5,Team Liquid vs GIANTX,3 - 0,3,Patch 11.0,TL ban Icebox; TL ban Haven; TL pick Bind; GX pick Lotus; TL pick Sunset; GX pick Ascent; Corrode remains
