map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Pearl,BME,2,2 (2),4 (0),6 (3),12 (6),430514
Pearl,T1,0,3 (1),1 (0),2 (2),18 (10),430514
Bind,BME,1,3 (1),1 (1),3 (3),14 (8),430514
Bind,T1,1,3 (1),3 (0),3 (3),12 (4),430514
All Maps,BME,2,2 (2),2 (0),7 (2),9 (3),430514
All Maps,T1,0,4 (0),0 (0),4 (3),12 (10),430514
Split,ZETA,1,3 (1),1 (0),5 (2),13 (6),430515
Split,NS,1,3 (1),1 (0),6 (3),12 (9),430515
Haven,ZETA,1,3 (1),2 (0),6 (2),11 (6),430515
Haven,NS,1,3 (1),1 (0),4 (3),14 (9),430515
All Maps,ZETA,2,6 (2),3 (0),11 (4),24 (12),430515
All Maps,NS,2,6 (2),2 (0),10 (6),26 (18),430515
Abyss,GE,0,3 (0),2 (1),4 (0),7 (2),430516
Abyss,TS,2,2 (2),0 (0),5 (4),9 (7),430516
Split,GE,2,2 (2),3 (1),8 (5),7 (5),430516
Split,TS,0,4 (0),0 (0),4 (1),12 (6),430516
All Maps,GE,2,2 (2),0 (0),4 (4),13 (7),430516
All Maps,TS,0,4 (0),2 (1),3 (3),10 (2),430516
Abyss,DFM,1,3 (1),1 (0),4 (2),18 (11),430517
Abyss,RRQ,1,3 (1),1 (0),6 (3),16 (8),430517
Pearl,DFM,1,3 (1),1 (0),9 (2),3 (0),430517
Pearl,RRQ,1,3 (1),0 (0),4 (3),9 (9),430517
All Maps,DFM,1,3 (1),2 (1),6 (0),5 (1),430517
All Maps,RRQ,1,3 (2),0 (0),1 (1),12 (10),430517
Lotus,DRX,1,4 (1),0 (0),5 (2),15 (10),430521
Lotus,NS,1,2 (1),4 (1),5 (4),13 (5),430521
Pearl,DRX,1,3 (1),2 (0),2 (1),12 (4),430521
Pearl,NS,1,3 (1),0 (0),5 (4),11 (8),430521
All Maps,DRX,2,2 (2),1 (0),8 (4),11 (7),430521
All Maps,NS,0,4 (0),2 (1),2 (0),14 (8),430521
Bind,PRX,1,3 (1),1 (0),9 (3),6 (2),430518
Bind,T1,1,3 (1),0 (0),2 (2),14 (10),430518
Fracture,PRX,2,2 (2),2 (1),6 (3),11 (7),430518
Fracture,T1,0,4 (1),1 (0),4 (1),12 (6),430518
All Maps,PRX,1,3 (1),0 (0),9 (5),12 (5),430518
All Maps,T1,1,3 (1),0 (0),5 (1),16 (11),430518
Split,TLN,2,2 (2),2 (0),9 (2),6 (2),430519
Split,GE,0,5 (0),0 (0),2 (1),12 (12),430519
Abyss,TLN,0,3 (0),1 (1),7 (5),11 (7),430519
Abyss,GE,2,3 (2),2 (0),5 (2),12 (5),430519
All Maps,TLN,2,2 (2),1 (0),4 (3),14 (8),430519
All Maps,GE,0,4 (0),3 (1),1 (1),13 (6),430519
Fracture,GEN,1,3 (1),1 (0),7 (3),8 (2),430520
Fracture,RRQ,1,3 (1),1 (0),5 (3),10 (9),430520
Lotus,GEN,1,3 (1),0 (0),7 (4),11 (8),430520
Lotus,RRQ,1,3 (1),0 (0),10 (4),8 (3),430520
All Maps,GEN,0,3 (0),1 (1),3 (3),19 (10),430520
All Maps,RRQ,2,2 (2),1 (0),7 (4),16 (6),430520
Pearl,NS,2,2 (2),0 (0),4 (3),10 (8),430526
Pearl,BME,0,4 (0),2 (0),3 (0),7 (3),430526
Bind,NS,0,4 (0),2 (1),2 (1),12 (5),430526
Bind,BME,2,2 (2),3 (1),4 (4),11 (6),430526
All Maps,NS,1,2 (1),1 (0),3 (2),16 (10),430526
All Maps,BME,1,3 (1),2 (1),10 (3),7 (4),430526
Lotus,PRX,1,3 (2),0 (0),1 (1),14 (10),430529
Lotus,ZETA,1,3 (1),4 (1),3 (0),8 (3),430529
Fracture,PRX,1,2 (1),2 (1),2 (1),15 (10),430529
Fracture,ZETA,1,3 (1),2 (0),7 (3),9 (4),430529
All Maps,PRX,2,5 (3),2 (1),3 (2),29 (20),430529
All Maps,ZETA,2,6 (2),6 (1),10 (3),17 (7),430529
Lotus,RRQ,1,3 (1),0 (0),11 (4),8 (4),430527
Lotus,TS,1,3 (1),1 (0),4 (3),14 (9),430527
Pearl,RRQ,1,3 (1),0 (0),3 (3),11 (9),430527
Pearl,TS,1,3 (1),2 (0),6 (2),6 (1),430527
All Maps,RRQ,2,2 (2),0 (0),5 (5),10 (6),430527
All Maps,TS,0,4 (0),1 (0),2 (0),10 (4),430527
Abyss,GE,1,3 (1),2 (0),7 (4),9 (3),430528
Abyss,DFM,1,3 (1),0 (0),6 (3),12 (9),430528
Split,GE,0,4 (0),0 (0),2 (2),20 (10),430528
Split,DFM,2,2 (2),1 (0),11 (6),12 (6),430528
it,GE,1,7 (1),2 (0),9 (6),29 (13),430528
it,DFM,3,5 (3),1 (0),17 (9),24 (15),430528
Fracture,T1,1,3 (1),1 (0),3 (3),11 (9),430522
Fracture,TLN,1,3 (1),0 (0),8 (2),7 (2),430522
Bind,T1,0,4 (0),0 (0),7 (3),6 (1),430522
Bind,TLN,2,2 (2),0 (0),5 (3),10 (8),430522
All Maps,T1,1,4 (1),1 (1),1 (0),16 (11),430522
All Maps,TLN,1,2 (1),0 (0),10 (5),10 (3),430522
Abyss,GEN,2,2 (2),2 (0),9 (4),9 (3),430523
Abyss,DRX,0,5 (0),1 (1),2 (1),14 (11),430523
Bind,GEN,0,3 (0),1 (1),7 (4),17 (8),430523
Bind,DRX,2,3 (2),0 (0),5 (2),20 (11),430523
All Maps,GEN,2,5 (2),3 (1),16 (8),26 (11),430523
All Maps,DRX,2,8 (2),1 (1),7 (3),34 (22),430523
Fracture,NS,1,3 (1),2 (0),5 (3),16 (8),430530
Fracture,RRQ,1,3 (1),0 (0),5 (4),18 (9),430530
Lotus,NS,1,2 (1),3 (1),5 (4),32 (16),430530
Lotus,RRQ,1,3 (1),2 (1),6 (3),31 (15),430530
All Maps,NS,1,3 (1),2 (1),2 (0),14 (11),430530
All Maps,RRQ,1,3 (2),2 (0),7 (3),9 (3),430530
Abyss,DFM,2,2 (2),2 (1),13 (6),6 (4),430531
Abyss,PRX,0,3 (0),1 (0),4 (2),15 (8),430531
Pearl,DFM,2,2 (2),0 (0),4 (4),8 (7),430531
Pearl,PRX,0,3 (0),2 (1),8 (0),1 (0),430531
All Maps,DFM,4,4 (4),2 (1),17 (10),14 (11),430531
All Maps,PRX,0,6 (0),3 (1),12 (2),16 (8),430531
Lotus,TLN,2,2 (2),2 (0),6 (3),12 (4),430532
Lotus,NS,0,3 (0),2 (1),2 (1),15 (11),430532
Bind,TLN,2,3 (2),2 (1),4 (3),14 (7),430532
Bind,NS,0,3 (0),0 (0),8 (2),12 (8),430532
split,TLN,2,2 (2),1 (1),4 (3),11 (7),430532
split,NS,0,4 (0),1 (0),6 (3),7 (2),430532
All Maps,TLN,6,7 (6),5 (2),14 (9),37 (18),430532
All Maps,NS,0,10 (0),3 (1),16 (6),34 (21),430532
Abyss,GEN,1,3 (1),0 (0),4 (4),12 (8),430533
Abyss,DFM,1,3 (1),1 (0),8 (5),7 (0),430533
Lotus,GEN,0,4 (1),0 (0),1 (1),14 (11),430533
Lotus,DFM,2,3 (2),1 (0),11 (3),4 (1),430533
All Maps,GEN,1,7 (2),0 (0),5 (5),26 (19),430533
All Maps,DFM,3,6 (3),2 (0),19 (8),11 (1),430533
Lotus,T1,0,4 (0),1 (0),4 (3),15 (10),430524
Lotus,DRX,2,2 (2),5 (1),2 (2),15 (6),430524
Haven,T1,1,3 (1),0 (0),9 (5),16 (7),430524
Haven,DRX,1,3 (1),2 (1),4 (2),19 (11),430524
All Maps,T1,0,5 (1),2 (1),3 (1),13 (7),430524
All Maps,DRX,2,3 (3),3 (1),4 (2),13 (7),430524
Bind,TLN,2,3 (2),0 (0),11 (5),6 (0),430534
Bind,GEN,0,4 (0),0 (0),1 (1),15 (12),430534
Lotus,TLN,0,3 (0),2 (0),8 (2),2 (0),430534
Lotus,GEN,2,2 (2),0 (0),4 (4),9 (7),430534
him,TLN,2,6 (2),2 (0),19 (7),8 (0),430534
him,GEN,2,6 (2),0 (0),5 (5),24 (19),430534
Pearl,T1,2,2 (2),3 (1),6 (4),10 (6),430535
Pearl,GEN,0,4 (0),1 (0),5 (2),11 (6),430535
Lotus,T1,0,4 (0),0 (0),4 (4),13 (9),430535
Lotus,GEN,2,2 (2),0 (0),11 (6),8 (0),430535
Haven,T1,1,3 (1),3 (0),3 (0),9 (4),430535
Haven,GEN,1,3 (2),0 (0),3 (1),12 (10),430535
Split,T1,1,3 (2),2 (1),5 (1),22 (11),430535
Split,GEN,1,3 (2),1 (0),7 (1),21 (14),430535
All Maps,T1,1,3 (1),2 (0),3 (3),15 (9),430535
All Maps,GEN,1,3 (1),1 (0),3 (1),16 (8),430535
Abyss,DRX,2,2 (2),0 (0),4 (3),10 (8),430525
Abyss,T1,0,4 (0),1 (0),5 (2),6 (1),430525
Lotus,DRX,0,4 (0),1 (0),5 (2),9 (4),430525
Lotus,T1,2,2 (2),0 (0),4 (3),13 (8),430525
Fracture,DRX,2,2 (2),1 (1),8 (4),11 (6),430525
Fracture,T1,0,4 (0),0 (0),5 (2),13 (7),430525
Bind,DRX,1,3 (2),1 (0),4 (2),18 (8),430525
Bind,T1,1,3 (2),2 (0),4 (2),17 (10),430525
All Maps,DRX,0,4 (1),0 (0),3 (2),17 (10),430525
All Maps,T1,2,2 (2),4 (1),5 (3),13 (5),430525
