map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Lotus,DFM,1,2 (1),2 (0),6 (3),10 (3),458805
Lotus,GE,1,3 (1),1 (0),3 (2),13 (10),458805
Pearl,DFM,1,3 (1),1 (0),6 (4),14 (6),458805
Pearl,GE,1,3 (1),1 (1),3 (2),17 (9),458805
All Maps,DFM,2,5 (2),3 (0),12 (7),24 (9),458805
All Maps,GE,2,6 (2),2 (1),6 (4),30 (19),458805
Fracture,T1,2,2 (2),1 (0),4 (3),13 (8),458806
Fracture,ZETA,0,3 (0),2 (0),5 (4),10 (3),458806
Split,T1,0,5 (0),1 (0),1 (1),19 (11),458806
Split,ZETA,2,2 (2),0 (0),8 (4),16 (8),458806
All Maps,T1,1,3 (1),0 (0),2 (2),13 (10),458806
All Maps,ZETA,1,3 (1),2 (0),5 (3),8 (1),458806
Haven,DRX,1,3 (1),3 (0),2 (2),14 (10),458807
Haven,PRX,1,3 (1),1 (0),7 (3),11 (5),458807
Icebox,DRX,1,3 (1),2 (0),2 (1),16 (8),458807
Icebox,PRX,1,3 (1),2 (0),5 (4),13 (8),458807
All Maps,DRX,0,3 (0),2 (1),2 (1),13 (11),458807
All Maps,PRX,2,2 (2),1 (0),9 (2),8 (3),458807
Pearl,TLN,0,5 (0),1 (0),5 (1),7 (4),458808
Pearl,TS,2,2 (2),0 (0),7 (5),9 (6),458808
Fracture,TLN,2,2 (2),0 (0),4 (3),9 (8),458808
Fracture,TS,0,4 (0),3 (0),5 (1),3 (1),458808
All Maps,TLN,1,2 (1),2 (2),7 (2),11 (8),458808
All Maps,TS,1,4 (1),1 (0),4 (1),13 (7),458808
Ascent,GEN,0,4 (0),1 (1),4 (2),12 (5),458809
Ascent,BME,2,2 (2),2 (0),5 (4),12 (7),458809
Haven,GEN,1,3 (1),1 (0),6 (3),22 (11),458809
Haven,BME,1,3 (1),2 (2),6 (3),21 (11),458809
All Maps,GEN,1,7 (1),2 (1),10 (5),34 (16),458809
All Maps,BME,3,5 (3),4 (2),11 (7),33 (18),458809
Ascent,NS,0,4 (1),2 (0),2 (1),10 (3),458810
Ascent,RRQ,2,3 (2),0 (0),4 (3),11 (8),458810
Split,NS,1,2 (1),3 (1),5 (3),11 (8),458810
Split,RRQ,1,3 (1),0 (0),7 (4),11 (3),458810
All Maps,NS,1,5 (3),1 (1),3 (2),14 (7),458810
All Maps,RRQ,1,6 (2),1 (0),3 (2),13 (6),458810
Lotus,TS,1,3 (1),0 (0),5 (1),16 (9),458811
Lotus,ZETA,1,3 (1),3 (0),6 (5),12 (7),458811
Icebox,TS,2,3 (2),1 (0),8 (4),11 (4),458811
Icebox,ZETA,0,4 (1),0 (0),3 (2),16 (10),458811
All Maps,TS,3,6 (3),1 (0),13 (5),27 (13),458811
All Maps,ZETA,1,7 (2),3 (0),9 (7),28 (17),458811
Icebox,T1,0,4 (0),1 (0),4 (2),14 (11),458812
Icebox,NS,2,2 (2),2 (0),9 (4),10 (4),458812
Split,T1,1,3 (1),1 (0),3 (2),17 (10),458812
Split,NS,1,3 (1),1 (0),6 (2),14 (8),458812
All Maps,T1,1,7 (1),2 (0),7 (4),31 (21),458812
All Maps,NS,3,5 (3),3 (0),15 (6),24 (12),458812
Lotus,GEN,2,2 (2),1 (0),7 (4),13 (7),458813
Lotus,PRX,0,3 (0),0 (0),10 (6),10 (4),458813
Fracture,GEN,1,3 (1),2 (0),4 (2),10 (3),458813
