player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
invy,invy,TS,8504,"['Vyse', 'Cypher', 'Breach', 'Kayo', 'Omen']",5,271,1.26,237.2,1.27,73%,158.4,0.87,0.35,0.08,0.07,29%,10%,3/31,27,236,186,95,23,18
Jemkin,Jemkin,RRQ,24895,"['Yoru', 'Iso', 'Jett', 'Brimstone']",4,573,1.22,253.9,1.3,73%,161.3,0.91,0.15,0.24,0.15,38%,18%,9/50,32,524,404,87,137,84
dos9,dos9,BME,16215,"['Omen', 'Brimstone', 'Astra', 'Viper', 'Iso']",5,344,1.19,212.2,1.18,75%,136.3,0.76,0.47,0.09,0.07,26%,29%,14/48,35,261,222,160,30,24
Jinggg,Jinggg,PRX,7378,"['Omen', 'Tejo', 'Brimstone', 'Phoenix', 'Raze']",5,536,1.14,220.9,1.18,76%,145.4,0.79,0.32,0.1,0.08,26%,11%,7/62,31,422,359,171,53,43
Foxy9,Foxy9,GEN,11600,"['Vyse', 'Cypher', 'Killjoy', 'Viper', 'Deadlock']",5,360,1.12,207.8,1.25,78%,137.3,0.77,0.18,0.1,0.08,34%,29%,9/31,23,277,222,65,35,30
MaKo,MaKo,DRX,4462,"['Omen', 'Viper', 'Brimstone']",3,484,1.12,209.2,1.14,75%,135.8,0.73,0.37,0.1,0.09,26%,12%,7/59,29,352,308,178,47,42
HYUNMIN,HYUNMIN,DRX,28400,"['Jett', 'Raze', 'Yoru', 'Neon']",4,484,1.12,238.3,1.2,73%,152.0,0.86,0.14,0.18,0.12,30%,11%,4/36,32,418,348,67,85,58
Akame,Akame,DFM,13002,"['Fade', 'Chamber', 'Kayo', 'Tejo', 'Breach']",5,225,1.11,212.9,1.01,71%,142.8,0.76,0.3,0.14,0.11,32%,6%,2/34,32,172,171,68,31,25
primmie,primmie,TLN,25255,"['Yoru', 'Waylay', 'Iso', 'Neon', 'Jett']",5,392,1.11,229.8,1.2,72%,148.8,0.83,0.14,0.15,0.13,34%,13%,6/46,26,327,273,53,60,51
f0rsakeN,f0rsakeN,PRX,9801,"['Yoru', 'Waylay', 'Neon', 'Fade', 'Vyse', 'Omen', 'Sova', 'Killjoy']",8,536,1.11,226.1,1.18,73%,142.9,0.8,0.31,0.15,0.15,29%,28%,10/36,26,430,364,168,78,82
t3xture,t3xture,GEN,9196,"['Jett', 'Neon', 'Raze', 'Yoru']",4,472,1.11,244.0,1.21,70%,154.8,0.86,0.18,0.17,0.18,28%,21%,6/28,29,407,336,86,79,84
Flashback,Flashback,DRX,35013,"['Neon', 'Killjoy', 'Yoru', 'Vyse']",4,141,1.11,215.6,1.29,76%,139.4,0.79,0.17,0.18,0.07,24%,42%,5/12,25,111,86,24,25,10
Karon,Karon,GEN,34974,"['Omen', 'Brimstone', 'Astra', 'Viper']",4,472,1.08,207.7,1.1,75%,134.3,0.73,0.39,0.07,0.06,31%,19%,10/53,24,345,313,184,33,27
Munchkin,Munchkin,GEN,2489,"['Kayo', 'Viper', 'Breach', 'Fade', 'Sova']",5,472,1.07,198.8,1.05,74%,130.3,0.69,0.39,0.12,0.1,24%,9%,6/65,29,324,308,183,56,49
margaret,margaret,NS,33576,"['Cypher', 'Viper', 'Killjoy']",3,333,1.07,205.8,1.13,68%,135.5,0.74,0.17,0.11,0.09,29%,21%,8/38,27,248,220,57,35,30
Kr1stal,Kr1stal,GE,5796,"['Tejo', 'Sova', 'Fade']",3,199,1.07,188.5,1.01,71%,127.1,0.69,0.23,0.05,0.1,24%,13%,5/40,19,138,137,45,10,19
NcSlasher,NcSlasher,BME,7043,"['Tejo', 'Breach', 'Kayo', 'Omen', 'Deadlock']",5,344,1.05,197.4,1.03,77%,126.8,0.7,0.37,0.06,0.07,28%,8%,3/37,22,240,232,127,19,25
Francis,Francis,NS,31828,"['Kayo', 'Tejo', 'Fade', 'Breach', 'Sova', 'Harbor']",6,333,1.05,198.8,1.03,72%,130.8,0.69,0.28,0.1,0.09,21%,8%,3/37,25,231,225,92,33,29
UdoTan,UdoTan,GE,4428,"['Cypher', 'Killjoy', 'Iso']",3,199,1.04,215.3,1.01,70%,148.4,0.75,0.22,0.1,0.13,30%,13%,4/32,28,150,149,43,20,25
SugarZ3ro,SugarZ3ro,ZETA,6668,"['Brimstone', 'Omen', 'Viper', 'Astra']",4,255,1.04,181.8,1.05,73%,116.4,0.7,0.31,0.06,0.05,29%,13%,4/30,27,178,170,78,15,13
iZu,iZu,T1,29833,"['Tejo', 'Yoru', 'Cypher', 'Sova', 'Viper']",5,378,1.03,195.8,1.05,73%,126.2,0.71,0.24,0.07,0.09,30%,18%,10/57,23,268,256,90,26,35
something,something,PRX,17086,"['Breach', 'Sova', 'Jett', 'Tejo', 'Yoru', 'Brimstone']",6,536,1.03,197.8,1.03,71%,127.4,0.7,0.26,0.15,0.13,26%,16%,9/58,23,373,361,137,78,69
BerserX,BerserX,BME,4874,"['Killjoy', 'Cypher', 'Viper', 'Vyse']",4,344,1.01,196.0,1.05,73%,127.7,0.69,0.21,0.1,0.08,25%,25%,13/51,22,236,224,72,33,26
Ivy,Ivy,NS,31829,"['Tejo', 'Deadlock', 'Vyse', 'Sova', 'Iso']",5,333,1.01,172.2,1.01,70%,112.7,0.65,0.22,0.07,0.07,30%,14%,6/42,18,215,212,74,22,22
Kushy,Kushy,RRQ,4866,"['Sova', 'Tejo', 'Kayo', 'Vyse', 'Fade', 'Killjoy']",6,573,1.01,193.0,0.99,73%,131.2,0.69,0.29,0.06,0.06,32%,15%,8/53,31,393,396,166,35,36
PatMen,PatMen,PRX,13744,"['Kayo', 'Breach', 'Fade', 'Viper', 'Skye']",5,412,1.0,193.0,0.96,75%,124.8,0.65,0.44,0.05,0.05,30%,24%,9/37,19,266,276,183,19,21
Ash,Ash,GEN,25017,"['Tejo', 'Fade', 'Yoru', 'Sova']",4,472,1.0,173.7,1.04,72%,116.8,0.61,0.25,0.06,0.06,31%,15%,7/48,19,290,280,117,26,27
BeYN,BeYN,DRX,4678,"['Sova', 'Omen', 'Fade', 'Tejo', 'Cypher', 'Killjoy', 'Deadlock']",7,445,0.99,178.2,0.96,71%,117.6,0.62,0.28,0.08,0.06,25%,19%,9/47,19,277,290,126,35,28
Killua,Killua,TLN,13784,"['Fade', 'Breach', 'Yoru', 'Vyse', 'Tejo', 'Killjoy']",6,392,0.99,187.5,0.98,70%,126.7,0.67,0.26,0.09,0.07,34%,14%,6/44,18,263,268,101,36,29
JessieVash,JessieVash,TS,2334,"['Sova', 'Tejo', 'Cypher', 'Killjoy', 'Fade']",5,271,0.99,182.5,0.94,69%,128.3,0.65,0.23,0.05,0.07,30%,16%,8/50,20,176,187,62,14,19
Persia,Persia,NS,4122,"['Omen', 'Astra', 'Viper', 'Brimstone']",4,333,0.99,173.8,0.92,71%,113.1,0.6,0.37,0.09,0.06,26%,18%,7/39,22,200,218,123,29,19
Famouz,Famouz,BME,2348,"['Phoenix', 'Neon', 'Jett', 'Yoru']",4,344,0.99,228.3,1.08,71%,146.7,0.82,0.21,0.19,0.19,21%,12%,3/25,29,281,261,71,66,67
d4v41,d4v41,PRX,9803,"['Tejo', 'Kayo', 'Cypher', 'Vyse', 'Astra', 'Viper', 'Killjoy']",7,536,0.98,190.7,1.06,77%,127.1,0.69,0.28,0.08,0.06,24%,14%,10/71,24,371,350,151,43,34
Meteor,Meteor,T1,13039,"['Vyse', 'Viper', 'Iso', 'Reyna', 'Killjoy', 'Tejo']",6,378,0.98,215.3,1.01,68%,144.2,0.75,0.2,0.13,0.15,30%,9%,4/43,24,283,279,76,51,58
BuZz,BuZz,T1,804,"['Neon', 'Raze', 'Yoru', 'Chamber', 'Jett']",5,378,0.98,225.0,1.06,65%,145.0,0.78,0.15,0.14,0.17,27%,9%,3/35,30,294,278,57,52,64
xffero,xffero,RRQ,4871,"['Cypher', 'Viper', 'Vyse', 'Astra', 'Killjoy']",5,573,0.97,183.8,1.03,73%,126.3,0.67,0.25,0.07,0.09,26%,19%,14/75,23,385,374,142,38,49
