agent_name,total_utilization,Lotus,Icebox,Sunset,Split,Ascent,Haven,Pearl,Corrode
Omen,82.0,100.0,50.0,100.0,78.0,100.0,100.0,0.0,50.0
Viper,63.0,75.0,95.0,50.0,100.0,14.0,42.0,0.0,0.0
Sova,53.0,8.0,86.0,82.0,0.0,79.0,83.0,33.0,50.0
Fade,40.0,92.0,0.0,18.0,72.0,14.0,17.0,67.0,50.0
Raze,33.0,83.0,0.0,23.0,67.0,7.0,0.0,33.0,0.0
Yoru,31.0,25.0,0.0,5.0,61.0,50.0,50.0,100.0,0.0
Killjoy,31.0,38.0,91.0,0.0,0.0,14.0,33.0,33.0,0.0
Cypher,31.0,8.0,0.0,73.0,28.0,43.0,50.0,17.0,50.0
Neon,25.0,8.0,5.0,77.0,11.0,7.0,50.0,17.0,0.0
Jett,19.0,0.0,73.0,0.0,0.0,29.0,8.0,17.0,50.0
Vyse,17.0,42.0,0.0,0.0,0.0,29.0,17.0,50.0,50.0
Breach,13.0,8.0,0.0,27.0,22.0,0.0,25.0,17.0,0.0
Astra,9.0,0.0,0.0,0.0,22.0,0.0,0.0,100.0,50.0
Kayo,9.0,0.0,14.0,9.0,0.0,43.0,0.0,0.0,0.0
Gekko,8.0,0.0,32.0,5.0,0.0,7.0,0.0,0.0,50.0
Sage,8.0,0.0,23.0,14.0,0.0,0.0,0.0,0.0,50.0
Deadlock,8.0,0.0,0.0,14.0,11.0,29.0,0.0,0.0,0.0
Chamber,4.0,0.0,5.0,0.0,0.0,21.0,0.0,17.0,0.0
Tejo,4.0,8.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0
Harbor,4.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
Iso,3.0,0.0,0.0,5.0,0.0,0.0,17.0,0.0,0.0
Skye,3.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0
Waylay,2.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
Phoenix,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
Reyna,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
Clove,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Brimstone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
