match_id,map_name,map_order,score,winner,duration,picked_by
490309,Pearl,1,1 - 13,Paper Rex,28:55,Paper Rex
490309,Icebox,2,9 - 13,Paper Rex,45:55,Team Heretics
490307,Icebox,1,13 - 10,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),47:52,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming)
490307,Haven,2,14 - 16,Team Liquid,1:02:14,Team Liquid
490307,Sunset,3,13 - 10,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),45:07,Decider
490308,Split,1,13 - 11,Sentinels,1:01:08,Wolves Esports
490308,Lotus,2,13 - 8,Sentinels,50:17,Sentinels
490306,Sunset,1,13 - 5,Gen.G,38:33,MIBR
490306,Haven,2,13 - 1,Gen.G,32:15,Gen.G
490311,Icebox,1,13 - 9,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),52:30,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming)
490311,Sunset,2,5 - 13,Sentinels,39:56,Sentinels
490311,Lotus,3,9 - 13,Sentinels,56:06,Decider
490310,Ascent,1,11 - 13,Gen.G,53:28,Gen.G
490310,Icebox,2,3 - 13,Gen.G,32:47,Paper Rex
490312,Pearl,1,10 - 13,Wolves Esports,54:31,Wolves Esports
490312,Lotus,2,9 - 13,Wolves Esports,50:35,Team Heretics
490313,Icebox,1,13 - 6,Team Liquid,44:18,MIBR
490313,Sunset,2,13 - 7,Team Liquid,44:22,Team Liquid
490315,Split,1,10 - 13,Wolves Esports,58:27,Wolves Esports
490315,Ascent,2,5 - 13,Wolves Esports,45:22,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming)
490314,Split,1,13 - 15,Team Liquid,56:22,Paper Rex
490314,Sunset,2,13 - 5,Paper Rex,34:05,Team Liquid
490314,Lotus,3,14 - 12,Paper Rex,50:06,Decider
498622,Split,1,10 - 13,Paper Rex,46:44,Paper Rex
498622,Lotus,2,11 - 13,Paper Rex,54:24,G2 Esports
498621,Sunset,1,6 - 13,Sentinels,41:59,Xi Lai Gaming
498621,Lotus,2,6 - 13,Sentinels,43:08,Sentinels
498623,Ascent,1,11 - 13,Wolves Esports,57:07,Wolves Esports
498623,Icebox,2,8 - 13,Wolves Esports,48:42,Rex Regum Qeon
498624,Haven,1,11 - 13,Gen.G,1:08:28,Gen.G
498624,Split,2,14 - 12,FNATIC,1:48:42,FNATIC
498624,Sunset,3,6 - 13,Gen.G,43:47,Decider
498629,Icebox,1,3 - 13,G2 Esports,34:23,Xi Lai Gaming
498629,Haven,2,8 - 13,G2 Esports,44:46,G2 Esports
498630,Lotus,1,5 - 13,FNATIC,41:25,FNATIC
498630,Haven,2,13 - 6,Rex Regum Qeon,40:03,Rex Regum Qeon
498630,Ascent,3,5 - 13,FNATIC,47:02,Decider
498626,Split,1,13 - 11,Wolves Esports,59:06,Wolves Esports
498626,Sunset,2,13 - 9,Wolves Esports,49:13,Gen.G
498625,Split,1,3 - 13,Paper Rex,38:48,Paper Rex
498625,Sunset,2,11 - 13,Paper Rex,56:21,Sentinels
498631,Lotus,1,7 - 13,G2 Esports,42:11,G2 Esports
498631,Haven,2,13 - 11,Gen.G,56:05,Gen.G
498631,Icebox,3,11 - 13,G2 Esports,1:00:17,Decider
498632,Sunset,1,13 - 9,Sentinels,51:54,Sentinels
498632,Ascent,2,7 - 13,FNATIC,49:56,FNATIC
498632,Icebox,3,9 - 13,FNATIC,54:46,Decider
498627,Lotus,1,14 - 12,Paper Rex,58:44,Paper Rex
498627,Ascent,2,13 - 8,Paper Rex,48:20,Wolves Esports
498633,Lotus,1,10 - 13,FNATIC,55:43,G2 Esports
498633,Split,2,10 - 13,FNATIC,56:54,FNATIC
498634,Split,1,9 - 13,FNATIC,53:08,FNATIC
498634,Icebox,2,4 - 13,FNATIC,37:08,Wolves Esports
498634,Lotus,3,13 - 10,Wolves Esports,54:40,FNATIC
498634,Ascent,4,5 - 13,FNATIC,42:06,Wolves Esports
507067,Corrode,1,7 - 13,Team Toast,-,Decider
498628,Sunset,1,13 - 11,Paper Rex,57:40,Paper Rex
498628,Icebox,2,15 - 17,FNATIC,1:08:59,FNATIC
498628,Pearl,3,13 - 10,Paper Rex,52:55,Paper Rex
498628,Lotus,4,14 - 12,Paper Rex,55:39,FNATIC
