match_id,event_name,event_stage,match_date,team1,team2,score_overall,player_name,player_id,player_team,stat_type,agent,rating,acs,k,d,a,kd_diff,kast,adr,hs_percent,fk,fd,fk_fd_diff,map_name,map_winner
490309,Valorant Masters Toronto 2025,"Swiss Stage: 
						Round 1",2025-06-07 12:00:00,Team Heretics,Paper Rex,0 - 2,Wo0t,21328,Team Heretics,overall,"Breach, Gekko",0.93,179,23,27,13,-4,64%,113,50%,2,4,-2,,
490309,Valorant Masters Toronto 2025,"Swiss Stage: 
						Round 1",2025-06-07 12:00:00,Team Heretics,Paper Rex,0 - 2,benjyfishy,29873,Team Heretics,overall,Killjoy,0.93,187,24,29,3,-5,61%,130,34%,7,3,+4,,
490309,Valorant Masters Toronto 2025,"Swiss Stage: 
						Round 1",2025-06-07 12:00:00,Team Heretics,Paper Rex,0 - 2,RieNs,10971,Team Heretics,overall,"Fade, Sova",0.67,176,20,30,6,-10,56%,111,33%,2,5,-3,,
490309,Valorant Masters Toronto 2025,"Swiss Stage: 
						Round 1",2025-06-07 12:00:00,Team Heretics,Paper Rex,0 - 2,Boo,1144,Team Heretics,overall,"Astra, Viper",0.47,106,12,29,14,-17,56%,68,33%,0,5,-5,,
490309,Valorant Masters Toronto 2025,"Swiss Stage: 
						Round 1",2025-06-07 12:00:00,Team Heretics,Paper Rex,0 - 2,MiniBoo,18350,Team Heretics,overall,"Yoru, Neon",0.43,119,16,31,4,-15,47%,82,44%,2,6,-4,,
490309,Valorant Masters Toronto 2025,"Swiss Stage: 
						Round 1",2025-06-07 12:00:00,Team Heretics,Paper Rex,0 - 2,Jinggg,7378,Paper Rex,overall,"Raze, Omen",1.45,251,32,19,20,+13,92%,153,23%,10,1,+9,,
490309,Valorant Masters Toronto 2025,"Swiss Stage: 
						Round 1",2025-06-07 12:00:00,Team Heretics,Paper Rex,0 - 2,f0rsakeN,9801,Paper Rex,overall,"Astra, Sova",1.42,243,30,17,15,+13,83%,141,35%,5,2,+3,,
490309,Valorant Masters Toronto 2025,"Swiss Stage: 
						Round 1",2025-06-07 12:00:00,Team Heretics,Paper Rex,0 - 2,PatMen,13744,Paper Rex,overall,"Fade, Viper",1.22,213,30,18,9,+12,81%,140,32%,2,5,-3,,
490309,Valorant Masters Toronto 2025,"Swiss Stage: 
						Round 1",2025-06-07 12:00:00,Team Heretics,Paper Rex,0 - 2,d4v41,9803,Paper Rex,overall,"Vyse, Killjoy",1.17,187,27,21,4,+6,81%,148,29%,0,1,-1,,
490309,Valorant Masters Toronto 2025,"Swiss Stage: 
						Round 1",2025-06-07 12:00:00,Team Heretics,Paper Rex,0 - 2,something,17086,Paper Rex,overall,"Yoru, Jett",1.10,205,27,20,8,+7,78%,139,19%,6,4,+2,,
490309,Valorant Masters Toronto 2025,"Swiss Stage: 
						Round 1",2025-06-07 12:00:00,Team Heretics,Paper Rex,0 - 2,RieNs,10971,Team Heretics,map,Fade,0.54,177,8,12,1,-4,50%,105,41%,1,2,-1,Pearl,Paper Rex
