agent_name,total_utilization,map_utilizations,Split,Abyss,Pearl,Lotus,Bind,Haven,Fracture,Icebox,Ascent,Corrode,Sunset,tournament_name
Viper,81.0,"{'Split': 96.0, 'Ascent': 33.0, 'Sunset': 72.0, 'Bind': 100.0, 'Breeze': 100.0, 'Icebox': 100.0, 'Lotus': 83.0}",,,,,,,,,,,,Champions Tour 2024 Americas Kickoff_csvs
Omen,56.0,"{'Split': 58.0, 'Ascent': 100.0, 'Sunset': 100.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Lotus': 100.0}",,,,,,,,,,,,Champions Tour 2024 Americas Kickoff_csvs
Raze,53.0,"{'Split': 96.0, 'Ascent': 0.0, 'Sunset': 67.0, 'Bind': 86.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Lotus': 83.0}",,,,,,,,,,,,Champions Tour 2024 Americas Kickoff_csvs
Jett,40.0,"{'Split': 31.0, 'Ascent': 83.0, 'Sunset': 11.0, 'Bind': 7.0, 'Breeze': 80.0, 'Icebox': 70.0, 'Lotus': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Kickoff_csvs
Cypher,38.0,"{'Split': 42.0, 'Ascent': 28.0, 'Sunset': 72.0, 'Bind': 0.0, 'Breeze': 100.0, 'Icebox': 0.0, 'Lotus': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Kickoff_csvs
Skye,37.0,"{'Split': 77.0, 'Ascent': 11.0, 'Sunset': 22.0, 'Bind': 71.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Lotus': 33.0}",,,,,,,,,,,,Champions Tour 2024 Americas Kickoff_csvs
Sova,36.0,"{'Split': 4.0, 'Ascent': 67.0, 'Sunset': 39.0, 'Bind': 0.0, 'Breeze': 100.0, 'Icebox': 70.0, 'Lotus': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Kickoff_csvs
Kayo,36.0,"{'Split': 4.0, 'Ascent': 89.0, 'Sunset': 28.0, 'Bind': 21.0, 'Breeze': 80.0, 'Icebox': 40.0, 'Lotus': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Kickoff_csvs
Killjoy,25.0,"{'Split': 4.0, 'Ascent': 56.0, 'Sunset': 0.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 100.0, 'Lotus': 67.0}",,,,,,,,,,,,Champions Tour 2024 Americas Kickoff_csvs
Breach,18.0,"{'Split': 31.0, 'Ascent': 17.0, 'Sunset': 22.0, 'Bind': 14.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Lotus': 17.0}",,,,,,,,,,,,Champions Tour 2024 Americas Kickoff_csvs
Gekko,15.0,"{'Split': 8.0, 'Ascent': 0.0, 'Sunset': 17.0, 'Bind': 36.0, 'Breeze': 0.0, 'Icebox': 40.0, 'Lotus': 17.0}",,,,,,,,,,,,Champions Tour 2024 Americas Kickoff_csvs
Brimstone,13.0,"{'Split': 0.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 79.0, 'Breeze': 0.0, 'Icebox': 20.0, 'Lotus': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Kickoff_csvs
