match_id,map_name,map_order,score,winner,duration,picked_by,tournament_name
427991,Split,1,12 - 14,LOUD,1:13:09,LOUD,VCT 2025 Americas Kickoff_csvs
427991,Pearl,2,10 - 13,LOUD,53:34,Evil Geniuses,VCT 2025 Americas Kickoff_csvs
427992,Lotus,1,4 - 13,100 Thieves,40:14,MIBR,VCT 2025 Americas Kickoff_csvs
427992,Bind,2,9 - 13,100 Thieves,51:35,100 Thieves,VCT 2025 Americas Kickoff_csvs
427994,Haven,1,7 - 13,FURIA,54:22,2Game Esports,VCT 2025 Americas Kickoff_csvs
427994,Lotus,2,5 - 13,FURIA,38:57,FURIA,VCT 2025 Americas Kickoff_csvs
427993,Fracture,1,12 - 14,Cloud9,1:10:03,NRG,VCT 2025 Americas Kickoff_csvs
427993,Lotus,2,10 - 13,Cloud9,56:46,Cloud9,VCT 2025 Americas Kickoff_csvs
427995,Haven,1,7 - 13,LOUD,52:26,LOUD,VCT 2025 Americas Kickoff_csvs
427995,Split,2,10 - 13,LOUD,56:04,KRÜ Esports,VCT 2025 Americas Kickoff_csvs
427996,Split,1,4 - 13,100 Thieves,49:02,Sentinels,VCT 2025 Americas Kickoff_csvs
427996,Bind,2,13 - 9,Sentinels,54:05,100 Thieves,VCT 2025 Americas Kickoff_csvs
427996,Pearl,3,13 - 9,Sentinels,51:15,Decider,VCT 2025 Americas Kickoff_csvs
427998,Haven,1,13 - 8,LEVIATÁN,58:40,FURIA,VCT 2025 Americas Kickoff_csvs
427998,Split,2,13 - 6,LEVIATÁN,46:44,LEVIATÁN,VCT 2025 Americas Kickoff_csvs
427997,Lotus,1,13 - 6,G2 Esports,48:13,Cloud9,VCT 2025 Americas Kickoff_csvs
427997,Abyss,2,13 - 8,G2 Esports,48:17,G2 Esports,VCT 2025 Americas Kickoff_csvs
428003,Abyss,1,7 - 13,Evil Geniuses,1:00:42,Evil Geniuses,VCT 2025 Americas Kickoff_csvs
428003,Fracture,2,7 - 13,Evil Geniuses,48:55,FURIA,VCT 2025 Americas Kickoff_csvs
428004,Lotus,1,13 - 7,Cloud9,55:57,Cloud9,VCT 2025 Americas Kickoff_csvs
428004,Abyss,2,10 - 13,MIBR,53:31,MIBR,VCT 2025 Americas Kickoff_csvs
428004,Pearl,3,7 - 13,MIBR,47:23,Decider,VCT 2025 Americas Kickoff_csvs
428006,Abyss,1,13 - 3,KRÜ Esports,50:41,2Game Esports,VCT 2025 Americas Kickoff_csvs
428006,Split,2,13 - 2,KRÜ Esports,38:23,KRÜ Esports,VCT 2025 Americas Kickoff_csvs
428005,Lotus,1,14 - 12,100 Thieves,1:19:06,100 Thieves,VCT 2025 Americas Kickoff_csvs
428005,Pearl,2,9 - 13,NRG,57:20,NRG,VCT 2025 Americas Kickoff_csvs
428005,Bind,3,9 - 13,NRG,56:00,Decider,VCT 2025 Americas Kickoff_csvs
427999,Lotus,1,13 - 11,LOUD,1:12:39,LOUD,VCT 2025 Americas Kickoff_csvs
427999,Pearl,2,11 - 13,Sentinels,55:49,Sentinels,VCT 2025 Americas Kickoff_csvs
427999,Split,3,9 - 13,Sentinels,48:58,Decider,VCT 2025 Americas Kickoff_csvs
428000,Pearl,1,13 - 5,G2 Esports,55:44,G2 Esports,VCT 2025 Americas Kickoff_csvs
