map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id,tournament_name
Split,EG,0,4 (0),1 (1),1 (0),20 (11),427991,VCT 2025 Americas Kickoff_csvs
Split,LOUD,2,2 (2),1 (0),10 (3),13 (9),427991,VCT 2025 Americas Kickoff_csvs
Pearl,EG,2,2 (2),3 (0),5 (2),13 (6),427991,VCT 2025 Americas Kickoff_csvs
Pearl,LOUD,0,4 (0),0 (0),4 (3),15 (10),427991,VCT 2025 Americas Kickoff_csvs
All Maps,EG,2,6 (2),4 (1),6 (2),33 (17),427991,VCT 2025 Americas Kickoff_csvs
All Maps,LOUD,2,6 (2),1 (0),14 (6),28 (19),427991,VCT 2025 Americas Kickoff_csvs
Lotus,MIBR,1,3 (1),1 (0),9 (3),4 (0),427992,VCT 2025 Americas Kickoff_csvs
Lotus,100T,1,3 (1),0 (0),2 (2),12 (10),427992,VCT 2025 Americas Kickoff_csvs
Bind,MIBR,0,4 (0),2 (0),3 (0),13 (9),427992,VCT 2025 Americas Kickoff_csvs
Bind,100T,2,2 (2),0 (0),7 (2),13 (9),427992,VCT 2025 Americas Kickoff_csvs
All Maps,MIBR,1,7 (1),3 (0),12 (3),17 (9),427992,VCT 2025 Americas Kickoff_csvs
All Maps,100T,3,5 (3),0 (0),9 (4),25 (19),427992,VCT 2025 Americas Kickoff_csvs
Haven,2G,2,3 (2),1 (0),6 (2),10 (3),427994,VCT 2025 Americas Kickoff_csvs
Haven,FUR,0,4 (1),1 (0),2 (2),13 (10),427994,VCT 2025 Americas Kickoff_csvs
Lotus,2G,0,4 (0),3 (0),2 (1),9 (4),427994,VCT 2025 Americas Kickoff_csvs
Lotus,FUR,2,2 (2),0 (0),6 (4),10 (7),427994,VCT 2025 Americas Kickoff_csvs
All Maps,2G,2,7 (2),4 (0),8 (3),19 (7),427994,VCT 2025 Americas Kickoff_csvs
All Maps,FUR,2,6 (3),1 (0),8 (6),23 (17),427994,VCT 2025 Americas Kickoff_csvs
Fracture,NRG,1,3 (1),2 (0),6 (3),15 (8),427993,VCT 2025 Americas Kickoff_csvs
Fracture,C9,1,3 (1),1 (0),6 (3),16 (10),427993,VCT 2025 Americas Kickoff_csvs
Lotus,NRG,1,3 (1),2 (0),4 (2),14 (7),427993,VCT 2025 Americas Kickoff_csvs
Lotus,C9,1,3 (1),0 (0),6 (2),14 (10),427993,VCT 2025 Americas Kickoff_csvs
All Maps,NRG,2,6 (2),4 (0),10 (5),29 (15),427993,VCT 2025 Americas Kickoff_csvs
All Maps,C9,2,6 (2),1 (0),12 (5),30 (20),427993,VCT 2025 Americas Kickoff_csvs
Haven,KRÜ,1,3 (1),2 (0),6 (3),9 (3),427995,VCT 2025 Americas Kickoff_csvs
Haven,LOUD,1,3 (1),1 (1),2 (1),14 (10),427995,VCT 2025 Americas Kickoff_csvs
Split,KRÜ,0,4 (0),0 (0),1 (0),18 (10),427995,VCT 2025 Americas Kickoff_csvs
Split,LOUD,2,2 (2),3 (1),9 (5),9 (5),427995,VCT 2025 Americas Kickoff_csvs
All Maps,KRÜ,1,7 (1),2 (0),7 (3),27 (13),427995,VCT 2025 Americas Kickoff_csvs
All Maps,LOUD,3,5 (3),4 (2),11 (6),23 (15),427995,VCT 2025 Americas Kickoff_csvs
Split,SEN,1,3 (1),0 (0),7 (1),7 (2),427996,VCT 2025 Americas Kickoff_csvs
Split,100T,1,3 (1),1 (0),4 (4),9 (8),427996,VCT 2025 Americas Kickoff_csvs
Bind,SEN,1,3 (1),1 (1),5 (1),13 (10),427996,VCT 2025 Americas Kickoff_csvs
Bind,100T,1,3 (1),1 (0),5 (2),13 (6),427996,VCT 2025 Americas Kickoff_csvs
All Maps,SEN,1,2 (1),2 (1),7 (5),11 (6),427996,VCT 2025 Americas Kickoff_csvs
All Maps,100T,1,3 (1),2 (0),3 (1),14 (7),427996,VCT 2025 Americas Kickoff_csvs
Haven,LEV,1,3 (1),1 (0),3 (2),14 (10),427998,VCT 2025 Americas Kickoff_csvs
Haven,FUR,1,3 (1),2 (0),5 (3),11 (4),427998,VCT 2025 Americas Kickoff_csvs
Split,LEV,2,2 (2),0 (0),5 (4),12 (7),427998,VCT 2025 Americas Kickoff_csvs
Split,FUR,0,3 (0),2 (1),4 (1),10 (4),427998,VCT 2025 Americas Kickoff_csvs
All Maps,LEV,3,5 (3),1 (0),8 (6),26 (17),427998,VCT 2025 Americas Kickoff_csvs
All Maps,FUR,1,6 (1),4 (1),9 (4),21 (8),427998,VCT 2025 Americas Kickoff_csvs
Lotus,G2,2,2 (2),0 (0),5 (4),12 (7),427997,VCT 2025 Americas Kickoff_csvs
Lotus,C9,0,4 (0),2 (0),3 (1),10 (5),427997,VCT 2025 Americas Kickoff_csvs
Abyss,G2,1,3 (1),0 (0),6 (3),12 (9),427997,VCT 2025 Americas Kickoff_csvs
Abyss,C9,1,3 (1),0 (0),7 (1),11 (6),427997,VCT 2025 Americas Kickoff_csvs
All Maps,G2,3,5 (3),0 (0),11 (7),24 (16),427997,VCT 2025 Americas Kickoff_csvs
All Maps,C9,1,7 (1),2 (0),10 (2),21 (11),427997,VCT 2025 Americas Kickoff_csvs
Abyss,FUR,0,4 (1),0 (0),5 (3),11 (3),428003,VCT 2025 Americas Kickoff_csvs
Abyss,EG,2,2 (2),2 (0),4 (2),12 (9),428003,VCT 2025 Americas Kickoff_csvs
Fracture,FUR,1,3 (1),1 (0),7 (2),9 (4),428003,VCT 2025 Americas Kickoff_csvs
Fracture,EG,1,3 (1),1 (1),3 (2),13 (9),428003,VCT 2025 Americas Kickoff_csvs
All Maps,FUR,1,7 (2),1 (0),12 (5),20 (7),428003,VCT 2025 Americas Kickoff_csvs
All Maps,EG,3,5 (3),3 (1),7 (4),25 (18),428003,VCT 2025 Americas Kickoff_csvs
Lotus,C9,2,2 (2),0 (0),6 (4),12 (7),428004,VCT 2025 Americas Kickoff_csvs
Lotus,MIBR,0,4 (0),1 (0),4 (1),11 (6),428004,VCT 2025 Americas Kickoff_csvs
Abyss,C9,1,3 (1),1 (0),5 (3),14 (6),428004,VCT 2025 Americas Kickoff_csvs
Abyss,MIBR,1,3 (1),1 (0),4 (3),15 (9),428004,VCT 2025 Americas Kickoff_csvs
All Maps,C9,1,3 (1),1 (0),8 (3),8 (3),428004,VCT 2025 Americas Kickoff_csvs
All Maps,MIBR,1,3 (1),1 (1),4 (3),12 (8),428004,VCT 2025 Americas Kickoff_csvs
Abyss,KRÜ,2,2 (2),1 (1),3 (2),10 (8),428006,VCT 2025 Americas Kickoff_csvs
Abyss,2G,0,3 (0),1 (0),7 (1),5 (2),428006,VCT 2025 Americas Kickoff_csvs
Split,KRÜ,2,2 (2),0 (0),4 (4),9 (7),428006,VCT 2025 Americas Kickoff_csvs
Split,2G,0,3 (0),2 (0),4 (1),6 (1),428006,VCT 2025 Americas Kickoff_csvs
All Maps,KRÜ,4,4 (4),1 (1),7 (6),19 (15),428006,VCT 2025 Americas Kickoff_csvs
All Maps,2G,0,6 (0),3 (0),11 (2),11 (3),428006,VCT 2025 Americas Kickoff_csvs
Lotus,100T,2,2 (2),0 (0),7 (4),17 (8),428005,VCT 2025 Americas Kickoff_csvs
Lotus,NRG,0,4 (0),1 (0),2 (2),19 (10),428005,VCT 2025 Americas Kickoff_csvs
Pearl,100T,0,4 (0),2 (0),3 (2),13 (7),428005,VCT 2025 Americas Kickoff_csvs
Pearl,NRG,2,2 (2),4 (3),6 (3),10 (5),428005,VCT 2025 Americas Kickoff_csvs
All Maps,100T,0,4 (0),0 (0),3 (1),15 (8),428005,VCT 2025 Americas Kickoff_csvs
All Maps,NRG,2,2 (2),0 (0),5 (5),15 (6),428005,VCT 2025 Americas Kickoff_csvs
Lotus,LOUD,1,3 (1),2 (1),3 (2),16 (9),427999,VCT 2025 Americas Kickoff_csvs
Lotus,SEN,1,3 (1),0 (0),7 (3),14 (7),427999,VCT 2025 Americas Kickoff_csvs
Pearl,LOUD,1,4 (1),0 (0),4 (2),16 (8),427999,VCT 2025 Americas Kickoff_csvs
Pearl,SEN,1,3 (1),2 (0),4 (3),15 (9),427999,VCT 2025 Americas Kickoff_csvs
All Maps,LOUD,1,3 (1),2 (0),4 (3),13 (5),427999,VCT 2025 Americas Kickoff_csvs
All Maps,SEN,1,3 (1),2 (0),3 (2),14 (10),427999,VCT 2025 Americas Kickoff_csvs
Pearl,G2,1,3 (1),0 (0),4 (3),11 (9),428000,VCT 2025 Americas Kickoff_csvs
Pearl,LEV,1,4 (1),2 (0),6 (1),6 (3),428000,VCT 2025 Americas Kickoff_csvs
Fracture,G2,1,3 (1),2 (1),6 (5),11 (6),428000,VCT 2025 Americas Kickoff_csvs
Fracture,LEV,1,3 (1),3 (2),5 (1),11 (5),428000,VCT 2025 Americas Kickoff_csvs
All Maps,G2,2,6 (2),2 (1),10 (8),22 (15),428000,VCT 2025 Americas Kickoff_csvs
All Maps,LEV,2,7 (2),5 (2),11 (2),17 (8),428000,VCT 2025 Americas Kickoff_csvs
Abyss,EG,1,3 (2),2 (0),8 (3),10 (5),428007,VCT 2025 Americas Kickoff_csvs
Abyss,MIBR,1,3 (1),2 (1),3 (0),15 (11),428007,VCT 2025 Americas Kickoff_csvs
Split,EG,1,2 (1),2 (0),6 (2),6 (0),428007,VCT 2025 Americas Kickoff_csvs
Split,MIBR,1,3 (2),0 (0),3 (3),10 (8),428007,VCT 2025 Americas Kickoff_csvs
All Maps,EG,2,5 (3),4 (0),14 (5),16 (5),428007,VCT 2025 Americas Kickoff_csvs
All Maps,MIBR,2,6 (3),2 (1),6 (3),25 (19),428007,VCT 2025 Americas Kickoff_csvs
Abyss,NRG,0,4 (0),1 (0),4 (1),12 (7),428008,VCT 2025 Americas Kickoff_csvs
Abyss,KRÜ,2,2 (2),2 (0),6 (4),11 (7),428008,VCT 2025 Americas Kickoff_csvs
Haven,NRG,1,3 (1),1 (0),6 (5),13 (7),428008,VCT 2025 Americas Kickoff_csvs
Haven,KRÜ,1,3 (1),1 (0),5 (3),14 (6),428008,VCT 2025 Americas Kickoff_csvs
All Maps,NRG,1,3 (1),1 (0),8 (4),8 (2),428008,VCT 2025 Americas Kickoff_csvs
All Maps,KRÜ,1,3 (2),0 (0),3 (2),14 (9),428008,VCT 2025 Americas Kickoff_csvs
Lotus,LEV,1,3 (1),1 (0),4 (3),12 (9),428009,VCT 2025 Americas Kickoff_csvs
Lotus,MIBR,1,3 (1),0 (0),7 (2),10 (4),428009,VCT 2025 Americas Kickoff_csvs
Pearl,LEV,1,3 (1),1 (0),6 (4),12 (4),428009,VCT 2025 Americas Kickoff_csvs
Pearl,MIBR,1,3 (1),0 (0),6 (5),13 (7),428009,VCT 2025 Americas Kickoff_csvs
All Maps,LEV,1,3 (1),0 (0),8 (3),15 (8),428009,VCT 2025 Americas Kickoff_csvs
All Maps,MIBR,1,3 (1),2 (1),3 (2),18 (10),428009,VCT 2025 Americas Kickoff_csvs
Bind,LOUD,1,4 (1),1 (0),4 (1),9 (3),428010,VCT 2025 Americas Kickoff_csvs
Bind,KRÜ,1,3 (2),1 (1),1 (1),13 (9),428010,VCT 2025 Americas Kickoff_csvs
Haven,LOUD,1,3 (1),1 (0),6 (3),14 (7),428010,VCT 2025 Americas Kickoff_csvs
Haven,KRÜ,1,3 (1),1 (0),5 (2),15 (10),428010,VCT 2025 Americas Kickoff_csvs
All Maps,LOUD,2,7 (2),2 (0),10 (4),23 (10),428010,VCT 2025 Americas Kickoff_csvs
All Maps,KRÜ,2,6 (3),2 (1),6 (3),28 (19),428010,VCT 2025 Americas Kickoff_csvs
