url,title,subtitle,dates,prize_pool,location,tournament_name
https://www.vlr.gg/event/2274/vct-2025-americas-kickoff,VCT 2025: Americas Kickoff,"Part of the Valorant Champions Tour, Riot's official 2025 tournament circuit.","Jan 17, 2025 - Feb 9, 2025",$0 USD,"Riot Games Arena, Los Angeles",VCT 2025 Americas Kickoff_csvs
https://www.vlr.gg/event/2347/vct-2025-americas-stage-1,VCT 2025: Americas Stage 1,"Part of the Valorant Champions Tour, Riot's official 2025 tournament circuit.","Mar 22, 2025 - May 4, 2025",TBD,"Riot Games Arena, Los Angeles",VCT 2025 Americas Stage 1_csvs
https://www.vlr.gg/event/2501/vct-2025-americas-stage-2,VCT 2025: Americas Stage 2,"Part of the Valorant Champions Tour, Riot's official 2025 tournament circuit.","Jul 19, 2025 - Sep 1, 2025","$250,000 USD","Riot Games Arena, Los Angeles",VCT 2025 Americas Stage 2_csvs
https://www.vlr.gg/event/2275/vct-2025-china-kickoff,VCT 2025: China Kickoff,"Part of the Valorant Champions Tour, Riot's official 2025 tournament circuit.","Jan 11 - 25, 2025",TBD															~ $0 USD,"VCT CN Arena, Shanghai",VCT 2025 China Kickoff_csvs
https://www.vlr.gg/event/2359/vct-2025-china-stage-1,VCT 2025: China Stage 1,"Part of the Valorant Champions Tour, Riot's official 2025 tournament circuit.","Mar 13, 2025 - May 5, 2025",$0 USD,"VCT CN Arena, Shanghai & JDG Esports Center, Beijing",VCT 2025 China Stage 1_csvs
https://www.vlr.gg/event/2499/vct-2025-china-stage-2,VCT 2025: China Stage 2,"Part of the Valorant Champions Tour, Riot's official 2025 tournament circuit.","Jul 3, 2025 - Aug 24, 2025",TBD,"VCT CN Arena, Shanghai | Chongqing Science Hall, Chongqing",VCT 2025 China Stage 2_csvs
https://www.vlr.gg/event/2276/vct-2025-emea-kickoff,VCT 2025: EMEA Kickoff,"Part of the Valorant Champions Tour, Riot's official 2025 tournament circuit.","Jan 14, 2025 - Feb 10, 2025",$0 USD,"Riot Games Arena, Berlin",VCT 2025 EMEA Kickoff_csvs
https://www.vlr.gg/event/2380/vct-2025-emea-stage-1,VCT 2025: EMEA Stage 1,"Part of the Valorant Champions Tour, Riot's official 2025 tournament circuit.","Mar 26, 2025 - May 19, 2025",TBD,"Riot Games Arena, Berlin",VCT 2025 EMEA Stage 1_csvs
https://www.vlr.gg/event/2498/vct-2025-emea-stage-2,VCT 2025: EMEA Stage 2,"Part of the Valorant Champions Tour, Riot's official 2025 tournament circuit.","Jul 16, 2025 - Sep 1, 2025","$250,000 USD","Riot Games Arena, Berlin",VCT 2025 EMEA Stage 2_csvs
https://www.vlr.gg/event/2277/vct-2025-pacific-kickoff,VCT 2025: Pacific Kickoff,"Part of the Valorant Champions Tour, Riot's official 2025 tournament circuit.","Jan 18, 2025 - Feb 9, 2025","$250,000 USD","Sangam SOOP Colosseum, Seoul",VCT 2025 Pacific Kickoff_csvs
https://www.vlr.gg/event/2379/vct-2025-pacific-stage-1,VCT 2025: Pacific Stage 1,"Part of the Valorant Champions Tour, Riot's official 2025 tournament circuit.","Mar 22, 2025 - May 11, 2025",TBD,"Sangam SOOP Colosseum, Seoul",VCT 2025 Pacific Stage 1_csvs
https://www.vlr.gg/event/2500/vct-2025-pacific-stage-2,VCT 2025: Pacific Stage 2,"Part of the Valorant Champions Tour, Riot's official 2025 tournament circuit.","Jul 15, 2025 - Aug 31, 2025","$250,000 USD","Sangam SOOP Colosseum, Seoul | INSPIRE Arena, Incheon | LaLa arena TOKYO-BAY, Chiba",VCT 2025 Pacific Stage 2_csvs
https://www.vlr.gg/event/2283/valorant-champions-2025,Valorant Champions 2025,"The final event of the Valorant Champions Tour, Riot's 2025 tournament circuit","Sep 12, 2025 - Oct 6, 2025","$2,250,000 USD","Accor Arena, Paris",Valorant Champions 2025_csvs
https://www.vlr.gg/event/2281/valorant-masters-bangkok-2025,Valorant Masters Bangkok 2025,"Part of the Valorant Champions Tour, Riot's official 2025 tournament circuit.","Feb 20, 2025 - Mar 2, 2025","$500,000 USD","UOB Live, Bangkok",Valorant Masters Bangkok 2025_csvs
https://www.vlr.gg/event/2282/valorant-masters-toronto-2025,Valorant Masters Toronto 2025,"Part of the Valorant Champions Tour, Riot's official 2025 tournament circuit.","Jun 8 - 22, 2025","$1,000,000 USD","Enercare Arena, Toronto",Valorant Masters Toronto 2025_csvs
