agent_name,total_utilization,map_utilizations
Viper,81.0,"{'Split': 96.0, 'Ascent': 33.0, 'Sunset': 72.0, 'Bind': 100.0, 'Breeze': 100.0, 'Icebox': 100.0, 'Lotus': 83.0}"
Omen,56.0,"{'Split': 58.0, 'Ascent': 100.0, 'Sunset': 100.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Lotus': 100.0}"
Raze,53.0,"{'Split': 96.0, 'Ascent': 0.0, 'Sunset': 67.0, 'Bind': 86.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Lotus': 83.0}"
Jett,40.0,"{'Split': 31.0, 'Ascent': 83.0, 'Sunset': 11.0, 'Bind': 7.0, 'Breeze': 80.0, 'Icebox': 70.0, 'Lotus': 0.0}"
Cypher,38.0,"{'Split': 42.0, 'Ascent': 28.0, 'Sunset': 72.0, 'Bind': 0.0, 'Breeze': 100.0, 'Icebox': 0.0, 'Lotus': 0.0}"
Skye,37.0,"{'Split': 77.0, 'Ascent': 11.0, 'Sunset': 22.0, 'Bind': 71.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Lotus': 33.0}"
Sova,36.0,"{'Split': 4.0, 'Ascent': 67.0, 'Sunset': 39.0, 'Bind': 0.0, 'Breeze': 100.0, 'Icebox': 70.0, 'Lotus': 0.0}"
Kayo,36.0,"{'Split': 4.0, 'Ascent': 89.0, 'Sunset': 28.0, 'Bind': 21.0, 'Breeze': 80.0, 'Icebox': 40.0, 'Lotus': 0.0}"
Killjoy,25.0,"{'Split': 4.0, 'Ascent': 56.0, 'Sunset': 0.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 100.0, 'Lotus': 67.0}"
Breach,18.0,"{'Split': 31.0, 'Ascent': 17.0, 'Sunset': 22.0, 'Bind': 14.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Lotus': 17.0}"
Gekko,15.0,"{'Split': 8.0, 'Ascent': 0.0, 'Sunset': 17.0, 'Bind': 36.0, 'Breeze': 0.0, 'Icebox': 40.0, 'Lotus': 17.0}"
Brimstone,13.0,"{'Split': 0.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 79.0, 'Breeze': 0.0, 'Icebox': 20.0, 'Lotus': 0.0}"
Fade,12.0,"{'Split': 8.0, 'Ascent': 0.0, 'Sunset': 22.0, 'Bind': 14.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Lotus': 67.0}"
Astra,11.0,"{'Split': 42.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Lotus': 0.0}"
Phoenix,8.0,"{'Split': 0.0, 'Ascent': 17.0, 'Sunset': 11.0, 'Bind': 14.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Lotus': 17.0}"
Harbor,8.0,"{'Split': 0.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 21.0, 'Breeze': 20.0, 'Icebox': 30.0, 'Lotus': 0.0}"
Yoru,8.0,"{'Split': 0.0, 'Ascent': 0.0, 'Sunset': 6.0, 'Bind': 36.0, 'Breeze': 20.0, 'Icebox': 0.0, 'Lotus': 0.0}"
Chamber,3.0,"{'Split': 0.0, 'Ascent': 0.0, 'Sunset': 11.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Lotus': 17.0}"
Deadlock,2.0,"{'Split': 0.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 20.0, 'Lotus': 0.0}"
Reyna,1.0,"{'Split': 0.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 10.0, 'Lotus': 0.0}"
Neon,0.0,"{'Split': 0.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Lotus': 0.0}"
Iso,0.0,"{'Split': 0.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Lotus': 0.0}"
Sage,0.0,"{'Split': 0.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Lotus': 0.0}"
Clove,0.0,"{'Split': 0.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Lotus': 0.0}"
Tejo,0.0,"{'Split': 0.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Lotus': 0.0}"
Vyse,0.0,"{'Split': 0.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Lotus': 0.0}"
Waylay,0.0,"{'Split': 0.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Lotus': 0.0}"
