match_id,map_name,map_order,score,winner,duration,picked_by
295605,Breeze,1,13 - 10,NRG,55:08,FURIA
295605,Ascent,2,13 - 8,NRG,48:14,NRG
295606,Bind,1,13 - 11,Cloud9,1:06:54,Cloud9
295606,Split,2,8 - 13,MIBR,47:29,MIBR
295606,Lotus,3,13 - 10,Cloud9,57:07,Decider
295610,Split,1,13 - 11,LOUD,1:12:09,Sentinels
295610,Ascent,2,13 - 9,LOUD,51:45,LOUD
295611,Bind,1,13 - 9,LEVIATÁN,1:03:18,100 Thieves
295611,Split,2,3 - 13,100 Thieves,36:37,LEVIATÁN
295611,Icebox,3,13 - 11,LEVIATÁN,53:07,Decider
295615,Icebox,1,13 - 9,KRÜ Esports,1:06:10,G2 Esports
295615,Sunset,2,9 - 13,G2 Esports,53:13,KRÜ Esports
295615,Ascent,3,11 - 13,G2 Esports,56:40,Decider
295608,Split,1,9 - 13,MIBR,1:14:12,MIBR
295608,Breeze,2,11 - 13,MIBR,56:26,FURIA
295613,Lotus,1,13 - 5,Sentinels,49:56,100 Thieves
295613,Bind,2,6 - 13,100 Thieves,44:57,Sentinels
295613,Split,3,13 - 8,Sentinels,45:29,Decider
295607,Sunset,1,13 - 7,NRG,1:00:41,Cloud9
295607,Ascent,2,14 - 12,NRG,58:34,NRG
295612,Bind,1,11 - 13,LEVIATÁN,1:11:38,LEVIATÁN
295612,Split,2,13 - 10,LOUD,58:10,LOUD
295612,Ascent,3,13 - 7,LOUD,50:10,Decider
295617,Sunset,1,13 - 15,Evil Geniuses,1:18:54,G2 Esports
295617,Icebox,2,11 - 13,Evil Geniuses,1:01:40,Evil Geniuses
295609,Bind,1,12 - 14,MIBR,1:16:03,Cloud9
295609,Ascent,2,9 - 13,MIBR,56:21,MIBR
295614,Split,1,3 - 13,Sentinels,50:11,Sentinels
295614,Breeze,2,13 - 6,LEVIATÁN,45:00,LEVIATÁN
295614,Bind,3,9 - 13,Sentinels,52:54,Decider
295619,Split,1,13 - 8,G2 Esports,58:24,KRÜ Esports
295619,Sunset,2,13 - 8,G2 Esports,45:29,G2 Esports
307572,Split,1,7 - 13,Sentinels,1:01:27,Sentinels
307572,Ascent,2,6 - 13,Sentinels,45:03,MIBR
307573,Sunset,1,9 - 13,MIBR,1:00:34,G2 Esports
307573,Split,2,15 - 13,G2 Esports,1:08:34,MIBR
307573,Breeze,3,10 - 13,MIBR,59:07,Decider
307574,Sunset,1,13 - 8,Sentinels,54:28,Sentinels
307574,Breeze,2,9 - 13,G2 Esports,47:08,G2 Esports
307574,Split,3,9 - 13,G2 Esports,52:50,Decider
303087,Ascent,1,13 - 7,Evil Geniuses,58:24,LOUD
303087,Icebox,2,7 - 13,LOUD,47:45,Evil Geniuses
303087,Sunset,3,5 - 13,LOUD,40:45,Decider
303088,Sunset,1,14 - 16,Sentinels,1:17:21,Sentinels
303088,Ascent,2,13 - 8,NRG,53:29,NRG
303088,Split,3,3 - 13,Sentinels,40:57,Decider
303086,Sunset,1,9 - 13,Sentinels,1:11:51,LOUD
303086,Split,2,3 - 13,Sentinels,41:08,Sentinels
303086,Icebox,3,13 - 11,LOUD,53:28,LOUD
303086,Bind,4,13 - 8,LOUD,51:03,Sentinels
303086,Lotus,5,4 - 13,Sentinels,44:02,Decider
