match_id,match_title,event,date,format,teams,score,maps_played,patch,pick_ban_info
295605,NRG vs FURIA,Champions Tour 2024: Americas Kickoff,2024-02-16 17:00:00,Bo3,NRG vs FURIA,2 - 0,2,Patch 8.02,FUR ban Sunset; NRG ban Bind; FUR pick Breeze; NRG pick Ascent; FUR ban Lotus; NRG ban Icebox; Split remains
295606,Cloud9 vs MIBR,Champions Tour 2024: Americas Kickoff,2024-02-16 20:00:00,Bo3,Cloud9 vs MIBR,2 - 1,3,Patch 8.02,C9 ban Ascent; MIBR ban Icebox; C9 pick Bind; MIBR pick Split; C9 ban Breeze; MIBR ban Sunset; Lotus remains
295610,LOUD vs Sentinels,Champions Tour 2024: Americas Kickoff,2024-02-17 17:00:00,Bo3,LOUD vs Sentinels,2 - 0,2,Patch 8.02,SEN ban Icebox; LOUD ban Breeze; SEN pick Split; LOUD pick Ascent; SEN ban Lotus; LOUD ban Bind; Sunset remains
295611,LEVIATÁN vs 100 Thieves,Champions Tour 2024: Americas Kickoff,2024-02-17 19:35:00,Bo3,LEVIATÁN vs 100 Thieves,2 - 1,3,Patch 8.02,100T ban Breeze; LEV ban Lotus; 100T pick Bind; LEV pick Split; 100T ban Sunset; LEV ban Ascent; Icebox remains
295615,KRÜ Esports vs G2 Esports,Champions Tour 2024: Americas Kickoff,2024-02-18 17:00:00,Bo3,KRÜ Esports vs G2 Esports,1 - 2,3,Patch 8.02,G2 ban Lotus; KRÜ ban Bind; G2 pick Icebox; KRÜ pick Sunset; G2 ban Split; KRÜ ban Breeze; Ascent remains
295608,FURIA vs MIBR,Champions Tour 2024: Americas Kickoff,2024-02-19 17:00:00,Bo3,FURIA vs MIBR,0 - 2,2,Patch 8.02,MIBR ban Icebox; FUR ban Ascent; MIBR pick Split; FUR pick Breeze; MIBR ban Bind; FUR ban Sunset; Lotus remains
295613,Sentinels vs 100 Thieves,Champions Tour 2024: Americas Kickoff,2024-02-19 19:45:00,Bo3,Sentinels vs 100 Thieves,2 - 1,3,Patch 8.02,100T ban Sunset; SEN ban Icebox; 100T pick Lotus; SEN pick Bind; 100T ban Breeze; SEN ban Ascent; Split remains
295607,NRG vs Cloud9,Champions Tour 2024: Americas Kickoff,2024-02-23 17:00:00,Bo3,NRG vs Cloud9,2 - 0,2,Patch 8.03,C9 ban Split; NRG ban Bind; C9 pick Sunset; NRG pick Ascent; C9 ban Breeze; NRG ban Icebox; Lotus remains
295612,LOUD vs LEVIATÁN,Champions Tour 2024: Americas Kickoff,2024-02-23 19:25:00,Bo3,LOUD vs LEVIATÁN,2 - 1,3,Patch 8.03,LEV ban Sunset; LOUD ban Breeze; LEV pick Bind; LOUD pick Split; LEV ban Lotus; LOUD ban Icebox; Ascent remains
295617,G2 Esports vs Evil Geniuses,Champions Tour 2024: Americas Kickoff,2024-02-24 17:00:00,Bo3,G2 Esports vs Evil Geniuses,0 - 2,2,Patch 8.03,G2 ban Lotus; EG ban Bind; G2 pick Sunset; EG pick Icebox; G2 ban Breeze; EG ban Ascent; Split remains
295609,Cloud9 vs MIBR,Champions Tour 2024: Americas Kickoff,2024-02-25 15:00:00,Bo3,Cloud9 vs MIBR,0 - 2,2,Patch 8.03,C9 ban Split; MIBR ban Icebox; C9 pick Bind; MIBR pick Ascent; C9 ban Breeze; MIBR ban Lotus; Sunset remains
295614,LEVIATÁN vs Sentinels,Champions Tour 2024: Americas Kickoff,2024-02-25 17:40:00,Bo3,LEVIATÁN vs Sentinels,1 - 2,3,Patch 8.03,SEN ban Icebox; LEV ban Sunset; SEN pick Split; LEV pick Breeze; SEN ban Ascent; LEV ban Lotus; Bind remains
295619,G2 Esports vs KRÜ Esports,Champions Tour 2024: Americas Kickoff,2024-02-25 20:55:00,Bo3,G2 Esports vs KRÜ Esports,2 - 0,2,Patch 8.03,KRÜ ban Bind; G2 ban Lotus; KRÜ pick Split; G2 pick Sunset; KRÜ ban Breeze; G2 ban Ascent; Icebox remains
307572,MIBR vs Sentinels,Champions Tour 2024: Americas Kickoff,2024-02-26 15:00:00,Bo3,MIBR vs Sentinels,0 - 2,2,Patch 8.03,SEN ban Breeze; MIBR ban Bind; SEN pick Split; MIBR pick Ascent; SEN ban Icebox; MIBR ban Lotus; Sunset remains
307573,G2 Esports vs MIBR,Champions Tour 2024: Americas Kickoff,2024-02-26 17:10:00,Bo3,G2 Esports vs MIBR,1 - 2,3,Patch 8.03,G2 ban Lotus; MIBR ban Icebox; G2 pick Sunset; MIBR pick Split; G2 ban Bind; MIBR ban Ascent; Breeze remains
307574,Sentinels vs G2 Esports,Champions Tour 2024: Americas Kickoff,2024-02-26 20:55:00,Bo3,Sentinels vs G2 Esports,1 - 2,3,Patch 8.03,SEN ban Icebox; G2 ban Lotus; SEN pick Sunset; G2 pick Breeze; SEN ban Ascent; G2 ban Bind; Split remains
303087,Evil Geniuses vs LOUD,Champions Tour 2024: Americas Kickoff,2024-03-02 17:00:00,Bo3,Evil Geniuses vs LOUD,1 - 2,3,Patch 8.03,LOUD ban Breeze; EG ban Bind; LOUD pick Ascent; EG pick Icebox; LOUD ban Lotus; EG ban Split; Sunset remains
303088,NRG vs Sentinels,Champions Tour 2024: Americas Kickoff,2024-03-02 20:00:00,Bo3,NRG vs Sentinels,1 - 2,3,Patch 8.03,SEN ban Breeze; NRG ban Bind; SEN pick Sunset; NRG pick Ascent; SEN ban Icebox; NRG ban Lotus; Split remains
303086,LOUD vs Sentinels,Champions Tour 2024: Americas Kickoff,2024-03-03 17:00:00,Bo5,LOUD vs Sentinels,2 - 3,5,Patch 8.03,LOUD ban Breeze; SEN ban Ascent; LOUD pick Sunset; SEN pick Split; LOUD pick Icebox; SEN pick Bind; Lotus remains
