map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Breeze,NRG,0,4 (0),0 (0),4 (4),15 (9),295605
Breeze,FUR,2,2 (2),2 (0),9 (5),10 (3),295605
Ascent,NRG,1,3 (1),2 (1),2 (2),14 (9),295605
Ascent,FUR,1,3 (1),2 (0),3 (2),13 (5),295605
All Maps,NRG,1,7 (1),2 (1),6 (6),29 (18),295605
All Maps,FUR,3,5 (3),4 (0),12 (7),23 (8),295605
Bind,C9,2,2 (2),2 (0),8 (3),12 (8),295606
Bind,MIBR,0,4 (1),1 (0),3 (0),16 (10),295606
Split,C9,0,3 (0),2 (0),6 (2),10 (6),295606
Split,MIBR,2,2 (2),0 (0),8 (4),11 (7),295606
All Maps,C9,1,2 (1),1 (0),11 (7),9 (5),295606
All Maps,MIBR,1,3 (1),1 (1),5 (2),14 (6),295606
Split,LOUD,1,3 (2),0 (0),5 (2),16 (9),295610
Split,SEN,1,4 (1),1 (0),7 (5),12 (5),295610
Ascent,LOUD,2,2 (2),1 (1),7 (4),12 (6),295610
Ascent,SEN,0,4 (0),0 (0),6 (1),12 (8),295610
either,LOUD,3,5 (4),1 (1),12 (6),28 (15),295610
either,SEN,1,8 (1),1 (0),13 (6),24 (13),295610
Bind,LEV,1,3 (1),0 (0),3 (2),16 (10),295611
Bind,100T,1,3 (1),2 (1),3 (2),14 (5),295611
Split,LEV,0,3 (0),3 (0),6 (0),4 (3),295611
Split,100T,2,2 (2),0 (0),5 (4),9 (7),295611
All Maps,LEV,1,3 (1),1 (1),5 (4),15 (7),295611
All Maps,100T,1,3 (1),2 (0),5 (3),14 (7),295611
Icebox,KRÜ,0,4 (0),1 (0),2 (2),15 (11),295615
Icebox,G2,2,2 (2),1 (0),7 (4),12 (3),295615
Sunset,KRÜ,1,3 (1),1 (0),5 (1),13 (7),295615
Sunset,G2,1,3 (1),0 (0),7 (3),12 (9),295615
All Maps,KRÜ,1,3 (1),0 (0),6 (5),15 (5),295615
All Maps,G2,1,3 (1),2 (1),9 (6),10 (5),295615
Split,FUR,1,3 (1),2 (0),5 (3),12 (5),295608
Split,MIBR,1,3 (2),1 (0),1 (1),17 (10),295608
Breeze,FUR,0,4 (0),0 (0),3 (1),17 (10),295608
Breeze,MIBR,2,2 (2),2 (1),8 (3),12 (7),295608
All Maps,FUR,1,7 (1),2 (0),8 (4),29 (15),295608
All Maps,MIBR,3,5 (4),3 (1),9 (4),29 (17),295608
Lotus,SEN,2,2 (2),1 (0),6 (4),9 (7),295613
Lotus,100T,0,3 (0),2 (0),5 (2),8 (3),295613
Bind,SEN,1,3 (1),0 (0),6 (2),10 (3),295613
Bind,100T,1,3 (1),0 (0),2 (1),14 (11),295613
All Maps,SEN,1,3 (1),1 (1),5 (3),12 (8),295613
All Maps,100T,1,3 (1),3 (1),6 (3),9 (3),295613
Sunset,NRG,1,3 (2),2 (1),2 (0),13 (10),295607
Sunset,C9,1,3 (2),0 (0),9 (1),8 (4),295607
Ascent,NRG,2,2 (2),2 (0),6 (3),16 (9),295607
Ascent,C9,0,3 (0),1 (0),8 (4),14 (8),295607
All Maps,NRG,3,5 (4),4 (1),8 (3),29 (19),295607
All Maps,C9,1,6 (2),1 (0),17 (5),22 (12),295607
Bind,LOUD,1,3 (1),2 (0),3 (2),16 (8),295612
Bind,LEV,1,3 (1),0 (0),8 (3),13 (9),295612
Split,LOUD,2,2 (2),3 (0),5 (4),13 (7),295612
Split,LEV,0,5 (0),0 (0),3 (2),15 (8),295612
All Maps,LOUD,1,3 (1),1 (1),3 (2),13 (9),295612
All Maps,LEV,1,3 (1),2 (0),7 (3),8 (3),295612
Sunset,G2,1,3 (1),0 (0),9 (4),16 (8),295617
Sunset,EG,1,3 (1),4 (1),4 (3),17 (10),295617
Icebox,G2,1,3 (1),2 (1),3 (1),16 (8),295617
Icebox,EG,1,3 (1),1 (1),6 (3),14 (8),295617
All Maps,G2,2,6 (2),2 (1),12 (5),32 (16),295617
All Maps,EG,2,6 (2),5 (2),10 (6),31 (18),295617
Bind,C9,1,2 (1),1 (0),6 (2),17 (9),295609
Bind,MIBR,1,3 (1),0 (0),8 (4),15 (9),295609
Ascent,C9,0,4 (1),1 (0),5 (2),12 (6),295609
Ascent,MIBR,2,2 (2),2 (0),4 (2),14 (9),295609
All Maps,C9,1,6 (2),2 (0),11 (4),29 (15),295609
All Maps,MIBR,3,5 (3),2 (0),12 (6),29 (18),295609
Split,LEV,1,2 (1),3 (0),6 (1),5 (1),295614
Split,SEN,1,3 (2),0 (0),3 (3),10 (8),295614
Breeze,LEV,1,3 (1),0 (0),5 (5),11 (7),295614
Breeze,SEN,1,3 (1),2 (1),7 (2),7 (2),295614
and,LEV,1,3 (1),1 (0),5 (3),13 (5),295614
and,SEN,1,3 (1),0 (0),5 (3),14 (9),295614
All Maps,LEV,3,8 (3),4 (0),16 (9),29 (13),295614
