player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
mwzera,mwzera,FUR,939,['Jett'],1,90,1.24,237.0,1.21,71%,156.1,0.82,0.19,0.18,0.17,25%,8%,1/12,24,74,61,17,16,15
aspas,aspas,LEV,8480,"['Raze', 'Reyna', 'Jett']",3,186,1.21,242.1,1.23,73%,162.5,0.85,0.2,0.15,0.13,28%,25%,7/28,31,158,128,37,27,25
Less,Less,LOUD,8447,['Viper'],1,271,1.2,213.3,1.25,76%,142.9,0.76,0.25,0.08,0.07,31%,12%,5/43,24,205,164,69,22,19
keznit,keznit,KRÜ,2462,"['Jett', 'Chamber']",2,110,1.14,251.2,1.25,68%,165.8,0.91,0.14,0.23,0.1,35%,0%,0/14,31,100,80,15,25,11
zekken,zekken,SEN,4004,"['Raze', 'Jett']",2,432,1.14,249.0,1.21,72%,161.8,0.86,0.2,0.22,0.16,25%,9%,2/22,31,373,307,86,93,70
supamen,supamen,EG,826,"['Omen', 'Viper']",2,110,1.12,190.6,1.0,72%,124.6,0.65,0.31,0.11,0.08,33%,21%,4/19,22,72,72,34,12,9
Victor,Victor,NRG,261,"['Cypher', 'Killjoy', 'Raze']",3,157,1.11,211.0,1.24,74%,140.3,0.76,0.19,0.11,0.11,25%,20%,3/15,22,120,97,30,17,17
tuyz,tuyz,LOUD,2408,"['Omen', 'Brimstone', 'Harbor']",3,271,1.1,190.8,1.11,75%,127.8,0.68,0.47,0.05,0.04,31%,21%,11/52,19,183,165,128,14,10
Derrek,Derrek,EG,1533,"['Fade', 'Gekko', 'Sova']",3,110,1.1,219.0,1.11,69%,140.2,0.76,0.17,0.12,0.05,37%,18%,4/22,22,84,76,19,13,5
TenZ,TenZ,SEN,9,"['Omen', 'Yoru', 'Kayo']",3,432,1.1,212.9,1.11,76%,139.8,0.75,0.42,0.13,0.09,26%,8%,3/38,30,323,290,180,54,39
Shyy,Shyy,KRÜ,24007,"['Killjoy', 'Viper']",2,110,1.09,190.4,1.1,69%,140.1,0.69,0.22,0.05,0.06,23%,54%,7/13,19,76,69,24,6,7
leaf,leaf,G2,7873,"['Jett', 'Raze', 'Yoru']",3,300,1.08,237.3,1.16,69%,155.0,0.81,0.19,0.2,0.21,28%,20%,2/10,26,244,211,56,59,63
vanity,vanity,C9,7870,"['Skye', 'Viper', 'Gekko', 'Sova']",4,162,1.07,198.6,1.03,76%,132.2,0.69,0.34,0.06,0.08,22%,23%,5/22,23,112,109,55,10,13
Demon1,Demon1,NRG,26171,"['Jett', 'Omen']",2,157,1.06,215.3,1.08,71%,145.6,0.76,0.15,0.2,0.17,33%,7%,1/14,24,119,110,24,32,26
Zellsis,Zellsis,SEN,729,"['Viper', 'Kayo', 'Killjoy', 'Brimstone']",4,432,1.06,195.1,1.05,77%,123.9,0.68,0.41,0.08,0.07,17%,16%,9/58,19,292,277,179,36,32
trent,trent,G2,15500,['Viper'],1,300,1.05,197.0,1.0,74%,136.7,0.67,0.29,0.07,0.09,29%,20%,8/41,22,200,200,87,22,26
RgLMeister,RgLMeister,MIBR,5351,"['Brimstone', 'Astra', 'Omen', 'Viper']",4,274,1.05,187.8,1.05,77%,129.3,0.68,0.4,0.04,0.05,30%,16%,6/37,23,185,176,109,10,14
johnqt,johnqt,SEN,1265,"['Cypher', 'Killjoy', 'Viper']",3,432,1.04,187.5,1.1,75%,123.0,0.66,0.27,0.06,0.06,26%,21%,13/62,19,284,258,116,27,27
Sacy,Sacy,SEN,659,"['Skye', 'Sova', 'Fade', 'Gekko']",4,432,1.04,200.2,0.99,74%,134.9,0.66,0.45,0.07,0.06,26%,21%,9/42,24,285,288,194,29,25
kiNgg,kiNgg,LEV,8549,"['Viper', 'Breach', 'Kayo']",3,186,1.04,207.4,1.05,73%,136.2,0.73,0.3,0.03,0.07,31%,15%,4/27,22,136,129,55,6,13
Cryocells,Cryocells,100T,4147,"['Brimstone', 'Astra', 'Jett', 'Chamber']",4,120,1.03,206.3,1.13,70%,137.3,0.78,0.17,0.11,0.12,25%,40%,4/10,21,94,83,20,13,14
Apoth,Apoth,EG,5188,"['Cypher', 'Killjoy']",2,110,1.03,217.0,1.08,61%,153.7,0.77,0.2,0.07,0.19,33%,13%,1/8,21,85,79,22,8,21
Xeppaa,Xeppaa,C9,7871,"['Raze', 'Skye', 'Fade', 'Kayo']",4,162,1.03,211.1,0.98,80%,134.0,0.72,0.44,0.08,0.12,23%,15%,2/13,20,116,118,71,13,19
jzz,jzz,MIBR,13093,"['Raze', 'Skye', 'Sova']",3,274,1.02,216.3,1.07,75%,144.3,0.77,0.21,0.15,0.14,30%,5%,1/19,28,212,198,58,42,37
frz,frz,MIBR,651,"['Viper', 'Killjoy', 'Cypher']",3,274,1.02,192.2,1.09,67%,126.1,0.69,0.17,0.08,0.1,29%,26%,10/39,22,190,174,46,21,28
Ethan,Ethan,NRG,11225,"['Kayo', 'Skye']",2,157,1.01,210.7,1.0,78%,135.3,0.69,0.48,0.06,0.08,21%,23%,3/13,27,108,108,76,9,12
cauanzin,cauanzin,LOUD,6193,"['Breach', 'Sova']",2,271,1.01,195.5,1.03,74%,120.7,0.71,0.32,0.14,0.08,30%,0%,0/17,20,193,188,88,38,22
JonahP,JonahP,G2,4581,"['Sova', 'Kayo', 'Breach']",3,300,1.0,178.6,0.98,75%,121.0,0.65,0.34,0.04,0.09,29%,24%,6/25,23,195,199,103,13,27
wippie,wippie,C9,4373,"['Viper', 'Killjoy']",2,162,0.99,179.0,0.98,73%,119.7,0.6,0.22,0.07,0.07,21%,7%,2/27,23,98,100,36,11,11
neT,neT,G2,6582,"['Killjoy', 'Cypher']",2,300,0.97,198.5,1.0,68%,131.1,0.7,0.18,0.07,0.06,39%,8%,4/52,25,209,208,54,21,18
artzin,artzin,MIBR,5957,"['Jett', 'Raze']",2,274,0.97,216.3,1.0,72%,138.8,0.74,0.16,0.14,0.15,25%,27%,6/22,28,202,203,44,38,40
crashies,crashies,NRG,4,"['Sova', 'Viper', 'Breach']",3,157,0.97,167.9,1.0,74%,110.3,0.6,0.31,0.06,0.07,25%,10%,2/21,22,94,94,49,9,11
C0M,C0M,LEV,619,"['Skye', 'Sova']",2,186,0.97,187.6,0.89,71%,120.9,0.63,0.45,0.08,0.1,21%,9%,2/22,24,117,131,84,15,19
Boostio,Boostio,100T,604,"['Gekko', 'Killjoy', 'Omen']",3,120,0.97,201.8,0.93,72%,141.2,0.71,0.25,0.13,0.13,28%,10%,1/10,22,85,91,30,16,16
Klaus,Klaus,KRÜ,2610,"['Sova', 'Fade', 'Skye']",3,110,0.96,182.8,0.83,71%,126.0,0.59,0.35,0.11,0.05,22%,13%,2/16,17,65,78,38,12,5
jakee,jakee,C9,8742,"['Brimstone', 'Astra', 'Omen']",3,162,0.96,170.7,0.88,74%,113.4,0.6,0.39,0.04,0.06,28%,14%,2/14,20,98,111,63,7,9
valyn,valyn,G2,3885,"['Brimstone', 'Omen', 'Harbor']",3,300,0.95,180.8,0.9,76%,114.2,0.63,0.37,0.1,0.07,22%,11%,4/38,24,189,209,111,29,22
jawgemo,jawgemo,EG,3993,"['Raze', 'Deadlock', 'Jett']",3,110,0.94,206.0,0.92,64%,138.7,0.7,0.26,0.15,0.15,21%,0%,0/2,21,77,84,29,16,17
