match_id,map_name,map_order,score,winner,duration,picked_by
314622,Icebox,1,7 - 13,LEVIATÁN,1:10:08,Cloud9
314622,Sunset,2,13 - 7,Cloud9,46:48,LEVIATÁN
314622,Ascent,3,18 - 16,Cloud9,1:24:47,Decider
314623,Breeze,1,13 - 10,NRG,1:00:38,NRG
314623,Sunset,2,13 - 2,NRG,34:00,LOUD
314624,Lotus,1,13 - 8,G2 Esports,1:07:29,G2 Esports
314624,Icebox,2,13 - 3,G2 Esports,35:03,Evil Geniuses
314625,Icebox,1,13 - 10,Sentinels,58:12,100 Thieves
314625,Split,2,13 - 6,Sentinels,42:13,Sentinels
314626,Lotus,1,13 - 7,KRÜ Esports,1:04:32,FURIA
314626,Icebox,2,11 - 13,FURIA,57:28,KRÜ Esports
314626,Breeze,3,13 - 7,KRÜ Esports,46:56,Decider
314628,Bind,1,9 - 13,100 Thieves,1:05:47,100 Thieves
314628,Split,2,8 - 13,100 Thieves,51:54,G2 Esports
314629,Lotus,1,17 - 19,LEVIATÁN,1:34:28,Sentinels
314629,Icebox,2,11 - 13,LEVIATÁN,57:07,LEVIATÁN
314630,Icebox,1,13 - 6,KRÜ Esports,57:37,KRÜ Esports
314630,Sunset,2,13 - 8,KRÜ Esports,50:56,MIBR
314631,Split,1,13 - 2,NRG,39:25,FURIA
314631,Breeze,2,13 - 8,NRG,49:22,NRG
314632,Lotus,1,9 - 13,Evil Geniuses,1:05:20,Cloud9
314632,Sunset,2,13 - 8,Cloud9,47:01,Evil Geniuses
314632,Split,3,13 - 4,Cloud9,43:01,Decider
314634,Lotus,1,13 - 3,Sentinels,1:12:29,Sentinels
314634,Bind,2,13 - 7,Sentinels,47:40,MIBR
314635,Bind,1,11 - 13,LOUD,1:07:22,Cloud9
314635,Icebox,2,13 - 4,Cloud9,42:07,LOUD
314635,Lotus,3,13 - 9,Cloud9,53:49,Decider
314636,Lotus,1,13 - 5,KRÜ Esports,59:35,Evil Geniuses
314636,Breeze,2,13 - 9,KRÜ Esports,47:45,KRÜ Esports
314637,Sunset,1,4 - 13,LEVIATÁN,45:35,NRG
314637,Bind,2,4 - 13,LEVIATÁN,38:35,LEVIATÁN
314638,Lotus,1,13 - 3,G2 Esports,47:55,FURIA
314638,Icebox,2,13 - 3,G2 Esports,38:36,G2 Esports
314639,Bind,1,7 - 13,100 Thieves,54:12,100 Thieves
314639,Ascent,2,6 - 13,100 Thieves,41:26,Cloud9
314640,Lotus,1,13 - 10,Sentinels,1:11:33,Sentinels
314640,Bind,2,11 - 13,Evil Geniuses,59:51,Evil Geniuses
314640,Sunset,3,10 - 13,Evil Geniuses,49:10,Decider
314641,Split,1,13 - 9,NRG,1:06:27,MIBR
314641,Breeze,2,13 - 3,NRG,41:47,NRG
314642,Breeze,1,6 - 13,LEVIATÁN,56:54,LEVIATÁN
314642,Icebox,2,13 - 8,G2 Esports,48:29,G2 Esports
314642,Lotus,3,9 - 13,LEVIATÁN,50:09,Decider
314643,Split,1,13 - 8,KRÜ Esports,59:49,KRÜ Esports
314643,Ascent,2,13 - 8,KRÜ Esports,48:36,LOUD
314644,Icebox,1,13 - 9,G2 Esports,1:05:19,G2 Esports
314644,Bind,2,13 - 3,G2 Esports,36:16,MIBR
314645,Lotus,1,7 - 13,LOUD,58:18,Sentinels
314645,Icebox,2,8 - 13,LOUD,50:43,LOUD
314646,Ascent,1,2 - 13,FURIA,55:52,FURIA
314646,Lotus,2,13 - 3,Cloud9,39:13,Cloud9
314646,Bind,3,13 - 8,Cloud9,47:52,Decider
314647,Ascent,1,6 - 13,Evil Geniuses,49:29,NRG
314647,Lotus,2,16 - 14,NRG,1:10:07,Evil Geniuses
314647,Sunset,3,11 - 13,Evil Geniuses,52:42,Decider
314648,Sunset,1,13 - 7,KRÜ Esports,1:01:22,100 Thieves
314648,Breeze,2,11 - 13,100 Thieves,52:17,KRÜ Esports
314648,Split,3,13 - 8,KRÜ Esports,46:27,Decider
314650,Split,1,13 - 5,Sentinels,55:35,Sentinels
314650,Icebox,2,13 - 9,Sentinels,49:45,FURIA
314651,Split,1,8 - 13,100 Thieves,1:07:23,NRG
314651,Bind,2,7 - 13,100 Thieves,41:28,100 Thieves
314652,Ascent,1,4 - 13,LEVIATÁN,49:35,KRÜ Esports
314652,Breeze,2,14 - 12,KRÜ Esports,57:36,LEVIATÁN
314652,Lotus,3,10 - 13,LEVIATÁN,52:38,Decider
314653,Icebox,1,14 - 12,Cloud9,1:14:20,Cloud9
314653,Sunset,2,13 - 9,Cloud9,50:41,MIBR
314654,Bind,1,11 - 13,LOUD,1:03:19,G2 Esports
314654,Icebox,2,4 - 13,LOUD,37:34,LOUD
337407,Lotus,1,6 - 13,G2 Esports,1:00:00,Cloud9
337407,Ascent,2,13 - 15,G2 Esports,1:02:00,G2 Esports
337408,Bind,1,13 - 6,100 Thieves,49:02,100 Thieves
337408,Icebox,2,13 - 4,100 Thieves,39:43,LOUD
337409,Icebox,1,5 - 13,G2 Esports,53:51,KRÜ Esports
337409,Ascent,2,8 - 13,G2 Esports,44:12,G2 Esports
337410,Bind,1,3 - 13,100 Thieves,46:58,100 Thieves
337410,Sunset,2,14 - 12,LEVIATÁN,55:17,LEVIATÁN
337410,Icebox,3,10 - 13,100 Thieves,49:19,Decider
337411,Ascent,1,5 - 13,100 Thieves,51:44,G2 Esports
337411,Bind,2,13 - 8,G2 Esports,43:17,100 Thieves
337411,Split,3,11 - 13,100 Thieves,51:20,Decider
337413,Lotus,1,13 - 6,KRÜ Esports,50:24,LEVIATÁN
337413,Icebox,2,11 - 13,LEVIATÁN,51:16,KRÜ Esports
337413,Sunset,3,8 - 13,LEVIATÁN,52:15,Decider
337414,Bind,1,12 - 14,LEVIATÁN,1:13:17,G2 Esports
337414,Breeze,2,13 - 7,G2 Esports,1:17:44,LEVIATÁN
337414,Icebox,3,12 - 14,LEVIATÁN,1:00:56,G2 Esports
337414,Lotus,4,13 - 10,G2 Esports,54:40,LEVIATÁN
337414,Ascent,5,13 - 11,G2 Esports,54:43,Decider
337412,Bind,1,13 - 9,100 Thieves,1:04:29,100 Thieves
337412,Breeze,2,13 - 7,100 Thieves,47:17,G2 Esports
337412,Sunset,3,13 - 8,100 Thieves,42:51,100 Thieves
