match_id,match_title,event,date,format,teams,score,maps_played,patch,pick_ban_info
314622,Cloud9 vs LEVIATÁN,Champions Tour 2024: Americas Stage 1,2024-04-06 17:00:00,Bo3,Cloud9 vs LEVIATÁN,2 - 1,3,Patch 8.05,C9 ban Breeze; LEV ban Split; C9 pick Icebox; LEV pick Sunset; C9 ban Bind; LEV ban Lotus; Ascent remains
314623,NRG vs LOUD,Champions Tour 2024: Americas Stage 1,2024-04-06 21:00:00,Bo3,NRG vs LOUD,2 - 0,2,Patch 8.05,NRG ban Icebox; LOUD ban Split; NRG pick Breeze; LOUD pick Sunset; NRG ban Lotus; LOUD ban Bind; Ascent remains
314624,G2 Esports vs Evil Geniuses,Champions Tour 2024: Americas Stage 1,2024-04-07 17:00:00,Bo3,G2 Esports vs Evil Geniuses,2 - 0,2,Patch 8.05,G2 ban Sunset; EG ban Bind; G2 pick Lotus; EG pick Icebox; G2 ban Ascent; EG ban Split; Breeze remains
314625,Sentinels vs 100 Thieves,Champions Tour 2024: Americas Stage 1,2024-04-07 19:10:00,Bo3,Sentinels vs 100 Thieves,2 - 0,2,Patch 8.05,100T ban Lotus; SEN ban Breeze; 100T pick Icebox; SEN pick Split; 100T ban Ascent; SEN ban Bind; Sunset remains
314626,KRÜ Esports vs FURIA,Champions Tour 2024: Americas Stage 1,2024-04-08 17:00:00,Bo3,KRÜ Esports vs FURIA,2 - 1,3,Patch 8.05,FUR ban Split; KRÜ ban Bind; FUR pick Lotus; KRÜ pick Icebox; FUR ban Sunset; KRÜ ban Ascent; Breeze remains
314628,G2 Esports vs 100 Thieves,Champions Tour 2024: Americas Stage 1,2024-04-13 17:00:00,Bo3,G2 Esports vs 100 Thieves,0 - 2,2,Patch 8.05,100T ban Lotus; G2 ban Sunset; 100T pick Bind; G2 pick Split; 100T ban Breeze; G2 ban Ascent; Icebox remains
314629,Sentinels vs LEVIATÁN,Champions Tour 2024: Americas Stage 1,2024-04-13 19:25:00,Bo3,Sentinels vs LEVIATÁN,0 - 2,2,Patch 8.05,SEN ban Breeze; LEV ban Split; SEN pick Lotus; LEV pick Icebox; SEN ban Ascent; LEV ban Sunset; Bind remains
314630,KRÜ Esports vs MIBR,Champions Tour 2024: Americas Stage 1,2024-04-14 17:00:00,Bo3,KRÜ Esports vs MIBR,2 - 0,2,Patch 8.05,KRÜ ban Bind; MIBR ban Lotus; KRÜ pick Icebox; MIBR pick Sunset; KRÜ ban Breeze; MIBR ban Split; Ascent remains
314631,NRG vs FURIA,Champions Tour 2024: Americas Stage 1,2024-04-14 19:20:00,Bo3,NRG vs FURIA,2 - 0,2,Patch 8.05,FUR ban Sunset; NRG ban Icebox; FUR pick Split; NRG pick Breeze; FUR ban Ascent; NRG ban Lotus; Bind remains
314632,Cloud9 vs Evil Geniuses,Champions Tour 2024: Americas Stage 1,2024-04-15 17:00:00,Bo3,Cloud9 vs Evil Geniuses,2 - 1,3,Patch 8.05,C9 ban Breeze; EG ban Bind; C9 pick Lotus; EG pick Sunset; C9 ban Icebox; EG ban Ascent; Split remains
314634,Sentinels vs MIBR,Champions Tour 2024: Americas Stage 1,2024-04-20 17:00:00,Bo3,Sentinels vs MIBR,2 - 0,2,Patch 8.07,SEN ban Breeze; MIBR ban Split; SEN pick Lotus; MIBR pick Bind; SEN ban Ascent; MIBR ban Icebox; Sunset remains
314635,Cloud9 vs LOUD,Champions Tour 2024: Americas Stage 1,2024-04-20 19:30:00,Bo3,Cloud9 vs LOUD,2 - 1,3,Patch 8.07,C9 ban Breeze; LOUD ban Split; C9 pick Bind; LOUD pick Icebox; C9 ban Ascent; LOUD ban Sunset; Lotus remains
314636,KRÜ Esports vs Evil Geniuses,Champions Tour 2024: Americas Stage 1,2024-04-21 17:00:00,Bo3,KRÜ Esports vs Evil Geniuses,2 - 0,2,Patch 8.07,EG ban Split; KRÜ ban Bind; EG pick Lotus; KRÜ pick Breeze; EG ban Ascent; KRÜ ban Sunset; Icebox remains
314637,NRG vs LEVIATÁN,Champions Tour 2024: Americas Stage 1,2024-04-21 19:15:00,Bo3,NRG vs LEVIATÁN,0 - 2,2,Patch 8.07,NRG ban Icebox; LEV ban Ascent; NRG pick Sunset; LEV pick Bind; NRG ban Lotus; LEV ban Split; Breeze remains
314638,G2 Esports vs FURIA,Champions Tour 2024: Americas Stage 1,2024-04-22 17:00:00,Bo3,G2 Esports vs FURIA,2 - 0,2,Patch 8.07,FUR ban Split; G2 ban Sunset; FUR pick Lotus; G2 pick Icebox; FUR ban Ascent; G2 ban Bind; Breeze remains
314639,Cloud9 vs 100 Thieves,Champions Tour 2024: Americas Stage 1,2024-04-22 19:00:00,Bo3,Cloud9 vs 100 Thieves,0 - 2,2,Patch 8.07,100T ban Lotus; C9 ban Breeze; 100T pick Bind; C9 pick Ascent; 100T ban Split; C9 ban Sunset; Icebox remains
314640,Sentinels vs Evil Geniuses,Champions Tour 2024: Americas Stage 1,2024-04-23 17:00:00,Bo3,Sentinels vs Evil Geniuses,1 - 2,3,Patch 8.07,SEN ban Breeze; EG ban Split; SEN pick Lotus; EG pick Bind; SEN ban Ascent; EG ban Icebox; Sunset remains
314641,NRG vs MIBR,Champions Tour 2024: Americas Stage 1,2024-04-23 20:30:00,Bo3,NRG vs MIBR,2 - 0,2,Patch 8.07,MIBR ban Ascent; NRG ban Icebox; MIBR pick Split; NRG pick Breeze; MIBR ban Lotus; NRG ban Bind; Sunset remains
314642,G2 Esports vs LEVIATÁN,Champions Tour 2024: Americas Stage 1,2024-04-24 17:00:00,Bo3,G2 Esports vs LEVIATÁN,1 - 2,3,Patch 8.07,LEV ban Split; G2 ban Sunset; LEV pick Breeze; G2 pick Icebox; LEV ban Ascent; G2 ban Bind; Lotus remains
314643,KRÜ Esports vs LOUD,Champions Tour 2024: Americas Stage 1,2024-04-24 20:15:00,Bo3,KRÜ Esports vs LOUD,2 - 0,2,Patch 8.07,KRÜ ban Bind; LOUD ban Sunset; KRÜ pick Split; LOUD pick Ascent; KRÜ ban Breeze; LOUD ban Icebox; Lotus remains
314644,G2 Esports vs MIBR,Champions Tour 2024: Americas Stage 1,2024-04-27 17:00:00,Bo3,G2 Esports vs MIBR,2 - 0,2,Patch 8.07,G2 ban Sunset; MIBR ban Lotus; G2 pick Icebox; MIBR pick Bind; G2 ban Breeze; MIBR ban Ascent; Split remains
314645,Sentinels vs LOUD,Champions Tour 2024: Americas Stage 1,2024-04-27 19:05:00,Bo3,Sentinels vs LOUD,0 - 2,2,Patch 8.07,SEN ban Breeze; LOUD ban Split; SEN pick Lotus; LOUD pick Icebox; SEN ban Bind; LOUD ban Sunset; Ascent remains
314646,Cloud9 vs FURIA,Champions Tour 2024: Americas Stage 1,2024-04-28 17:00:00,Bo3,Cloud9 vs FURIA,2 - 1,3,Patch 8.07,FUR ban Sunset; C9 ban Breeze; FUR pick Ascent; C9 pick Lotus; FUR ban Icebox; C9 ban Split; Bind remains
314647,NRG vs Evil Geniuses,Champions Tour 2024: Americas Stage 1,2024-04-28 19:55:00,Bo3,NRG vs Evil Geniuses,1 - 2,3,Patch 8.07,NRG ban Icebox; EG ban Breeze; NRG pick Ascent; EG pick Lotus; NRG ban Bind; EG ban Split; Sunset remains
314648,KRÜ Esports vs 100 Thieves,Champions Tour 2024: Americas Stage 1,2024-04-29 17:00:00,Bo3,KRÜ Esports vs 100 Thieves,2 - 1,3,Patch 8.07,100T ban Lotus; KRÜ ban Bind; 100T pick Sunset; KRÜ pick Breeze; 100T ban Icebox; KRÜ ban Ascent; Split remains
314650,Sentinels vs FURIA,Champions Tour 2024: Americas Stage 1,2024-05-03 20:00:00,Bo3,Sentinels vs FURIA,2 - 0,2,Patch 8.07,SEN ban Breeze; FUR ban Sunset; SEN pick Split; FUR pick Icebox; SEN ban Ascent; FUR ban Lotus; Bind remains
314651,NRG vs 100 Thieves,Champions Tour 2024: Americas Stage 1,2024-05-04 17:00:00,Bo3,NRG vs 100 Thieves,0 - 2,2,Patch 8.07,NRG ban Icebox; 100T ban Lotus; NRG pick Split; 100T pick Bind; NRG ban Sunset; 100T ban Breeze; Ascent remains
314652,KRÜ Esports vs LEVIATÁN,Champions Tour 2024: Americas Stage 1,2024-05-04 19:20:00,Bo3,KRÜ Esports vs LEVIATÁN,1 - 2,3,Patch 8.07,KRÜ ban Bind; LEV ban Split; KRÜ pick Ascent; LEV pick Breeze; KRÜ ban Sunset; LEV ban Icebox; Lotus remains
314653,Cloud9 vs MIBR,Champions Tour 2024: Americas Stage 1,2024-05-05 17:00:00,Bo3,Cloud9 vs MIBR,2 - 0,2,Patch 8.07,C9 ban Breeze; MIBR ban Lotus; C9 pick Icebox; MIBR pick Sunset; C9 ban Ascent; MIBR ban Bind; Split remains
