map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Icebox,C9,1,3 (1),2 (1),5 (2),10 (3),314622
Icebox,LEV,1,3 (1),1 (0),1 (1),15 (11),314622
Sunset,C9,1,3 (1),1 (0),2 (1),14 (11),314622
Sunset,LEV,1,3 (1),1 (0),5 (1),11 (5),314622
All Maps,C9,0,4 (1),1 (0),5 (3),24 (14),314622
All Maps,LEV,2,3 (2),2 (0),4 (2),25 (12),314622
Breeze,NRG,2,3 (2),2 (1),7 (5),11 (5),314623
Breeze,LOUD,0,4 (0),1 (1),2 (0),16 (9),314623
Sunset,NRG,2,2 (2),0 (0),4 (4),9 (7),314623
Sunset,LOUD,0,3 (0),1 (0),6 (2),5 (0),314623
All Maps,NRG,4,5 (4),2 (1),11 (9),20 (12),314623
All Maps,LOUD,0,7 (0),2 (1),8 (2),21 (9),314623
Lotus,G2,2,2 (2),1 (1),8 (3),10 (7),314624
Lotus,EG,0,4 (0),3 (1),3 (1),11 (6),314624
Icebox,G2,2,2 (2),0 (0),3 (2),11 (9),314624
Icebox,EG,0,3 (0),2 (0),6 (1),5 (2),314624
All Maps,G2,4,4 (4),1 (1),11 (5),21 (16),314624
All Maps,EG,0,7 (0),5 (1),9 (2),16 (8),314624
Icebox,SEN,2,2 (2),1 (0),11 (6),9 (5),314625
Icebox,100T,0,4 (0),2 (1),0 (0),17 (9),314625
Split,SEN,1,3 (1),0 (0),4 (3),12 (9),314625
Split,100T,1,3 (1),3 (0),4 (1),9 (4),314625
u,SEN,3,5 (3),1 (0),15 (9),21 (14),314625
u,100T,1,7 (1),5 (1),4 (1),26 (13),314625
Lotus,KRÜ,1,3 (1),1 (0),3 (3),13 (9),314626
Lotus,FUR,1,3 (1),2 (0),7 (3),8 (3),314626
Icebox,KRÜ,1,3 (1),1 (1),5 (1),15 (8),314626
Icebox,FUR,1,3 (2),2 (0),9 (7),10 (4),314626
All Maps,KRÜ,0,4 (0),1 (0),0 (0),15 (13),314626
All Maps,FUR,2,2 (2),2 (0),11 (4),5 (1),314626
Bind,G2,1,3 (1),2 (0),6 (3),11 (5),314628
Bind,100T,1,3 (1),1 (0),3 (2),15 (10),314628
Split,G2,2,2 (2),2 (0),11 (4),6 (2),314628
Split,100T,0,4 (0),0 (0),3 (1),14 (12),314628
All Maps,G2,3,5 (3),4 (0),17 (7),17 (7),314628
All Maps,100T,1,7 (1),1 (0),6 (3),29 (22),314628
Lotus,SEN,1,3 (1),2 (0),10 (6),21 (10),314629
Lotus,LEV,1,3 (1),2 (0),4 (3),27 (15),314629
Icebox,SEN,2,3 (2),0 (0),13 (7),8 (2),314629
Icebox,LEV,0,4 (1),0 (0),4 (3),16 (9),314629
lotus,SEN,3,6 (3),2 (0),23 (13),29 (12),314629
lotus,LEV,1,7 (2),2 (0),8 (6),43 (24),314629
Icebox,KRÜ,2,2 (2),0 (0),4 (3),13 (8),314630
Icebox,MIBR,0,4 (0),1 (0),5 (3),9 (3),314630
Sunset,KRÜ,1,3 (1),1 (1),4 (2),13 (9),314630
Sunset,MIBR,1,3 (1),0 (0),6 (2),12 (5),314630
All Maps,KRÜ,3,5 (3),1 (1),8 (5),26 (17),314630
All Maps,MIBR,1,7 (1),1 (0),11 (5),21 (8),314630
Split,NRG,1,3 (1),0 (0),1 (1),11 (11),314631
