match_id,match_title,event,date,format,teams,score,maps_played,patch,pick_ban_info
353177,MIBR vs LEVIATÁN,Champions Tour 2024: Americas Stage 2,2024-06-22 17:00:00,Bo3,MIBR vs LEVIATÁN,0 - 2,2,Patch 8.11,MIBR ban Haven; LEV ban Split; MIBR pick Ascent; LEV pick Icebox; MIBR ban Lotus; LEV ban Sunset; Bind remains
353178,Sentinels vs NRG,Champions Tour 2024: Americas Stage 2,2024-06-22 19:15:00,Bo3,Sentinels vs NRG,2 - 0,2,Patch 8.11,NRG ban Haven; SEN ban Icebox; NRG pick Lotus; SEN pick Sunset; NRG ban Bind; SEN ban Ascent; Split remains
353179,FURIA vs 100 Thieves,Champions Tour 2024: Americas Stage 2,2024-06-23 17:00:00,Bo3,FURIA vs 100 Thieves,2 - 0,2,Patch 8.11,FUR ban Bind; 100T ban Sunset; FUR pick Icebox; 100T pick Haven; FUR ban Lotus; 100T ban Split; Ascent remains
353180,LOUD vs Evil Geniuses,Champions Tour 2024: Americas Stage 2,2024-06-23 19:45:00,Bo3,LOUD vs Evil Geniuses,1 - 2,3,Patch 8.11,LOUD ban Split; EG ban Haven; LOUD pick Lotus; EG pick Sunset; LOUD ban Ascent; EG ban Bind; Icebox remains
353181,G2 Esports vs Cloud9,Champions Tour 2024: Americas Stage 2,2024-06-24 17:00:00,Bo3,G2 Esports vs Cloud9,2 - 1,3,Patch 8.11,G2 ban Sunset; C9 ban Bind; G2 pick Ascent; C9 pick Icebox; G2 ban Haven; C9 ban Split; Lotus remains
353182,Evil Geniuses vs FURIA,Champions Tour 2024: Americas Stage 2,2024-06-29 17:00:00,Bo3,Evil Geniuses vs FURIA,2 - 0,2,Patch 9.0,FUR ban Sunset; EG ban Haven; FUR pick Bind; EG pick Lotus; FUR ban Split; EG ban Ascent; Icebox remains
353183,Sentinels vs KRÜ Esports,Champions Tour 2024: Americas Stage 2,2024-06-29 19:00:00,Bo3,Sentinels vs KRÜ Esports,2 - 0,2,Patch 9.0,KRÜ ban Bind; SEN ban Icebox; KRÜ pick Lotus; SEN pick Split; KRÜ ban Haven; SEN ban Sunset; Ascent remains
353184,LOUD vs MIBR,Champions Tour 2024: Americas Stage 2,2024-06-30 17:00:00,Bo3,LOUD vs MIBR,2 - 1,3,Patch 9.0,MIBR ban Haven; LOUD ban Split; MIBR pick Ascent; LOUD pick Lotus; MIBR ban Bind; LOUD ban Icebox; Sunset remains
353185,LEVIATÁN vs 100 Thieves,Champions Tour 2024: Americas Stage 2,2024-06-30 20:20:00,Bo3,LEVIATÁN vs 100 Thieves,2 - 0,2,Patch 9.0,100T ban Sunset; LEV ban Split; 100T pick Bind; LEV pick Haven; 100T ban Lotus; LEV ban Ascent; Icebox remains
353186,NRG vs G2 Esports,Champions Tour 2024: Americas Stage 2,2024-07-01 17:00:00,Bo3,NRG vs G2 Esports,0 - 2,2,Patch 9.0,NRG ban Lotus; G2 ban Sunset; NRG pick Haven; G2 pick Bind; NRG ban Split; G2 ban Icebox; Ascent remains
353187,Sentinels vs Cloud9,Champions Tour 2024: Americas Stage 2,2024-07-01 19:25:00,Bo3,Sentinels vs Cloud9,2 - 0,2,Patch 9.0,C9 ban Bind; SEN ban Icebox; C9 pick Haven; SEN pick Split; C9 ban Sunset; SEN ban Ascent; Lotus remains
