date,match_id,time,team1,score1,team2,score2,score,winner,status,week,stage
"Sun, June 23, 2024",353177,2:30 AM,MIBR,0,LEVIATÁN,2,0-2,LEVIATÁN,Completed,Week 1,Regular Season
"Sun, June 23, 2024",353178,4:45 AM,Sentinels,2,NRG,0,2-0,Sentinels,Completed,Week 1,Regular Season
"Mon, June 24, 2024",353179,2:30 AM,FURIA,2,100 Thieves,0,2-0,FURIA,Completed,Week 1,Regular Season
"Mon, June 24, 2024",353180,5:15 AM,LOUD,1,Evil Geniuses,2,1-2,Evil Geniuses,Completed,Week 1,Regular Season
"Tue, June 25, 2024",353181,2:30 AM,G2 Esports,2,Cloud9,1,2-1,G2 Esports,Completed,Week 1,Regular Season
"Sun, June 30, 2024",353182,2:30 AM,Evil Geniuses,2,FURIA,0,2-0,Evil Geniuses,Completed,Week 2,Regular Season
"Sun, June 30, 2024",353183,4:30 AM,Sentinels,2,KRÜ Esports,0,2-0,Sentinels,Completed,Week 2,Regular Season
"Mon, July 1, 2024",353184,2:30 AM,LOUD,2,MIBR,1,2-1,LOUD,Completed,Week 2,Regular Season
"Mon, July 1, 2024",353185,5:50 AM,LEVIATÁN,2,100 Thieves,0,2-0,LEVIATÁN,Completed,Week 2,Regular Season
"Tue, July 2, 2024",353186,2:30 AM,NRG,0,G2 Esports,2,0-2,G2 Esports,Completed,Week 2,Regular Season
"Tue, July 2, 2024",353187,4:55 AM,Sentinels,2,Cloud9,0,2-0,Sentinels,Completed,Week 2,Regular Season
"Wed, July 3, 2024",353188,2:30 AM,Evil Geniuses,0,LEVIATÁN,2,0-2,LEVIATÁN,Completed,Week 2,Regular Season
"Wed, July 3, 2024",353189,4:45 AM,LOUD,1,FURIA,2,1-2,FURIA,Completed,Week 2,Regular Season
"Thu, July 4, 2024",353190,2:30 AM,MIBR,0,100 Thieves,2,0-2,100 Thieves,Completed,Week 2,Regular Season
"Thu, July 4, 2024",353191,4:35 AM,NRG,2,KRÜ Esports,1,2-1,NRG,Completed,Week 2,Regular Season
"Sun, July 7, 2024",353192,2:30 AM,G2 Esports,2,KRÜ Esports,1,2-1,G2 Esports,Completed,Week 3,Regular Season
"Sun, July 7, 2024",353193,6:05 AM,LOUD,0,LEVIATÁN,2,0-2,LEVIATÁN,Completed,Week 3,Regular Season
"Mon, July 8, 2024",353194,2:30 AM,MIBR,0,FURIA,2,0-2,FURIA,Completed,Week 3,Regular Season
"Mon, July 8, 2024",353195,4:45 AM,NRG,1,Cloud9,2,1-2,Cloud9,Completed,Week 3,Regular Season
"Tue, July 9, 2024",353196,2:30 AM,Evil Geniuses,1,100 Thieves,2,1-2,100 Thieves,Completed,Week 3,Regular Season
"Sat, July 13, 2024",353197,5:30 AM,Cloud9,0,KRÜ Esports,2,0-2,KRÜ Esports,Completed,Week 4,Regular Season
"Sun, July 14, 2024",353198,2:30 AM,Evil Geniuses,0,MIBR,2,0-2,MIBR,Completed,Week 4,Regular Season
"Sun, July 14, 2024",353199,4:40 AM,LEVIATÁN,2,FURIA,0,2-0,LEVIATÁN,Completed,Week 4,Regular Season
"Mon, July 15, 2024",353200,2:30 AM,LOUD,2,100 Thieves,1,2-1,LOUD,Completed,Week 4,Regular Season
"Mon, July 15, 2024",353201,5:30 AM,Sentinels,0,G2 Esports,2,0-2,G2 Esports,Completed,Week 4,Regular Season
"Thu, July 18, 2024",371266,2:30 AM,KRÜ Esports,2,Cloud9,1,2-1,KRÜ Esports,Completed,Knockout Round,Playoffs
"Thu, July 18, 2024",371267,6:00 AM,Sentinels,0,100 Thieves,2,0-2,100 Thieves,Completed,Knockout Round,Playoffs
"Fri, July 19, 2024",371268,2:30 AM,LEVIATÁN,2,KRÜ Esports,0,2-0,LEVIATÁN,Completed,Upper Semifinals,Playoffs
"Fri, July 19, 2024",371269,4:25 AM,G2 Esports,2,100 Thieves,0,2-0,G2 Esports,Completed,Upper Semifinals,Playoffs
"Sat, July 20, 2024",371270,2:30 AM,LEVIATÁN,0,G2 Esports,2,0-2,G2 Esports,Completed,Upper Final,Playoffs
"Sat, July 20, 2024",371272,4:40 AM,KRÜ Esports,2,100 Thieves,1,2-1,KRÜ Esports,Completed,Lower Round 1,Playoffs
"Sun, July 21, 2024",371273,2:30 AM,LEVIATÁN,3,KRÜ Esports,2,3-2,LEVIATÁN,Completed,Lower Final,Playoffs
"Mon, July 22, 2024",371271,2:30 AM,G2 Esports,1,LEVIATÁN,3,1-3,LEVIATÁN,Completed,Grand Final,Playoffs
