player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
aspas,aspas,LEV,8480,"['Jett', 'Raze', 'Neon']",3,479,1.32,269.0,1.52,77%,169.8,0.94,0.2,0.22,0.11,27%,13%,6/45,27,451,297,95,105,55
kiNgg,kiNgg,LEV,8549,"['Omen', 'Viper']",2,479,1.18,209.8,1.31,81%,134.0,0.76,0.4,0.1,0.07,28%,17%,8/48,23,362,276,190,49,33
Mazino,Mazino,LEV,7603,"['Kayo', 'Harbor', 'Brimstone', 'Breach', 'Deadlock']",5,479,1.17,228.6,1.23,79%,150.9,0.82,0.45,0.09,0.07,28%,6%,2/31,34,395,322,217,41,33
zekken,zekken,SEN,4004,"['Raze', 'Jett']",2,217,1.16,273.7,1.15,71%,178.4,0.9,0.25,0.24,0.18,27%,9%,1/11,28,195,169,55,53,39
eeiu,eeiu,100T,796,"['Sova', 'Fade']",2,411,1.15,200.5,1.17,77%,135.7,0.71,0.35,0.05,0.02,31%,16%,13/82,26,292,250,143,19,10
Khalil,Khalil,FUR,1711,"['Viper', 'Omen', 'Brimstone']",3,241,1.14,206.7,1.16,75%,138.1,0.77,0.31,0.07,0.06,32%,14%,4/28,31,186,160,74,18,15
s0m,s0m,NRG,4164,"['Clove', 'Omen', 'Brimstone', 'Viper']",4,215,1.12,224.7,1.13,78%,143.6,0.77,0.45,0.09,0.07,27%,19%,6/32,24,166,147,97,20,16
Derrek,Derrek,EG,1533,"['Fade', 'Sova', 'Gekko']",3,242,1.11,199.3,1.08,76%,135.3,0.74,0.34,0.06,0.03,37%,7%,3/41,23,179,166,82,15,8
TenZ,TenZ,SEN,9,"['Omen', 'Gekko']",2,217,1.1,204.2,1.08,74%,132.8,0.71,0.37,0.09,0.11,26%,7%,1/14,23,155,144,80,20,23
Ethan,Ethan,NRG,11225,"['Breach', 'Kayo', 'Yoru', 'Sage']",4,215,1.08,222.5,1.08,79%,136.2,0.76,0.43,0.12,0.06,22%,11%,3/27,25,164,152,92,25,13
JonahP,JonahP,G2,4581,"['Kayo', 'Viper', 'Breach', 'Skye']",4,388,1.08,205.7,1.07,71%,129.3,0.73,0.39,0.09,0.08,24%,23%,9/39,27,285,266,153,36,30
leaf,leaf,G2,7873,"['Killjoy', 'Viper']",2,388,1.07,219.1,1.06,69%,148.4,0.76,0.26,0.11,0.09,19%,22%,10/46,25,295,279,102,43,35
nzr,nzr,FUR,725,"['Sova', 'Breach', 'Gekko', 'Skye']",4,241,1.06,198.4,1.02,73%,140.3,0.69,0.31,0.03,0.04,27%,17%,7/41,24,167,164,75,8,9
supamen,supamen,EG,826,"['Omen', 'Clove']",2,242,1.06,214.6,1.08,73%,136.3,0.79,0.27,0.09,0.15,45%,21%,6/29,23,192,177,65,22,37
pANcada,pANcada,LOUD,683,"['Omen', 'Viper', 'Brimstone']",3,299,1.06,192.1,1.06,71%,128.9,0.69,0.34,0.07,0.08,37%,19%,9/48,28,207,195,102,21,23
tex,tex,LEV,1818,"['Killjoy', 'Gekko', 'Cypher']",3,479,1.05,204.6,1.17,74%,135.7,0.75,0.21,0.09,0.1,32%,16%,7/44,23,359,307,101,45,46
Cryocells,Cryocells,100T,4147,"['Jett', 'Brimstone', 'Astra', 'Omen', 'Iso']",5,411,1.04,223.8,1.13,71%,138.7,0.82,0.2,0.15,0.12,26%,21%,6/29,27,336,298,83,62,48
artzin,artzin,MIBR,5957,"['Yoru', 'Gekko', 'Killjoy', 'Viper', 'Cypher']",5,225,1.04,212.7,1.05,67%,141.7,0.76,0.25,0.12,0.09,27%,13%,3/23,24,171,163,56,27,20
valyn,valyn,G2,3885,"['Omen', 'Harbor', 'Brimstone', 'Astra']",4,388,1.04,202.4,1.01,79%,123.0,0.7,0.39,0.1,0.09,22%,24%,9/37,23,273,270,150,39,34
C0M,C0M,LEV,619,"['Sova', 'Fade']",2,479,1.04,180.0,1.04,79%,125.1,0.62,0.36,0.08,0.07,20%,16%,8/50,28,298,286,171,38,34
Shyy,Shyy,KRÜ,24007,"['Killjoy', 'Viper', 'Cypher']",3,492,1.04,202.1,1.06,69%,142.1,0.74,0.23,0.06,0.08,29%,18%,12/65,27,362,342,113,28,41
jawgemo,jawgemo,EG,3993,"['Iso', 'Neon', 'Raze', 'Sage', 'Jett']",5,242,1.03,243.4,1.01,71%,159.9,0.81,0.26,0.18,0.15,24%,10%,1/10,23,196,195,63,44,36
cauanzin,cauanzin,LOUD,6193,"['Fade', 'Breach', 'Kayo', 'Sova', 'Skye']",5,299,1.03,220.0,1.05,71%,144.2,0.77,0.26,0.12,0.09,29%,13%,2/16,24,229,219,79,37,28
Zellsis,Zellsis,SEN,729,"['Cypher', 'Breach', 'Viper', 'Brimstone']",4,217,1.03,179.8,1.1,75%,114.3,0.65,0.36,0.02,0.06,21%,15%,5/33,21,140,127,79,5,13
