agent_name,total_utilization,map_utilizations
Viper,64.0,"{'Lotus': 88.0, 'Ascent': 13.0, 'Sunset': 19.0, 'Bind': 86.0, 'Icebox': 100.0, 'Split': 80.0, 'Breeze': 100.0}"
Omen,60.0,"{'Lotus': 88.0, 'Ascent': 100.0, 'Sunset': 88.0, 'Bind': 14.0, 'Icebox': 8.0, 'Split': 80.0, 'Breeze': 0.0}"
Raze,58.0,"{'Lotus': 100.0, 'Ascent': 0.0, 'Sunset': 75.0, 'Bind': 100.0, 'Icebox': 8.0, 'Split': 100.0, 'Breeze': 0.0}"
Sova,52.0,"{'Lotus': 0.0, 'Ascent': 88.0, 'Sunset': 75.0, 'Bind': 29.0, 'Icebox': 83.0, 'Split': 0.0, 'Breeze': 100.0}"
Jett,47.0,"{'Lotus': 6.0, 'Ascent': 100.0, 'Sunset': 0.0, 'Bind': 21.0, 'Icebox': 92.0, 'Split': 40.0, 'Breeze': 100.0}"
Cypher,43.0,"{'Lotus': 0.0, 'Ascent': 44.0, 'Sunset': 81.0, 'Bind': 50.0, 'Icebox': 17.0, 'Split': 50.0, 'Breeze': 75.0}"
Killjoy,36.0,"{'Lotus': 88.0, 'Ascent': 44.0, 'Sunset': 6.0, 'Bind': 0.0, 'Icebox': 92.0, 'Split': 0.0, 'Breeze': 0.0}"
Skye,22.0,"{'Lotus': 0.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 79.0, 'Icebox': 0.0, 'Split': 90.0, 'Breeze': 0.0}"
Kayo,21.0,"{'Lotus': 0.0, 'Ascent': 50.0, 'Sunset': 13.0, 'Bind': 14.0, 'Icebox': 17.0, 'Split': 0.0, 'Breeze': 63.0}"
Breach,20.0,"{'Lotus': 13.0, 'Ascent': 19.0, 'Sunset': 63.0, 'Bind': 0.0, 'Icebox': 0.0, 'Split': 30.0, 'Breeze': 0.0}"
Fade,18.0,"{'Lotus': 75.0, 'Ascent': 13.0, 'Sunset': 19.0, 'Bind': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Breeze': 0.0}"
Brimstone,13.0,"{'Lotus': 0.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 86.0, 'Icebox': 0.0, 'Split': 0.0, 'Breeze': 0.0}"
Harbor,10.0,"{'Lotus': 0.0, 'Ascent': 0.0, 'Sunset': 13.0, 'Bind': 0.0, 'Icebox': 58.0, 'Split': 0.0, 'Breeze': 0.0}"
Yoru,9.0,"{'Lotus': 0.0, 'Ascent': 13.0, 'Sunset': 0.0, 'Bind': 14.0, 'Icebox': 0.0, 'Split': 10.0, 'Breeze': 38.0}"
Astra,7.0,"{'Lotus': 13.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Icebox': 0.0, 'Split': 20.0, 'Breeze': 25.0}"
Gekko,7.0,"{'Lotus': 13.0, 'Ascent': 0.0, 'Sunset': 6.0, 'Bind': 7.0, 'Icebox': 17.0, 'Split': 0.0, 'Breeze': 0.0}"
Phoenix,5.0,"{'Lotus': 0.0, 'Ascent': 13.0, 'Sunset': 19.0, 'Bind': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Breeze': 0.0}"
Chamber,4.0,"{'Lotus': 13.0, 'Ascent': 0.0, 'Sunset': 13.0, 'Bind': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Breeze': 0.0}"
Neon,3.0,"{'Lotus': 6.0, 'Ascent': 0.0, 'Sunset': 13.0, 'Bind': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Breeze': 0.0}"
Reyna,2.0,"{'Lotus': 0.0, 'Ascent': 6.0, 'Sunset': 0.0, 'Bind': 0.0, 'Icebox': 8.0, 'Split': 0.0, 'Breeze': 0.0}"
Iso,0.0,"{'Lotus': 0.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Breeze': 0.0}"
Sage,0.0,"{'Lotus': 0.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Breeze': 0.0}"
Deadlock,0.0,"{'Lotus': 0.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Breeze': 0.0}"
Clove,0.0,"{'Lotus': 0.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Breeze': 0.0}"
Tejo,0.0,"{'Lotus': 0.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Breeze': 0.0}"
Vyse,0.0,"{'Lotus': 0.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Breeze': 0.0}"
Waylay,0.0,"{'Lotus': 0.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Breeze': 0.0}"
