match_id,map_name,map_order,score,winner,duration,picked_by
298687,Ascent,1,13 - 4,Trace Esports,-,TYLOO
298687,Sunset,2,13 - 3,Trace Esports,-,Trace Esports
298688,Lotus,1,13 - 5,FunPlus Phoenix,-,FunPlus Phoenix
298688,Sunset,2,13 - 10,FunPlus Phoenix,-,Nova Esports
298692,Lotus,1,8 - 13,Titan Esports Club,-,JDG Esports
298692,Bind,2,14 - 16,Titan Esports Club,-,Titan Esports Club
298693,Sunset,1,13 - 11,Dragon Ranger Gaming,-,All Gamers
298693,Ascent,2,13 - 4,Dragon Ranger Gaming,-,Dragon Ranger Gaming
298697,Ascent,1,9 - 13,Wolves Esports,-,Bilibili Gaming
298697,Icebox,2,7 - 13,Wolves Esports,-,Wolves Esports
298690,Ascent,1,11 - 13,Nova Esports,-,TYLOO
298690,Split,2,11 - 13,Nova Esports,-,Nova Esports
298695,Icebox,1,13 - 11,JDG Esports,-,All Gamers
298695,Sunset,2,13 - 8,JDG Esports,-,JDG Esports
298689,Sunset,1,11 - 13,FunPlus Phoenix,-,FunPlus Phoenix
298689,Bind,2,13 - 11,Trace Esports,-,Trace Esports
298689,Lotus,3,10 - 13,FunPlus Phoenix,-,Decider
298694,Icebox,1,11 - 13,Dragon Ranger Gaming,-,Dragon Ranger Gaming
298694,Split,2,13 - 8,Titan Esports Club,-,Titan Esports Club
298694,Bind,3,10 - 13,Dragon Ranger Gaming,-,Decider
298698,Bind,1,10 - 13,EDward Gaming,-,EDward Gaming
298698,Ascent,2,13 - 10,Wolves Esports,-,Wolves Esports
298698,Breeze,3,11 - 13,EDward Gaming,-,Decider
298691,Split,1,13 - 5,Trace Esports,-,Nova Esports
298691,Lotus,2,13 - 4,Trace Esports,-,Trace Esports
298696,Bind,1,5 - 13,JDG Esports,-,JDG Esports
298696,Icebox,2,14 - 12,Titan Esports Club,-,Titan Esports Club
298696,Lotus,3,13 - 10,Titan Esports Club,-,Decider
298699,Sunset,1,9 - 13,Bilibili Gaming,-,Bilibili Gaming
298699,Icebox,2,10 - 13,Bilibili Gaming,-,Wolves Esports
298830,Breeze,1,16 - 18,Titan Esports Club,-,Titan Esports Club
298830,Lotus,2,13 - 6,Trace Esports,-,Trace Esports
298830,Split,3,13 - 8,Trace Esports,-,Decider
298831,Lotus,1,13 - 3,Bilibili Gaming,-,Titan Esports Club
298831,Ascent,2,13 - 8,Bilibili Gaming,-,Bilibili Gaming
298832,Lotus,1,13 - 11,Bilibili Gaming,-,Trace Esports
298832,Sunset,2,13 - 15,Trace Esports,-,Bilibili Gaming
298832,Bind,3,12 - 14,Trace Esports,-,Decider
298833,Ascent,1,13 - 10,FunPlus Phoenix,-,Dragon Ranger Gaming
298833,Breeze,2,13 - 6,FunPlus Phoenix,-,FunPlus Phoenix
298834,Sunset,1,14 - 12,EDward Gaming,-,Trace Esports
298834,Bind,2,13 - 6,EDward Gaming,-,EDward Gaming
298835,Breeze,1,12 - 14,EDward Gaming,-,FunPlus Phoenix
298835,Split,2,6 - 13,EDward Gaming,-,EDward Gaming
298835,Icebox,3,13 - 8,FunPlus Phoenix,-,FunPlus Phoenix
298835,Ascent,4,14 - 16,EDward Gaming,-,EDward Gaming
