match_id,match_title,event,date,format,teams,score,maps_played,patch,pick_ban_info
298687,Trace Esports vs TYLOO,Champions Tour 2024: China Kickoff,2024-02-22 04:00:00,Bo3,Trace Esports vs TYLOO,2 - 0,2,,TYL ban Lotus; TE ban Icebox; TYL pick Ascent; TE pick Sunset; TYL ban Breeze; TE ban Bind; Split remains
298688,FunPlus Phoenix vs Nova Esports,Champions Tour 2024: China Kickoff,2024-02-22 06:05:00,Bo3,FunPlus Phoenix vs Nova Esports,2 - 0,2,,NOVA ban Breeze; FPX ban Ascent; NOVA pick Sunset; FPX pick Lotus; NOVA ban Icebox; FPX ban Split; Bind remains
298692,JDG Esports vs Titan Esports Club,Champions Tour 2024: China Kickoff,2024-02-23 02:00:00,Bo3,JDG Esports vs Titan Esports Club,0 - 2,2,,JDG ban Breeze; TEC ban Sunset; JDG pick Lotus; TEC pick Bind; JDG ban Ascent; TEC ban Icebox; Split remains
298693,Dragon Ranger Gaming vs All Gamers,Champions Tour 2024: China Kickoff,2024-02-23 04:55:00,Bo3,Dragon Ranger Gaming vs All Gamers,2 - 0,2,,AG ban Lotus; DRG ban Breeze; AG pick Sunset; DRG pick Ascent; AG ban Bind; DRG ban Split; Icebox remains
298697,Bilibili Gaming vs Wolves Esports,Champions Tour 2024: China Kickoff,2024-02-23 07:05:00,Bo3,Bilibili Gaming vs Wolves Esports,0 - 2,2,,BLG ban Breeze; WOL ban Lotus; BLG pick Ascent; WOL pick Icebox; BLG ban Bind; WOL ban Sunset; Split remains
298690,TYLOO vs Nova Esports,Champions Tour 2024: China Kickoff,2024-02-24 04:00:00,Bo3,TYLOO vs Nova Esports,0 - 2,2,,TYL ban Sunset; NOVA ban Breeze; TYL pick Ascent; NOVA pick Split; TYL ban Lotus; NOVA ban Icebox; Bind remains
298695,JDG Esports vs All Gamers,Champions Tour 2024: China Kickoff,2024-02-24 06:25:00,Bo3,JDG Esports vs All Gamers,2 - 0,2,,AG ban Lotus; JDG ban Breeze; AG pick Icebox; JDG pick Sunset; AG ban Ascent; JDG ban Bind; Split remains
298689,Trace Esports vs FunPlus Phoenix,Champions Tour 2024: China Kickoff,2024-02-25 02:00:00,Bo3,Trace Esports vs FunPlus Phoenix,1 - 2,3,,FPX ban Ascent; TE ban Icebox; FPX pick Sunset; TE pick Bind; FPX ban Split; TE ban Breeze; Lotus remains
298694,Titan Esports Club vs Dragon Ranger Gaming,Champions Tour 2024: China Kickoff,2024-02-25 05:30:00,Bo3,Titan Esports Club vs Dragon Ranger Gaming,1 - 2,3,,DRG ban Lotus; TEC ban Ascent; DRG pick Icebox; TEC pick Split; DRG ban Breeze; TEC ban Sunset; Bind remains
298698,Wolves Esports vs EDward Gaming,Champions Tour 2024: China Kickoff,2024-02-25 09:00:00,Bo3,Wolves Esports vs EDward Gaming,1 - 2,3,,EDG ban Icebox; WOL ban Sunset; EDG pick Bind; WOL pick Ascent; EDG ban Lotus; WOL ban Split; Breeze remains
298691,Trace Esports vs Nova Esports,Champions Tour 2024: China Kickoff,2024-02-26 02:00:00,Bo3,Trace Esports vs Nova Esports,2 - 0,2,,NOVA ban Breeze; TE ban Icebox; NOVA pick Split; TE pick Lotus; NOVA ban Bind; TE ban Ascent; Sunset remains
