match_id,event_name,event_stage,match_date,team1,team2,score_overall,player_name,player_id,player_team,stat_type,agent,rating,acs,k,d,a,kd_diff,kast,adr,hs_percent,fk,fd,fk_fd_diff,map_name,map_winner
298687,Champions Tour 2024: China Kickoff,"Group Stage: 
						Opening (A)",2024-02-22 04:00:00,Trace Esports,TYLOO,2 - 0,Flex1n,4705,Trace Esports,overall,Omen,N/A,274,34,19,15,+15,N/A,N/A,N/A,N/A,N/A,N/A,,
298687,Champions Tour 2024: China Kickoff,"Group Stage: 
						Opening (A)",2024-02-22 04:00:00,Trace Esports,TYLOO,2 - 0,FengF,4770,Trace Esports,overall,"Sova, Raze",N/A,271,30,18,12,+12,N/A,N/A,N/A,N/A,N/A,N/A,,
298687,Champions Tour 2024: China Kickoff,"Group Stage: 
						Opening (A)",2024-02-22 04:00:00,Trace Esports,TYLOO,2 - 0,heybay,4712,Trace Esports,overall,"Kayo, Breach",N/A,228,27,24,21,+3,N/A,N/A,N/A,N/A,N/A,N/A,,
298687,Champions Tour 2024: China Kickoff,"Group Stage: 
						Opening (A)",2024-02-22 04:00:00,Trace Esports,TYLOO,2 - 0,YOU,4710,Trace Esports,overall,"Killjoy, Sova",N/A,216,26,19,7,+7,N/A,N/A,N/A,N/A,N/A,N/A,,
298687,Champions Tour 2024: China Kickoff,"Group Stage: 
						Opening (A)",2024-02-22 04:00:00,Trace Esports,TYLOO,2 - 0,Kai,37494,Trace Esports,overall,"Jett, Cypher",N/A,210,27,23,7,+4,N/A,N/A,N/A,N/A,N/A,N/A,,
298687,Champions Tour 2024: China Kickoff,"Group Stage: 
						Opening (A)",2024-02-22 04:00:00,Trace Esports,TYLOO,2 - 0,Ninebody,3547,TYLOO,overall,"Phoenix, Raze",N/A,209,21,29,16,-8,N/A,N/A,N/A,N/A,N/A,N/A,,
298687,Champions Tour 2024: China Kickoff,"Group Stage: 
						Opening (A)",2024-02-22 04:00:00,Trace Esports,TYLOO,2 - 0,LuoK1ng,3045,TYLOO,overall,Omen,N/A,203,23,28,5,-5,N/A,N/A,N/A,N/A,N/A,N/A,,
298687,Champions Tour 2024: China Kickoff,"Group Stage: 
						Opening (A)",2024-02-22 04:00:00,Trace Esports,TYLOO,2 - 0,ICEKING,4771,TYLOO,overall,"Cypher, Kayo",N/A,183,19,29,11,-10,N/A,N/A,N/A,N/A,N/A,N/A,,
298687,Champions Tour 2024: China Kickoff,"Group Stage: 
						Opening (A)",2024-02-22 04:00:00,Trace Esports,TYLOO,2 - 0,zjc,7135,TYLOO,overall,"Sova, Gekko",N/A,181,22,29,5,-7,N/A,N/A,N/A,N/A,N/A,N/A,,
298687,Champions Tour 2024: China Kickoff,"Group Stage: 
						Opening (A)",2024-02-22 04:00:00,Trace Esports,TYLOO,2 - 0,AAK,4773,TYLOO,overall,"Jett, Cypher",N/A,144,17,29,8,-12,N/A,N/A,N/A,N/A,N/A,N/A,,
298687,Champions Tour 2024: China Kickoff,"Group Stage: 
						Opening (A)",2024-02-22 04:00:00,Trace Esports,TYLOO,2 - 0,heybay,4712,Trace Esports,map,Kayo,N/A,308,17,15,12,+2,N/A,N/A,N/A,N/A,N/A,N/A,Ascent,Trace Esports
298687,Champions Tour 2024: China Kickoff,"Group Stage: 
						Opening (A)",2024-02-22 04:00:00,Trace Esports,TYLOO,2 - 0,YOU,4710,Trace Esports,map,Killjoy,N/A,251,14,11,4,+3,N/A,N/A,N/A,N/A,N/A,N/A,Ascent,Trace Esports
298687,Champions Tour 2024: China Kickoff,"Group Stage: 
						Opening (A)",2024-02-22 04:00:00,Trace Esports,TYLOO,2 - 0,Flex1n,4705,Trace Esports,map,Omen,N/A,242,16,10,9,+6,N/A,N/A,N/A,N/A,N/A,N/A,Ascent,Trace Esports
298687,Champions Tour 2024: China Kickoff,"Group Stage: 
						Opening (A)",2024-02-22 04:00:00,Trace Esports,TYLOO,2 - 0,Kai,37494,Trace Esports,map,Jett,N/A,193,14,12,2,+2,N/A,N/A,N/A,N/A,N/A,N/A,Ascent,Trace Esports
298687,Champions Tour 2024: China Kickoff,"Group Stage: 
						Opening (A)",2024-02-22 04:00:00,Trace Esports,TYLOO,2 - 0,FengF,4770,Trace Esports,map,Sova,N/A,168,9,9,6,0,N/A,N/A,N/A,N/A,N/A,N/A,Ascent,Trace Esports
298687,Champions Tour 2024: China Kickoff,"Group Stage: 
						Opening (A)",2024-02-22 04:00:00,Trace Esports,TYLOO,2 - 0,LuoK1ng,3045,TYLOO,map,Omen,N/A,226,14,13,2,+1,N/A,N/A,N/A,N/A,N/A,N/A,Ascent,Trace Esports
298687,Champions Tour 2024: China Kickoff,"Group Stage: 
						Opening (A)",2024-02-22 04:00:00,Trace Esports,TYLOO,2 - 0,AAK,4773,TYLOO,map,Jett,N/A,209,13,14,4,-1,N/A,N/A,N/A,N/A,N/A,N/A,Ascent,Trace Esports
298687,Champions Tour 2024: China Kickoff,"Group Stage: 
						Opening (A)",2024-02-22 04:00:00,Trace Esports,TYLOO,2 - 0,ICEKING,4771,TYLOO,map,Cypher,N/A,187,10,15,4,-5,N/A,N/A,N/A,N/A,N/A,N/A,Ascent,Trace Esports
298687,Champions Tour 2024: China Kickoff,"Group Stage: 
						Opening (A)",2024-02-22 04:00:00,Trace Esports,TYLOO,2 - 0,Ninebody,3547,TYLOO,map,Phoenix,N/A,178,9,14,11,-5,N/A,N/A,N/A,N/A,N/A,N/A,Ascent,Trace Esports
298687,Champions Tour 2024: China Kickoff,"Group Stage: 
						Opening (A)",2024-02-22 04:00:00,Trace Esports,TYLOO,2 - 0,zjc,7135,TYLOO,map,Sova,N/A,171,10,14,5,-4,N/A,N/A,N/A,N/A,N/A,N/A,Ascent,Trace Esports
298687,Champions Tour 2024: China Kickoff,"Group Stage: 
						Opening (A)",2024-02-22 04:00:00,Trace Esports,TYLOO,2 - 0,FengF,4770,Trace Esports,map,Raze,N/A,373,21,9,6,+12,N/A,N/A,N/A,N/A,N/A,N/A,Sunset,Trace Esports
298687,Champions Tour 2024: China Kickoff,"Group Stage: 
						Opening (A)",2024-02-22 04:00:00,Trace Esports,TYLOO,2 - 0,Flex1n,4705,Trace Esports,map,Omen,N/A,306,18,9,6,+9,N/A,N/A,N/A,N/A,N/A,N/A,Sunset,Trace Esports
298687,Champions Tour 2024: China Kickoff,"Group Stage: 
						Opening (A)",2024-02-22 04:00:00,Trace Esports,TYLOO,2 - 0,Kai,37494,Trace Esports,map,Cypher,N/A,227,13,11,5,+2,N/A,N/A,N/A,N/A,N/A,N/A,Sunset,Trace Esports
