date,match_id,time,team1,score1,team2,score2,score,winner,status,week,stage
"Thu, February 22, 2024",298687,2:30 PM,Trace Esports,2,TYLOO,0,2-0,Trace Esports,Completed,Opening (A),Group Stage
"Thu, February 22, 2024",298688,4:35 PM,FunPlus Phoenix,2,Nova Esports,0,2-0,FunPlus Phoenix,Completed,Opening (A),Group Stage
"Fri, February 23, 2024",298692,12:30 PM,JDG Esports,0,Titan Esports Club,2,0-2,Titan Esports Club,Completed,Opening (B),Group Stage
"Fri, February 23, 2024",298693,3:25 PM,Dragon Ranger Gaming,2,All Gamers,0,2-0,Dragon Ranger Gaming,Completed,Opening (B),Group Stage
"Fri, February 23, 2024",298697,5:35 PM,Bilibili Gaming,0,Wolves Esports,2,0-2,Wolves Esports,Completed,Opening (C),Group Stage
"Sat, February 24, 2024",298690,2:30 PM,TYLOO,0,Nova Esports,2,0-2,Nova Esports,Completed,Elimination (A),Group Stage
"Sat, February 24, 2024",298695,4:55 PM,JDG Esports,2,All Gamers,0,2-0,JDG Esports,Completed,Elimination (B),Group Stage
"Sun, February 25, 2024",298689,12:30 PM,Trace Esports,1,FunPlus Phoenix,2,1-2,FunPlus Phoenix,Completed,Winner's (A),Group Stage
"Sun, February 25, 2024",298694,4:00 PM,Titan Esports Club,1,Dragon Ranger Gaming,2,1-2,Dragon Ranger Gaming,Completed,Winner's (B),Group Stage
"Sun, February 25, 2024",298698,7:30 PM,Wolves Esports,1,EDward Gaming,2,1-2,EDward Gaming,Completed,Winner's (C),Group Stage
"Mon, February 26, 2024",298691,12:30 PM,Trace Esports,2,Nova Esports,0,2-0,Trace Esports,Completed,Decider (A),Group Stage
"Mon, February 26, 2024",298696,2:35 PM,Titan Esports Club,2,JDG Esports,1,2-1,Titan Esports Club,Completed,Decider (B),Group Stage
"Mon, February 26, 2024",298699,6:10 PM,Wolves Esports,0,Bilibili Gaming,2,0-2,Bilibili Gaming,Completed,Decider (C),Group Stage
"Tue, February 27, 2024",298830,12:30 PM,Trace Esports,2,Titan Esports Club,1,2-1,Trace Esports,Completed,Round-Robin,Play-Ins
"Tue, February 27, 2024",298831,4:05 PM,Bilibili Gaming,2,Titan Esports Club,0,2-0,Bilibili Gaming,Completed,Round-Robin,Play-Ins
"Tue, February 27, 2024",298832,6:05 PM,Bilibili Gaming,1,Trace Esports,2,1-2,Trace Esports,Completed,Round-Robin,Play-Ins
"Fri, March 1, 2024",298833,2:30 PM,FunPlus Phoenix,2,Dragon Ranger Gaming,0,2-0,FunPlus Phoenix,Completed,Semifinals,Playoffs
"Fri, March 1, 2024",298834,4:45 PM,EDward Gaming,2,Trace Esports,0,2-0,EDward Gaming,Completed,Semifinals,Playoffs
"Sat, March 2, 2024",298835,2:30 PM,FunPlus Phoenix,1,EDward Gaming,3,1-3,EDward Gaming,Completed,Grand Final,Playoffs
