player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
FengF,FengF,TE,4770,"['Sova', 'Raze', 'Cypher']",3,336,,253.2,1.18,,,0.84,0.29,,,,0%,,40,283,240,98,0,0
Biank,Biank,BLG,3021,"['Sova', 'Fade', 'Skye']",3,202,,191.4,0.88,,,0.62,0.3,,,,0%,,19,126,143,61,0,0
Nicc,Nicc,DRG,11524,"['Breach', 'Kayo', 'Gekko', 'Skye']",4,151,,195.9,1.04,,,0.71,0.44,,,,0%,,21,107,103,67,0,0
TvirusLuke,TvirusLuke,DRG,7841,"['Neon', 'Jett', 'Raze']",3,151,,205.9,0.79,,,0.66,0.2,,,,0%,,21,99,126,30,0,0
vo0kashu,vo0kashu,DRG,3741,"['Cypher', 'Killjoy']",2,151,,248.9,1.18,,,0.87,0.28,,,,0%,,27,132,112,42,0,0
Dingwei,Dingwei,DRG,42513,"['Sova', 'Skye', 'Viper']",3,151,,160.1,0.77,,,0.54,0.3,,,,0%,,18,82,107,45,0,0
nizhaoTZH,nizhaoTZH,DRG,4880,"['Omen', 'Viper', 'Brimstone']",3,151,,192.1,1.06,,,0.72,0.38,,,,0%,,22,108,102,57,0,0
sword9,sword9,AG,3049,"['Sova', 'Kayo']",2,86,,161.0,0.75,,,0.53,0.31,,,,0%,,13,46,61,27,0,0
bunt,bunt,AG,25949,"['Omen', 'Viper']",2,86,,240.5,1.17,,,0.87,0.34,,,,0%,,28,75,64,29,0,0
monk,monk,AG,14431,"['Breach', 'Killjoy', 'Harbor']",3,86,,189.3,0.83,,,0.66,0.19,,,,0%,,18,57,69,16,0,0
deLb,deLb,AG,10821,"['Raze', 'Reyna']",2,86,,188.5,0.83,,,0.64,0.17,,,,0%,,19,55,66,15,0,0
Spitfires,Spitfires,AG,4881,"['Cypher', 'Jett', 'Killjoy']",3,86,,176.5,0.84,,,0.66,0.16,,,,0%,,21,57,68,14,0,0
whzy,whzy,BLG,4885,"['Jett', 'Raze']",2,202,,244.8,1.15,,,0.85,0.19,,,,0%,,25,172,149,38,0,0
Knight,Knight,BLG,4774,"['Kayo', 'Killjoy', 'Breach', 'Cypher']",4,202,,223.2,1.15,,,0.78,0.36,,,,0%,,24,157,136,72,0,0
Abo,Abo,TEC,5011,"['Raze', 'Jett']",2,297,,197.2,0.92,,,0.69,0.15,,,,0%,,28,206,225,45,0,0
yosemite,yosemite,BLG,6022,"['Killjoy', 'Viper', 'Cypher']",3,202,,222.3,1.2,,,0.77,0.3,,,,0%,,28,156,130,60,0,0
B3ar,B3ar,BLG,25329,"['Omen', 'Harbor', 'Brimstone']",3,202,,132.4,0.74,,,0.47,0.44,,,,0%,,14,95,129,88,0,0
pl1xx,pl1xx,WOL,871,"['Kayo', 'Viper', 'Yoru', 'Phoenix']",4,157,,216.0,1.04,,,0.75,0.35,,,,0%,,21,117,112,55,0,0
Spring,Spring,WOL,14125,"['Jett', 'Omen', 'Raze']",3,157,,201.0,1.05,,,0.71,0.21,,,,0%,,26,111,106,33,0,0
balua,balua,WOL,14441,"['Omen', 'Killjoy', 'Skye', 'Viper']",4,157,,189.1,0.99,,,0.66,0.38,,,,0%,,17,103,104,60,0,0
coldfish,coldfish,WOL,3020,"['Sova', 'Viper']",2,157,,183.4,1.12,,,0.69,0.22,,,,0%,,21,109,97,34,0,0
Yuicaw,Yuicaw,WOL,11218,"['Cypher', 'Raze']",2,157,,211.0,1.01,,,0.72,0.3,,,,0%,,19,113,112,47,0,0
Haodong,Haodong,EDG,4720,"['Cypher', 'Omen', 'Viper']",3,211,,151.7,0.79,,,0.53,0.35,,,,0%,,20,111,140,74,0,0
