match_id,map_name,map_order,score,winner,duration,picked_by
319765,Bind,1,3 - 13,TYLOO,-,TYLOO
319765,Icebox,2,13 - 6,Bilibili Gaming,-,Bilibili Gaming
319765,Lotus,3,13 - 6,Bilibili Gaming,-,Decider
319766,Split,1,13 - 5,Wolves Esports,-,Titan Esports Club
319766,Bind,2,12 - 14,Titan Esports Club,-,Wolves Esports
319766,Lotus,3,10 - 13,Titan Esports Club,-,Decider
319767,Icebox,1,13 - 11,Dragon Ranger Gaming,-,All Gamers
319767,Sunset,2,11 - 13,All Gamers,-,Dragon Ranger Gaming
319767,Breeze,3,8 - 13,All Gamers,-,Decider
319768,Ascent,1,13 - 5,EDward Gaming,-,JDG Esports
319768,Bind,2,9 - 13,JDG Esports,-,EDward Gaming
319768,Split,3,13 - 11,EDward Gaming,-,Decider
319769,Lotus,1,5 - 13,Trace Esports,-,Trace Esports
319769,Ascent,2,9 - 13,Trace Esports,-,Nova Esports
319770,Ascent,1,13 - 8,FunPlus Phoenix,-,Wolves Esports
319770,Lotus,2,13 - 7,FunPlus Phoenix,-,FunPlus Phoenix
319771,Sunset,1,13 - 8,JDG Esports,-,Nova Esports
319771,Bind,2,9 - 13,Nova Esports,-,JDG Esports
319771,Ascent,3,4 - 13,Nova Esports,-,Decider
319772,Breeze,1,13 - 11,FunPlus Phoenix,-,FunPlus Phoenix
319772,Icebox,2,9 - 13,Dragon Ranger Gaming,-,Dragon Ranger Gaming
319772,Sunset,3,13 - 3,FunPlus Phoenix,-,Decider
319773,Breeze,1,9 - 13,Wolves Esports,-,All Gamers
319773,Icebox,2,12 - 14,Wolves Esports,-,Wolves Esports
319774,Split,1,11 - 13,Bilibili Gaming,-,Trace Esports
319774,Breeze,2,13 - 7,Trace Esports,-,Bilibili Gaming
319774,Bind,3,13 - 7,Trace Esports,-,Decider
319775,Breeze,1,4 - 13,Titan Esports Club,-,Titan Esports Club
319775,Split,2,13 - 7,Dragon Ranger Gaming,-,Dragon Ranger Gaming
319775,Icebox,3,13 - 5,Dragon Ranger Gaming,-,Decider
319776,Sunset,1,5 - 13,EDward Gaming,-,EDward Gaming
319776,Bind,2,10 - 13,EDward Gaming,-,TYLOO
319777,Ascent,1,9 - 13,Trace Esports,-,Wolves Esports
319777,Lotus,2,9 - 13,Trace Esports,-,Trace Esports
319778,Ascent,1,6 - 13,FunPlus Phoenix,-,Nova Esports
319778,Lotus,2,4 - 13,FunPlus Phoenix,-,FunPlus Phoenix
319779,Lotus,1,11 - 13,All Gamers,-,Bilibili Gaming
319779,Bind,2,7 - 13,All Gamers,-,All Gamers
319780,Breeze,1,13 - 7,Dragon Ranger Gaming,-,JDG Esports
319780,Icebox,2,5 - 13,JDG Esports,-,Dragon Ranger Gaming
319780,Bind,3,14 - 12,Dragon Ranger Gaming,-,Decider
319781,Icebox,1,10 - 13,Nova Esports,-,TYLOO
319781,Ascent,2,14 - 12,TYLOO,-,Nova Esports
319781,Split,3,13 - 9,TYLOO,-,Decider
319782,Ascent,1,13 - 5,EDward Gaming,-,EDward Gaming
319782,Sunset,2,13 - 5,EDward Gaming,-,Titan Esports Club
319783,Sunset,1,13 - 11,Titan Esports Club,-,Bilibili Gaming
319783,Bind,2,8 - 13,Bilibili Gaming,-,Titan Esports Club
319783,Icebox,3,13 - 6,Titan Esports Club,-,Decider
319784,Breeze,1,7 - 13,Dragon Ranger Gaming,-,Dragon Ranger Gaming
319784,Sunset,2,10 - 13,Dragon Ranger Gaming,-,Trace Esports
319785,Sunset,1,11 - 13,Wolves Esports,-,Wolves Esports
319785,Split,2,13 - 7,TYLOO,-,TYLOO
319785,Ascent,3,10 - 13,Wolves Esports,-,Decider
319786,Breeze,1,4 - 13,EDward Gaming,-,FunPlus Phoenix
319786,Bind,2,13 - 11,FunPlus Phoenix,-,EDward Gaming
319786,Ascent,3,13 - 4,FunPlus Phoenix,-,Decider
319787,Lotus,1,16 - 14,All Gamers,-,All Gamers
319787,Bind,2,10 - 13,Nova Esports,-,Nova Esports
319787,Split,3,13 - 7,All Gamers,-,Decider
319788,Icebox,1,13 - 8,Bilibili Gaming,-,JDG Esports
319788,Lotus,2,13 - 10,Bilibili Gaming,-,Bilibili Gaming
319789,Sunset,1,13 - 6,EDward Gaming,-,All Gamers
319789,Icebox,2,13 - 5,EDward Gaming,-,EDward Gaming
319790,Lotus,1,8 - 13,JDG Esports,-,JDG Esports
319790,Ascent,2,1 - 13,JDG Esports,-,Wolves Esports
319791,Bind,1,10 - 13,TYLOO,-,TYLOO
319791,Breeze,2,8 - 13,TYLOO,-,Dragon Ranger Gaming
319792,Icebox,1,2 - 13,FunPlus Phoenix,-,Bilibili Gaming
319792,Lotus,2,6 - 13,FunPlus Phoenix,-,FunPlus Phoenix
319793,Split,1,13 - 6,Nova Esports,-,Nova Esports
319793,Lotus,2,13 - 6,Nova Esports,-,Titan Esports Club
319794,Sunset,1,13 - 15,EDward Gaming,-,Trace Esports
319794,Breeze,2,12 - 14,EDward Gaming,-,EDward Gaming
342356,Sunset,1,13 - 9,Trace Esports,-,Trace Esports
342356,Breeze,2,13 - 7,Trace Esports,-,All Gamers
342357,Bind,1,13 - 8,Dragon Ranger Gaming,-,Nova Esports
342357,Ascent,2,13 - 7,Dragon Ranger Gaming,-,Dragon Ranger Gaming
342358,Bind,1,13 - 10,FunPlus Phoenix,-,Trace Esports
342358,Lotus,2,13 - 8,FunPlus Phoenix,-,FunPlus Phoenix
342359,Ascent,1,13 - 3,EDward Gaming,-,Dragon Ranger Gaming
342359,Split,2,13 - 9,EDward Gaming,-,EDward Gaming
342360,Icebox,1,13 - 10,FunPlus Phoenix,-,FunPlus Phoenix
342360,Breeze,2,14 - 12,FunPlus Phoenix,-,EDward Gaming
342361,Sunset,1,13 - 6,Trace Esports,-,Trace Esports
342361,Split,2,8 - 13,Dragon Ranger Gaming,-,Dragon Ranger Gaming
342361,Bind,3,7 - 13,Dragon Ranger Gaming,-,Decider
342362,Breeze,1,13 - 10,EDward Gaming,-,EDward Gaming
342362,Split,2,13 - 3,EDward Gaming,-,Dragon Ranger Gaming
342362,Ascent,3,2 - 13,Dragon Ranger Gaming,-,EDward Gaming
342362,Bind,4,13 - 6,EDward Gaming,-,Dragon Ranger Gaming
342363,Lotus,1,13 - 6,FunPlus Phoenix,-,FunPlus Phoenix
342363,Bind,2,9 - 13,EDward Gaming,-,EDward Gaming
342363,Icebox,3,12 - 14,EDward Gaming,-,FunPlus Phoenix
342363,Breeze,4,8 - 13,EDward Gaming,-,EDward Gaming
