match_id,match_title,event,date,format,teams,score,maps_played,patch,pick_ban_info
319765,Bilibili Gaming vs TYLOO,Champions Tour 2024: China Stage 1,2024-04-05 05:00:00,Bo3,Bilibili Gaming vs TYLOO,2 - 1,3,,TYL ban Sunset; BLG ban Ascent; TYL pick Bind; BLG pick Icebox; TYL ban Breeze; BLG ban Split; Lotus remains
319766,Wolves Esports vs Titan Esports Club,Champions Tour 2024: China Stage 1,2024-04-05 08:10:00,Bo3,Wolves Esports vs Titan Esports Club,1 - 2,3,,TEC ban Ascent; WOL ban Sunset; TEC pick Split; WOL pick Bind; TEC ban Icebox; WOL ban Breeze; Lotus remains
319767,Dragon Ranger Gaming vs All Gamers,Champions Tour 2024: China Stage 1,2024-04-06 05:00:00,Bo3,Dragon Ranger Gaming vs All Gamers,1 - 2,3,,AG ban Ascent; DRG ban Lotus; AG pick Icebox; DRG pick Sunset; AG ban Bind; DRG ban Split; Breeze remains
319768,EDward Gaming vs JDG Esports,Champions Tour 2024: China Stage 1,2024-04-06 08:45:00,Bo3,EDward Gaming vs JDG Esports,2 - 1,3,,JDG ban Breeze; EDG ban Lotus; JDG pick Ascent; EDG pick Bind; JDG ban Sunset; EDG ban Icebox; Split remains
319769,Nova Esports vs Trace Esports,Champions Tour 2024: China Stage 1,2024-04-07 05:00:00,Bo3,Nova Esports vs Trace Esports,0 - 2,2,,TE ban Icebox; NOVA ban Breeze; TE pick Lotus; NOVA pick Ascent; TE ban Bind; NOVA ban Split; Sunset remains
319770,FunPlus Phoenix vs Wolves Esports,Champions Tour 2024: China Stage 1,2024-04-07 07:15:00,Bo3,FunPlus Phoenix vs Wolves Esports,2 - 0,2,,WOL ban Sunset; FPX ban Split; WOL pick Ascent; FPX pick Lotus; WOL ban Breeze; FPX ban Bind; Icebox remains
319771,JDG Esports vs Nova Esports,Champions Tour 2024: China Stage 1,2024-04-12 05:00:00,Bo3,JDG Esports vs Nova Esports,1 - 2,3,,NOVA ban Icebox; JDG ban Breeze; NOVA pick Sunset; JDG pick Bind; NOVA ban Lotus; JDG ban Split; Ascent remains
319772,FunPlus Phoenix vs Dragon Ranger Gaming,Champions Tour 2024: China Stage 1,2024-04-12 08:15:00,Bo3,FunPlus Phoenix vs Dragon Ranger Gaming,2 - 1,3,,FPX ban Split; DRG ban Lotus; FPX pick Breeze; DRG pick Icebox; FPX ban Bind; DRG ban Ascent; Sunset remains
319773,All Gamers vs Wolves Esports,Champions Tour 2024: China Stage 1,2024-04-13 05:00:00,Bo3,All Gamers vs Wolves Esports,0 - 2,2,,AG ban Ascent; WOL ban Sunset; AG pick Breeze; WOL pick Icebox; AG ban Lotus; WOL ban Bind; Split remains
319774,Trace Esports vs Bilibili Gaming,Champions Tour 2024: China Stage 1,2024-04-13 07:45:00,Bo3,Trace Esports vs Bilibili Gaming,2 - 1,3,,TE ban Icebox; BLG ban Ascent; TE pick Split; BLG pick Breeze; TE ban Lotus; BLG ban Sunset; Bind remains
319775,Dragon Ranger Gaming vs Titan Esports Club,Champions Tour 2024: China Stage 1,2024-04-14 05:00:00,Bo3,Dragon Ranger Gaming vs Titan Esports Club,2 - 1,3,,TEC ban Ascent; DRG ban Lotus; TEC pick Breeze; DRG pick Split; TEC ban Bind; DRG ban Sunset; Icebox remains
