date,match_id,time,team1,score1,team2,score2,score,winner,status,week,stage
"Fri, April 5, 2024",319765,2:30 PM,Bilibili Gaming,2,TYLOO,1,2-1,Bilibili Gaming,Completed,Week 1,Regular Season
"Fri, April 5, 2024",319766,5:40 PM,Wolves Esports,1,Titan Esports Club,2,1-2,Titan Esports Club,Completed,Week 1,Regular Season
"Sat, April 6, 2024",319767,2:30 PM,Dragon Ranger Gaming,1,All Gamers,2,1-2,All Gamers,Completed,Week 1,Regular Season
"Sat, April 6, 2024",319768,6:15 PM,EDward Gaming,2,JDG Esports,1,2-1,EDward Gaming,Completed,Week 1,Regular Season
"Sun, April 7, 2024",319769,2:30 PM,Nova Esports,0,Trace Esports,2,0-2,Trace Esports,Completed,Week 1,Regular Season
"Sun, April 7, 2024",319770,4:45 PM,FunPlus Phoenix,2,Wolves Esports,0,2-0,FunPlus Phoenix,Completed,Week 1,Regular Season
"Fri, April 12, 2024",319771,2:30 PM,JDG Esports,1,Nova Esports,2,1-2,Nova Esports,Completed,Week 2,Regular Season
"Fri, April 12, 2024",319772,5:45 PM,FunPlus Phoenix,2,Dragon Ranger Gaming,1,2-1,FunPlus Phoenix,Completed,Week 2,Regular Season
"Sat, April 13, 2024",319773,2:30 PM,All Gamers,0,Wolves Esports,2,0-2,Wolves Esports,Completed,Week 2,Regular Season
"Sat, April 13, 2024",319774,5:15 PM,Trace Esports,2,Bilibili Gaming,1,2-1,Trace Esports,Completed,Week 2,Regular Season
"Sun, April 14, 2024",319775,2:30 PM,Dragon Ranger Gaming,2,Titan Esports Club,1,2-1,Dragon Ranger Gaming,Completed,Week 2,Regular Season
"Sun, April 14, 2024",319776,5:20 PM,TYLOO,0,EDward Gaming,2,0-2,EDward Gaming,Completed,Week 2,Regular Season
"Fri, April 19, 2024",319777,2:30 PM,Wolves Esports,0,Trace Esports,2,0-2,Trace Esports,Completed,Week 3,Regular Season
"Fri, April 19, 2024",319778,4:55 PM,Nova Esports,0,FunPlus Phoenix,2,0-2,FunPlus Phoenix,Completed,Week 3,Regular Season
"Sat, April 20, 2024",319779,2:30 PM,Bilibili Gaming,0,All Gamers,2,0-2,All Gamers,Completed,Week 3,Regular Season
"Sat, April 20, 2024",319780,5:10 PM,Dragon Ranger Gaming,2,JDG Esports,1,2-1,Dragon Ranger Gaming,Completed,Week 3,Regular Season
"Sun, April 21, 2024",319781,2:30 PM,TYLOO,2,Nova Esports,1,2-1,TYLOO,Completed,Week 3,Regular Season
"Sun, April 21, 2024",319782,6:30 PM,EDward Gaming,2,Titan Esports Club,0,2-0,EDward Gaming,Completed,Week 3,Regular Season
"Fri, April 26, 2024",319783,2:30 PM,Titan Esports Club,2,Bilibili Gaming,1,2-1,Titan Esports Club,Completed,Week 4,Regular Season
"Fri, April 26, 2024",319784,5:35 PM,Trace Esports,0,Dragon Ranger Gaming,2,0-2,Dragon Ranger Gaming,Completed,Week 4,Regular Season
"Sat, April 27, 2024",319785,2:30 PM,TYLOO,1,Wolves Esports,2,1-2,Wolves Esports,Completed,Week 4,Regular Season
"Sat, April 27, 2024",319786,6:00 PM,FunPlus Phoenix,2,EDward Gaming,1,2-1,FunPlus Phoenix,Completed,Week 4,Regular Season
"Sun, April 28, 2024",319787,2:30 PM,All Gamers,2,Nova Esports,1,2-1,All Gamers,Completed,Week 4,Regular Season
"Sun, April 28, 2024",319788,6:10 PM,Bilibili Gaming,2,JDG Esports,0,2-0,Bilibili Gaming,Completed,Week 4,Regular Season
"Thu, May 2, 2024",319789,4:30 PM,EDward Gaming,2,All Gamers,0,2-0,EDward Gaming,Completed,Week 5,Regular Season
"Fri, May 3, 2024",319790,4:30 PM,Wolves Esports,0,JDG Esports,2,0-2,JDG Esports,Completed,Week 5,Regular Season
"Sat, May 4, 2024",319791,2:30 PM,Dragon Ranger Gaming,0,TYLOO,2,0-2,TYLOO,Completed,Week 5,Regular Season
"Sat, May 4, 2024",319792,5:00 PM,Bilibili Gaming,0,FunPlus Phoenix,2,0-2,FunPlus Phoenix,Completed,Week 5,Regular Season
"Sun, May 5, 2024",319793,2:30 PM,Nova Esports,2,Titan Esports Club,0,2-0,Nova Esports,Completed,Week 5,Regular Season
"Sun, May 5, 2024",319794,4:35 PM,Trace Esports,0,EDward Gaming,2,0-2,EDward Gaming,Completed,Week 5,Regular Season
"Wed, May 8, 2024",342356,2:30 PM,Trace Esports,2,All Gamers,0,2-0,Trace Esports,Completed,Knockout Round,Playoffs
"Wed, May 8, 2024",342357,4:45 PM,Dragon Ranger Gaming,2,Nova Esports,0,2-0,Dragon Ranger Gaming,Completed,Knockout Round,Playoffs
"Thu, May 9, 2024",342358,2:30 PM,FunPlus Phoenix,2,Trace Esports,0,2-0,FunPlus Phoenix,Completed,Upper Semifinals,Playoffs
"Thu, May 9, 2024",342359,5:00 PM,EDward Gaming,2,Dragon Ranger Gaming,0,2-0,EDward Gaming,Completed,Upper Semifinals,Playoffs
"Fri, May 10, 2024",342360,2:30 PM,FunPlus Phoenix,2,EDward Gaming,0,2-0,FunPlus Phoenix,Completed,Upper Final,Playoffs
"Fri, May 10, 2024",342361,5:15 PM,Trace Esports,1,Dragon Ranger Gaming,2,1-2,Dragon Ranger Gaming,Completed,Lower Round 1,Playoffs
"Sat, May 11, 2024",342362,2:30 PM,EDward Gaming,3,Dragon Ranger Gaming,1,3-1,EDward Gaming,Completed,Lower Final,Playoffs
"Sun, May 12, 2024",342363,2:30 PM,FunPlus Phoenix,1,EDward Gaming,3,1-3,EDward Gaming,Completed,Grand Final,Playoffs
