player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
whzy,whzy,BLG,4885,"['Yoru', 'Jett', 'Raze']",3,304,,246.8,1.14,,,0.86,0.21,,,,0%,,24,261,228,63,0,0
CB,CB,NOVA,39697,"['Fade', 'Sova', 'Skye', 'Gekko']",4,337,,205.7,0.96,,,0.69,0.31,,,,0%,,24,232,242,104,0,0
nobody,nobody,EDG,3017,"['Sova', 'Skye', 'Gekko', 'Sage']",4,538,,202.8,1.1,,,0.74,0.28,,,,0%,,28,396,359,149,0,0
CHICHOO,CHICHOO,EDG,15559,"['Killjoy', 'Brimstone', 'Viper', 'Cypher', 'Reyna']",5,538,,193.3,1.12,,,0.72,0.24,,,,0%,,26,387,347,130,0,0
Smoggy,Smoggy,EDG,4742,"['Jett', 'Raze', 'Omen', 'Brimstone', 'Viper']",5,538,,202.0,1.2,,,0.74,0.36,,,,0%,,24,398,333,191,0,0
stew,stew,JDG,16924,"['Jett', 'Raze']",2,267,,206.0,0.98,,,0.72,0.21,,,,0%,,22,191,195,55,0,0
Viva,Viva,JDG,36415,"['Sova', 'Skye', 'Jett', 'Viper']",4,267,,216.5,1.16,,,0.75,0.28,,,,0%,,23,201,173,76,0,0
YHchen,YHchen,JDG,10486,"['Kayo', 'Gekko', 'Skye', 'Cypher', 'Harbor', 'Fade']",6,267,,180.8,0.88,,,0.62,0.36,,,,0%,,19,165,188,97,0,0
YiHao,YiHao,JDG,4320,"['Omen', 'Brimstone']",2,124,,159.7,0.84,,,0.55,0.47,,,,0%,,16,68,81,58,0,0
MarT1n,MarT1n,JDG,36668,"['Killjoy', 'Viper']",2,267,,194.7,0.94,,,0.66,0.24,,,,0%,,21,176,187,64,0,0
SWERL,SWERL,NOVA,1209,"['Raze', 'Jett', 'Killjoy', 'Omen']",4,337,,241.7,1.09,,,0.82,0.24,,,,0%,,28,277,253,81,0,0
o0o0o,o0o0o,NOVA,4402,"['Viper', 'Breach', 'Kayo']",3,337,,159.3,0.74,,,0.54,0.34,,,,0%,,19,183,246,113,0,0
OBONE,OBONE,NOVA,36670,"['Omen', 'Viper', 'Astra']",3,264,,168.8,0.86,,,0.61,0.32,,,,0%,,20,160,185,85,0,0
GuanG,GuanG,NOVA,41054,"['Killjoy', 'Neon', 'Gekko', 'Cypher', 'Chamber', 'Jett', 'Sage']",7,337,,187.3,1.0,,,0.69,0.16,,,,0%,,30,233,234,55,0,0
Haodong,Haodong,EDG,4720,"['Omen', 'Cypher', 'Gekko', 'Kayo', 'Breach']",5,538,,158.2,0.83,,,0.56,0.36,,,,0%,,20,299,359,193,0,0
FengF,FengF,TE,4770,"['Raze', 'Sova', 'Cypher']",3,391,,243.5,1.16,,,0.83,0.19,,,,0%,,24,323,278,76,0,0
LuoK1ng,LuoK1ng,TE,3045,"['Omen', 'Viper']",2,391,,193.8,0.93,,,0.67,0.38,,,,0%,,21,261,280,148,0,0
YOU,YOU,TE,4710,"['Fade', 'Killjoy', 'Skye', 'Sova']",4,391,,184.2,0.97,,,0.65,0.3,,,,0%,,21,254,262,119,0,0
heybay,heybay,TE,4712,"['Viper', 'Kayo', 'Yoru', 'Brimstone', 'Breach']",5,391,,186.0,0.9,,,0.64,0.38,,,,0%,,22,250,279,148,0,0
Kai,Kai,TE,37494,"['Killjoy', 'Jett', 'Cypher', 'Gekko']",4,391,,207.5,1.12,,,0.76,0.21,,,,0%,,25,299,268,81,0,0
AAAAY,AAAAY,FPX,19530,"['Fade', 'Gekko', 'Astra', 'Sova']",4,412,,197.1,1.12,,,0.74,0.23,,,,0%,,23,305,272,95,0,0
BerLIN,BerLIN,FPX,7857,"['Omen', 'Astra', 'Sova', 'Kayo', 'Harbor']",5,412,,184.9,0.89,,,0.61,0.39,,,,0%,,27,252,283,162,0,0
Lysoar,Lysoar,FPX,37489,"['Killjoy', 'Omen', 'Viper', 'Brimstone', 'Cypher']",5,412,,214.9,1.35,,,0.81,0.29,,,,0%,,29,332,246,118,0,0
Autumn,Autumn,FPX,872,"['Viper', 'Yoru', 'Jett', 'Kayo', 'Harbor']",5,412,,214.2,1.18,,,0.76,0.32,,,,0%,,21,315,267,132,0,0
Life,Life,FPX,3028,"['Yoru', 'Raze', 'Jett', 'Reyna', 'Clove']",5,412,,246.3,1.11,,,0.84,0.25,,,,0%,,28,345,311,105,0,0
jkuro,jkuro,JDG,3519,"['Yoru', 'Harbor', 'Brimstone', 'Omen']",4,143,,218.6,1.2,,,0.84,0.3,,,,0%,,24,120,100,43,0,0
Levius,Levius,BLG,40845,"['Fade', 'Skye', 'Killjoy', 'Sova']",4,142,,149.9,0.75,,,0.54,0.24,,,,0%,,18,76,102,34,0,0
ZmjjKK,ZmjjKK,EDG,3520,"['Kayo', 'Raze', 'Jett']",3,538,,282.7,1.35,,,0.98,0.24,,,,0%,,30,529,391,127,0,0
Spitfires,Spitfires,AG,4881,"['Raze', 'Cypher']",2,313,,215.4,0.99,,,0.75,0.15,,,,0%,,27,235,238,48,0,0
Biank,Biank,BLG,3021,"['Gekko', 'Sova', 'Fade', 'Skye', 'Omen', 'Brimstone', 'Harbor']",7,304,,173.0,0.86,,,0.59,0.41,,,,0%,,27,178,208,124,0,0
Yuicaw,Yuicaw,WOL,11218,"['Cypher', 'Yoru', 'Gekko', 'Jett']",4,302,,213.4,1.02,,,0.76,0.19,,,,0%,,30,231,227,58,0,0
