agent_name,total_utilization,map_utilizations
Omen,72.0,"{'Sunset': 97.0, 'Haven': 100.0, 'Icebox': 4.0, 'Lotus': 100.0, 'Ascent': 100.0, 'Bind': 10.0, 'Abyss': 100.0, 'Split': 83.0}"
Jett,50.0,"{'Sunset': 12.0, 'Haven': 89.0, 'Icebox': 96.0, 'Lotus': 0.0, 'Ascent': 100.0, 'Bind': 25.0, 'Abyss': 33.0, 'Split': 0.0}"
Viper,41.0,"{'Sunset': 12.0, 'Haven': 4.0, 'Icebox': 100.0, 'Lotus': 63.0, 'Ascent': 0.0, 'Bind': 55.0, 'Abyss': 67.0, 'Split': 83.0}"
Sova,40.0,"{'Sunset': 53.0, 'Haven': 54.0, 'Icebox': 29.0, 'Lotus': 8.0, 'Ascent': 100.0, 'Bind': 10.0, 'Abyss': 33.0, 'Split': 0.0}"
Cypher,40.0,"{'Sunset': 65.0, 'Haven': 71.0, 'Icebox': 0.0, 'Lotus': 17.0, 'Ascent': 20.0, 'Bind': 40.0, 'Abyss': 67.0, 'Split': 83.0}"
Raze,37.0,"{'Sunset': 59.0, 'Haven': 0.0, 'Icebox': 0.0, 'Lotus': 67.0, 'Ascent': 0.0, 'Bind': 90.0, 'Abyss': 33.0, 'Split': 100.0}"
Kayo,36.0,"{'Sunset': 24.0, 'Haven': 25.0, 'Icebox': 89.0, 'Lotus': 0.0, 'Ascent': 95.0, 'Bind': 0.0, 'Abyss': 17.0, 'Split': 0.0}"
Killjoy,35.0,"{'Sunset': 0.0, 'Haven': 29.0, 'Icebox': 100.0, 'Lotus': 46.0, 'Ascent': 55.0, 'Bind': 0.0, 'Abyss': 0.0, 'Split': 0.0}"
Breach,31.0,"{'Sunset': 47.0, 'Haven': 82.0, 'Icebox': 0.0, 'Lotus': 33.0, 'Ascent': 5.0, 'Bind': 15.0, 'Abyss': 0.0, 'Split': 17.0}"
Gekko,25.0,"{'Sunset': 32.0, 'Haven': 18.0, 'Icebox': 43.0, 'Lotus': 17.0, 'Ascent': 0.0, 'Bind': 40.0, 'Abyss': 33.0, 'Split': 0.0}"
Fade,20.0,"{'Sunset': 9.0, 'Haven': 14.0, 'Icebox': 0.0, 'Lotus': 75.0, 'Ascent': 0.0, 'Bind': 30.0, 'Abyss': 33.0, 'Split': 0.0}"
Skye,13.0,"{'Sunset': 0.0, 'Haven': 4.0, 'Icebox': 0.0, 'Lotus': 0.0, 'Ascent': 0.0, 'Bind': 70.0, 'Abyss': 17.0, 'Split': 83.0}"
