match_id,match_title,event,date,format,teams,score,maps_played,patch,pick_ban_info
359603,Titan Esports Club vs JDG Esports,Champions Tour 2024: China Stage 2,2024-06-15 07:00:00,Bo3,Titan Esports Club vs JDG Esports,0 - 2,2,,JDG ban Breeze; TEC ban Bind; JDG pick Icebox; TEC pick Lotus; JDG ban Split; TEC ban Sunset; Ascent remains
359604,All Gamers vs TYLOO,Champions Tour 2024: China Stage 2,2024-06-16 05:00:00,Bo3,All Gamers vs TYLOO,2 - 0,2,,AG ban Ascent; TYL ban Lotus; AG pick Sunset; TYL pick Icebox; AG ban Bind; TYL ban Breeze; Split remains
359605,Bilibili Gaming vs Wolves Esports,Champions Tour 2024: China Stage 2,2024-06-16 07:05:00,Bo3,Bilibili Gaming vs Wolves Esports,2 - 0,2,,WOL ban Lotus; BLG ban Breeze; WOL pick Sunset; BLG pick Bind; WOL ban Ascent; BLG ban Icebox; Split remains
359606,Dragon Ranger Gaming vs Nova Esports,Champions Tour 2024: China Stage 2,2024-06-21 05:00:00,Bo3,Dragon Ranger Gaming vs Nova Esports,1 - 2,3,,DRG ban Bind; NOVA ban Haven; DRG pick Ascent; NOVA pick Lotus; DRG ban Split; NOVA ban Icebox; Sunset remains
359607,FunPlus Phoenix vs Trace Esports,Champions Tour 2024: China Stage 2,2024-06-21 08:15:00,Bo3,FunPlus Phoenix vs Trace Esports,1 - 2,3,,TE ban Icebox; FPX ban Split; TE pick Haven; FPX pick Lotus; TE ban Ascent; FPX ban Bind; Sunset remains
359608,Titan Esports Club vs All Gamers,Champions Tour 2024: China Stage 2,2024-06-22 05:00:00,Bo3,Titan Esports Club vs All Gamers,0 - 2,2,,AG ban Lotus; TEC ban Split; AG pick Sunset; TEC pick Icebox; AG ban Bind; TEC ban Haven; Ascent remains
359609,EDward Gaming vs Wolves Esports,Champions Tour 2024: China Stage 2,2024-06-22 07:00:00,Bo3,EDward Gaming vs Wolves Esports,1 - 2,3,,WOL ban Haven; EDG ban Ascent; WOL pick Split; EDG pick Bind; WOL ban Lotus; EDG ban Sunset; Icebox remains
359610,TYLOO vs Trace Esports,Champions Tour 2024: China Stage 2,2024-06-23 05:00:00,Bo3,TYLOO vs Trace Esports,1 - 2,3,,TYL ban Lotus; TE ban Icebox; TYL pick Split; TE pick Sunset; TYL ban Ascent; TE ban Bind; Haven remains
359611,Nova Esports vs Bilibili Gaming,Champions Tour 2024: China Stage 2,2024-06-23 08:05:00,Bo3,Nova Esports vs Bilibili Gaming,1 - 2,3,,BLG ban Sunset; NOVA ban Haven; BLG pick Split; NOVA pick Bind; BLG ban Icebox; NOVA ban Lotus; Ascent remains
359612,JDG Esports vs FunPlus Phoenix,Champions Tour 2024: China Stage 2,2024-06-26 07:00:00,Bo3,JDG Esports vs FunPlus Phoenix,0 - 2,2,,JDG ban Ascent; FPX ban Split; JDG pick Sunset; FPX pick Haven; JDG ban Lotus; FPX ban Icebox; Bind remains
359613,EDward Gaming vs Dragon Ranger Gaming,Champions Tour 2024: China Stage 2,2024-06-27 07:00:00,Bo3,EDward Gaming vs Dragon Ranger Gaming,0 - 2,2,,EDG ban Ascent; DRG ban Bind; EDG pick Lotus; DRG pick Haven; EDG ban Icebox; DRG ban Sunset; Split remains
359614,Nova Esports vs Wolves Esports,Champions Tour 2024: China Stage 2,2024-06-28 05:00:00,Bo3,Nova Esports vs Wolves Esports,2 - 0,2,,WOL ban Lotus; NOVA ban Haven; WOL pick Icebox; NOVA pick Sunset; WOL ban Split; NOVA ban Ascent; Bind remains
359615,JDG Esports vs Trace Esports,Champions Tour 2024: China Stage 2,2024-06-28 07:35:00,Bo3,JDG Esports vs Trace Esports,2 - 1,3,,JDG ban Split; TE ban Icebox; JDG pick Bind; TE pick Sunset; JDG ban Lotus; TE ban Ascent; Haven remains
359616,Titan Esports Club vs TYLOO,Champions Tour 2024: China Stage 2,2024-06-29 05:00:00,Bo3,Titan Esports Club vs TYLOO,1 - 2,3,,TEC ban Split; TYL ban Lotus; TEC pick Bind; TYL pick Ascent; TEC ban Haven; TYL ban Sunset; Icebox remains
359617,All Gamers vs FunPlus Phoenix,Champions Tour 2024: China Stage 2,2024-06-29 08:30:00,Bo3,All Gamers vs FunPlus Phoenix,1 - 2,3,,AG ban Lotus; FPX ban Split; AG pick Sunset; FPX pick Haven; AG ban Bind; FPX ban Icebox; Ascent remains
359618,Bilibili Gaming vs Dragon Ranger Gaming,Champions Tour 2024: China Stage 2,2024-06-30 05:00:00,Bo3,Bilibili Gaming vs Dragon Ranger Gaming,2 - 0,2,,BLG ban Icebox; DRG ban Bind; BLG pick Lotus; DRG pick Ascent; BLG ban Haven; DRG ban Sunset; Split remains
359619,EDward Gaming vs Nova Esports,Champions Tour 2024: China Stage 2,2024-06-30 07:20:00,Bo3,EDward Gaming vs Nova Esports,2 - 0,2,,NOVA ban Haven; EDG ban Ascent; NOVA pick Lotus; EDG pick Bind; NOVA ban Split; EDG ban Icebox; Sunset remains
359621,All Gamers vs Trace Esports,Champions Tour 2024: China Stage 2,2024-07-03 07:00:00,Bo3,All Gamers vs Trace Esports,0 - 2,2,,AG ban Lotus; TE ban Icebox; AG pick Haven; TE pick Sunset; AG ban Ascent; TE ban Bind; Split remains
359622,Titan Esports Club vs FunPlus Phoenix,Champions Tour 2024: China Stage 2,2024-07-04 07:00:00,Bo3,Titan Esports Club vs FunPlus Phoenix,2 - 0,2,,FPX ban Split; TEC ban Haven; FPX pick Lotus; TEC pick Sunset; FPX ban Icebox; TEC ban Ascent; Bind remains
359623,TYLOO vs JDG Esports,Champions Tour 2024: China Stage 2,2024-07-05 05:00:00,Bo3,TYLOO vs JDG Esports,0 - 2,2,,JDG ban Sunset; TYL ban Lotus; JDG pick Haven; TYL pick Icebox; JDG ban Ascent; TYL ban Split; Bind remains
359624,Dragon Ranger Gaming vs Wolves Esports,Champions Tour 2024: China Stage 2,2024-07-05 07:00:00,Bo3,Dragon Ranger Gaming vs Wolves Esports,0 - 2,2,,WOL ban Lotus; DRG ban Sunset; WOL pick Icebox; DRG pick Ascent; WOL ban Split; DRG ban Bind; Haven remains
359625,Trace Esports vs Titan Esports Club,Champions Tour 2024: China Stage 2,2024-07-06 05:00:00,Bo3,Trace Esports vs Titan Esports Club,2 - 1,3,,TE ban Icebox; TEC ban Split; TE pick Lotus; TEC pick Bind; TE ban Ascent; TEC ban Sunset; Haven remains
