agent_name,total_utilization,map_utilizations
Omen,74.0,"{'Sunset': 100.0, 'Lotus': 94.0, 'Split': 100.0, 'Bind': 33.0, 'Breeze': 30.0, 'Icebox': 13.0, 'Ascent': 83.0}"
Viper,72.0,"{'Sunset': 55.0, 'Lotus': 78.0, 'Split': 56.0, 'Bind': 100.0, 'Breeze': 100.0, 'Icebox': 100.0, 'Ascent': 17.0}"
Raze,67.0,"{'Sunset': 86.0, 'Lotus': 78.0, 'Split': 100.0, 'Bind': 83.0, 'Breeze': 0.0, 'Icebox': 25.0, 'Ascent': 17.0}"
Cypher,42.0,"{'Sunset': 86.0, 'Lotus': 6.0, 'Split': 44.0, 'Bind': 0.0, 'Breeze': 100.0, 'Icebox': 0.0, 'Ascent': 33.0}"
Killjoy,29.0,"{'Sunset': 0.0, 'Lotus': 94.0, 'Split': 0.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 88.0, 'Ascent': 50.0}"
Fade,29.0,"{'Sunset': 41.0, 'Lotus': 39.0, 'Split': 44.0, 'Bind': 25.0, 'Breeze': 0.0, 'Icebox': 13.0, 'Ascent': 0.0}"
Skye,28.0,"{'Sunset': 18.0, 'Lotus': 22.0, 'Split': 44.0, 'Bind': 67.0, 'Breeze': 20.0, 'Icebox': 0.0, 'Ascent': 17.0}"
Breach,26.0,"{'Sunset': 41.0, 'Lotus': 22.0, 'Split': 56.0, 'Bind': 17.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Ascent': 0.0}"
Sova,25.0,"{'Sunset': 9.0, 'Lotus': 0.0, 'Split': 0.0, 'Bind': 8.0, 'Breeze': 80.0, 'Icebox': 88.0, 'Ascent': 83.0}"
Yoru,21.0,"{'Sunset': 9.0, 'Lotus': 6.0, 'Split': 25.0, 'Bind': 25.0, 'Breeze': 70.0, 'Icebox': 25.0, 'Ascent': 0.0}"
Kayo,17.0,"{'Sunset': 9.0, 'Lotus': 0.0, 'Split': 0.0, 'Bind': 33.0, 'Breeze': 40.0, 'Icebox': 13.0, 'Ascent': 83.0}"
Gekko,16.0,"{'Sunset': 23.0, 'Lotus': 28.0, 'Split': 0.0, 'Bind': 33.0, 'Breeze': 0.0, 'Icebox': 13.0, 'Ascent': 0.0}"
Jett,12.0,"{'Sunset': 0.0, 'Lotus': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Breeze': 30.0, 'Icebox': 38.0, 'Ascent': 83.0}"
Astra,9.0,"{'Sunset': 0.0, 'Lotus': 6.0, 'Split': 25.0, 'Bind': 8.0, 'Breeze': 20.0, 'Icebox': 0.0, 'Ascent': 0.0}"
Brimstone,8.0,"{'Sunset': 0.0, 'Lotus': 0.0, 'Split': 0.0, 'Bind': 58.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Ascent': 0.0}"
Neon,7.0,"{'Sunset': 9.0, 'Lotus': 17.0, 'Split': 0.0, 'Bind': 8.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Ascent': 0.0}"
Sage,5.0,"{'Sunset': 9.0, 'Lotus': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 38.0, 'Ascent': 0.0}"
Phoenix,4.0,"{'Sunset': 0.0, 'Lotus': 11.0, 'Split': 0.0, 'Bind': 0.0, 'Breeze': 10.0, 'Icebox': 13.0, 'Ascent': 0.0}"
Chamber,3.0,"{'Sunset': 5.0, 'Lotus': 0.0, 'Split': 6.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 13.0, 'Ascent': 0.0}"
Harbor,3.0,"{'Sunset': 0.0, 'Lotus': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 25.0, 'Ascent': 17.0}"
Reyna,1.0,"{'Sunset': 0.0, 'Lotus': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Ascent': 17.0}"
Clove,0.0,"{'Sunset': 0.0, 'Lotus': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Ascent': 0.0}"
Tejo,0.0,"{'Sunset': 0.0, 'Lotus': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Ascent': 0.0}"
Deadlock,0.0,"{'Sunset': 0.0, 'Lotus': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Ascent': 0.0}"
Vyse,0.0,"{'Sunset': 0.0, 'Lotus': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Ascent': 0.0}"
Waylay,0.0,"{'Sunset': 0.0, 'Lotus': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Ascent': 0.0}"
Iso,0.0,"{'Sunset': 0.0, 'Lotus': 0.0, 'Split': 0.0, 'Bind': 0.0, 'Breeze': 0.0, 'Icebox': 0.0, 'Ascent': 0.0}"
