match_id,map_name,map_order,score,winner,duration,picked_by
297401,Lotus,1,11 - 13,Team Heretics,59:29,Team Heretics
297401,Bind,2,10 - 13,Team Heretics,50:07,FUT Esports
297402,Split,1,11 - 13,Karmine Corp,1:01:38,Karmine Corp
297402,Sunset,2,13 - 10,GIANTX,48:18,GIANTX
297402,Lotus,3,4 - 13,Karmine Corp,41:04,Decider
297406,Bind,1,8 - 13,BBL Esports,49:25,Natus Vincere
297406,Ascent,2,13 - 6,Natus Vincere,40:33,BBL Esports
297406,Breeze,3,13 - 6,Natus Vincere,38:05,Decider
297407,Icebox,1,13 - 10,Team Liquid,55:23,Team Liquid
297407,Bind,2,13 - 11,Team Liquid,50:40,Movistar KOI(KOI)
297412,Sunset,1,13 - 10,Team Vitality,1:02:19,Team Vitality
297412,Lotus,2,13 - 7,Team Vitality,45:09,Gentle Mates
297403,Split,1,13 - 4,Team Heretics,47:37,Karmine Corp
297403,Lotus,2,13 - 4,Team Heretics,42:55,Team Heretics
297404,Split,1,13 - 6,FUT Esports,43:40,GIANTX
297404,Icebox,2,8 - 13,GIANTX,46:54,FUT Esports
297404,Sunset,3,13 - 7,FUT Esports,42:03,Decider
297408,Split,1,13 - 7,Natus Vincere,45:54,Team Liquid
297408,Breeze,2,13 - 7,Natus Vincere,41:49,Natus Vincere
297409,Bind,1,5 - 13,Movistar KOI(KOI),48:18,BBL Esports
297409,Split,2,10 - 13,Movistar KOI(KOI),50:52,Movistar KOI(KOI)
297414,Lotus,1,12 - 14,FNATIC,1:00:13,FNATIC
297414,Ascent,2,5 - 13,FNATIC,41:27,Team Vitality
297416,Breeze,1,4 - 13,Gentle Mates,59:21,Gentle Mates
297416,Lotus,2,15 - 13,Team Vitality,1:05:02,Team Vitality
297416,Sunset,3,13 - 3,Team Vitality,43:26,Decider
297405,Lotus,1,20 - 18,Karmine Corp,1:29:33,FUT Esports
297405,Bind,2,4 - 13,FUT Esports,39:33,Karmine Corp
297405,Sunset,3,13 - 7,Karmine Corp,45:00,Decider
297410,Sunset,1,11 - 13,Movistar KOI(KOI),1:01:22,Movistar KOI(KOI)
297410,Icebox,2,14 - 12,Team Liquid,1:00:48,Team Liquid
297410,Split,3,10 - 13,Movistar KOI(KOI),51:34,Decider
307567,Sunset,1,13 - 8,Karmine Corp,1:08:42,Karmine Corp
307567,Ascent,2,15 - 13,Karmine Corp,1:14:01,Team Vitality
307565,Sunset,1,9 - 13,Team Vitality,56:59,KOI
307565,Breeze,2,6 - 13,Team Vitality,42:05,Team Vitality
307564,Sunset,1,13 - 4,Karmine Corp,51:03,Karmine Corp
307564,Bind,2,13 - 7,Karmine Corp,44:57,KOI
303093,Sunset,1,16 - 14,Team Heretics,1:24:32,Team Heretics
303093,Breeze,2,13 - 4,Team Heretics,38:41,Natus Vincere
303094,Lotus,1,10 - 13,Karmine Corp,1:04:42,FNATIC
303094,Split,2,8 - 13,Karmine Corp,47:04,Karmine Corp
303095,Sunset,1,13 - 9,Team Heretics,1:07:06,Karmine Corp
303095,Lotus,2,7 - 13,Karmine Corp,43:40,Team Heretics
303095,Icebox,3,7 - 13,Karmine Corp,42:55,Karmine Corp
303095,Split,4,5 - 13,Karmine Corp,38:24,Team Heretics
