match_id,match_title,event,date,format,teams,score,maps_played,patch,pick_ban_info
297401,FUT Esports vs Team Heretics,Champions Tour 2024: EMEA Kickoff,2024-02-20 11:00:00,Bo3,FUT Esports vs Team Heretics,0 - 2,2,Patch 8.02,TH ban Ascent; FUT ban Breeze; TH pick Lotus; FUT pick Bind; TH ban Split; FUT ban Sunset; Icebox remains
297402,GIANTX vs Karmine Corp,Champions Tour 2024: EMEA Kickoff,2024-02-20 13:35:00,Bo3,GIANTX vs Karmine Corp,1 - 2,3,Patch 8.02,KC ban Ascent; GX ban Bind; KC pick Split; GX pick Sunset; KC ban Breeze; GX ban Icebox; Lotus remains
297406,Natus Vincere vs BBL Esports,Champions Tour 2024: EMEA Kickoff,2024-02-21 08:00:00,Bo3,Natus Vincere vs BBL Esports,2 - 1,3,Patch 8.02,NAVI ban Split; BBL ban Lotus; NAVI pick Bind; BBL pick Ascent; NAVI ban Icebox; BBL ban Sunset; Breeze remains
297407,Team Liquid vs Movistar KOI(KOI),Champions Tour 2024: EMEA Kickoff,2024-02-21 11:00:00,Bo3,Team Liquid vs Movistar KOI(KOI),2 - 0,2,Patch 8.02,TL ban Sunset; MKOI ban Lotus; TL pick Icebox; MKOI pick Bind; TL ban Breeze; MKOI ban Ascent; Split remains
297412,Team Vitality vs Gentle Mates,Champions Tour 2024: EMEA Kickoff,2024-02-21 13:45:00,Bo3,Team Vitality vs Gentle Mates,2 - 0,2,Patch 8.02,VIT ban Icebox; M8 ban Bind; VIT pick Sunset; M8 pick Lotus; VIT ban Split; M8 ban Breeze; Ascent remains
297403,Team Heretics vs Karmine Corp,Champions Tour 2024: EMEA Kickoff,2024-02-22 11:00:00,Bo3,Team Heretics vs Karmine Corp,2 - 0,2,Patch 8.02,KC ban Breeze; TH ban Ascent; KC pick Split; TH pick Lotus; KC ban Icebox; TH ban Bind; Sunset remains
297404,FUT Esports vs GIANTX,Champions Tour 2024: EMEA Kickoff,2024-02-22 13:10:00,Bo3,FUT Esports vs GIANTX,2 - 1,3,Patch 8.02,GX ban Bind; FUT ban Breeze; GX pick Split; FUT pick Icebox; GX ban Lotus; FUT ban Ascent; Sunset remains
297408,Natus Vincere vs Team Liquid,Champions Tour 2024: EMEA Kickoff,2024-02-23 08:00:00,Bo3,Natus Vincere vs Team Liquid,2 - 0,2,Patch 8.02,TL ban Sunset; NAVI ban Icebox; TL pick Split; NAVI pick Breeze; TL ban Bind; NAVI ban Lotus; Ascent remains
297409,BBL Esports vs Movistar KOI(KOI),Champions Tour 2024: EMEA Kickoff,2024-02-23 10:10:00,Bo3,BBL Esports vs Movistar KOI(KOI),0 - 2,2,Patch 8.02,BBL ban Sunset; MKOI ban Lotus; BBL pick Bind; MKOI pick Split; BBL ban Breeze; MKOI ban Ascent; Icebox remains
297414,Team Vitality vs FNATIC,Champions Tour 2024: EMEA Kickoff,2024-02-23 12:20:00,Bo3,Team Vitality vs FNATIC,0 - 2,2,Patch 8.02,FNC ban Sunset; VIT ban Icebox; FNC pick Lotus; VIT pick Ascent; FNC ban Split; VIT ban Breeze; Bind remains
