match_id,event_name,event_stage,match_date,team1,team2,score_overall,player_name,player_id,player_team,stat_type,agent,rating,acs,k,d,a,kd_diff,kast,adr,hs_percent,fk,fd,fk_fd_diff,map_name,map_winner
297401,Champions Tour 2024: EMEA Kickoff,"Group Stage: 
						Opening (A)",2024-02-20 11:00:00,FUT Esports,Team Heretics,0 - 2,AtaKaptan,6510,FUT Esports,overall,"Breach, Omen",1.23,196,32,31,33,+1,81%,136,30%,1,4,-3,,
297401,Champions Tour 2024: EMEA Kickoff,"Group Stage: 
						Opening (A)",2024-02-20 11:00:00,FUT Esports,Team Heretics,0 - 2,cNed,573,FUT Esports,overall,"Yoru, Neon",1.07,250,42,36,14,+6,74%,159,31%,8,9,-1,,
297401,Champions Tour 2024: EMEA Kickoff,"Group Stage: 
						Opening (A)",2024-02-20 11:00:00,FUT Esports,Team Heretics,0 - 2,MrFaliN,8044,FUT Esports,overall,"Astra, Gekko",0.97,203,33,34,14,-1,70%,133,23%,6,4,+2,,
297401,Champions Tour 2024: EMEA Kickoff,"Group Stage: 
						Opening (A)",2024-02-20 11:00:00,FUT Esports,Team Heretics,0 - 2,yetujey,8369,FUT Esports,overall,"Killjoy, Viper",0.87,201,30,34,11,-4,77%,138,20%,4,5,-1,,
297401,Champions Tour 2024: EMEA Kickoff,"Group Stage: 
						Opening (A)",2024-02-20 11:00:00,FUT Esports,Team Heretics,0 - 2,qRaxs,1139,FUT Esports,overall,"Gekko, Kayo",0.84,176,27,35,27,-8,70%,116,22%,3,3,0,,
297401,Champions Tour 2024: EMEA Kickoff,"Group Stage: 
						Opening (A)",2024-02-20 11:00:00,FUT Esports,Team Heretics,0 - 2,Boo,1144,Team Heretics,overall,"Omen, Astra",1.60,298,52,29,17,+23,74%,203,40%,5,3,+2,,
297401,Champions Tour 2024: EMEA Kickoff,"Group Stage: 
						Opening (A)",2024-02-20 11:00:00,FUT Esports,Team Heretics,0 - 2,MiniBoo,18350,Team Heretics,overall,"Neon, Yoru",1.35,267,43,34,11,+9,70%,184,34%,11,10,+1,,
297401,Champions Tour 2024: EMEA Kickoff,"Group Stage: 
						Opening (A)",2024-02-20 11:00:00,FUT Esports,Team Heretics,0 - 2,benjyfishy,29873,Team Heretics,overall,"Killjoy, Viper",0.87,188,32,34,9,-2,70%,125,28%,5,5,0,,
297401,Champions Tour 2024: EMEA Kickoff,"Group Stage: 
						Opening (A)",2024-02-20 11:00:00,FUT Esports,Team Heretics,0 - 2,paTiTek,309,Team Heretics,overall,"Viper, Kayo",0.76,139,22,33,19,-11,72%,88,19%,2,3,-1,,
297401,Champions Tour 2024: EMEA Kickoff,"Group Stage: 
						Opening (A)",2024-02-20 11:00:00,FUT Esports,Team Heretics,0 - 2,RieNs,10971,Team Heretics,overall,"Gekko, Sova",0.65,127,21,34,13,-13,72%,91,37%,2,1,+1,,
