map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Lotus,FUT,2,4 (2),2 (2),7 (1),11 (6),297401
Lotus,TH,0,4 (1),1 (0),3 (2),16 (10),297401
Bind,FUT,0,4 (0),2 (0),1 (1),16 (9),297401
Bind,TH,2,2 (2),1 (1),8 (5),12 (5),297401
All Maps,FUT,2,8 (2),4 (2),8 (2),27 (15),297401
All Maps,TH,2,6 (3),2 (1),11 (7),28 (15),297401
Split,GX,1,3 (1),1 (0),4 (3),16 (7),297402
Split,KC,1,3 (1),2 (2),4 (3),15 (7),297402
Sunset,GX,1,3 (1),1 (0),3 (3),16 (9),297402
Sunset,KC,1,3 (1),3 (1),6 (2),11 (6),297402
All Maps,GX,0,4 (0),2 (0),4 (3),7 (1),297402
All Maps,KC,2,2 (2),0 (0),3 (3),12 (8),297402
Bind,NAVI,0,3 (0),1 (0),7 (4),10 (4),297406
Bind,BBL,2,2 (2),3 (1),6 (3),10 (7),297406
Ascent,NAVI,2,2 (2),2 (0),4 (3),11 (8),297406
Ascent,BBL,0,4 (0),2 (0),1 (0),12 (6),297406
All Maps,NAVI,2,2 (2),0 (0),5 (4),12 (7),297406
All Maps,BBL,0,4 (0),1 (0),7 (4),7 (2),297406
Icebox,TL,1,3 (1),3 (1),4 (1),13 (10),297407
Icebox,MKOI,1,3 (2),1 (0),9 (3),10 (5),297407
Bind,TL,0,3 (0),3 (0),1 (1),17 (12),297407
Bind,MKOI,2,2 (2),1 (0),8 (4),13 (5),297407
All Maps,TL,1,6 (1),6 (1),5 (2),30 (22),297407
All Maps,MKOI,3,5 (4),2 (0),17 (7),23 (10),297407
Sunset,VIT,1,3 (1),1 (0),6 (2),13 (10),297412
Sunset,M8,1,3 (1),1 (0),7 (5),12 (4),297412
Lotus,VIT,2,3 (2),1 (0),8 (5),8 (6),297412
Lotus,M8,0,3 (0),1 (0),8 (4),8 (3),297412
All Maps,VIT,3,6 (3),2 (0),14 (7),21 (16),297412
All Maps,M8,1,6 (1),2 (0),15 (9),20 (7),297412
Split,TH,2,2 (2),0 (0),5 (5),10 (6),297403
Split,KC,0,5 (0),1 (0),5 (2),6 (2),297403
Lotus,TH,1,3 (1),0 (0),3 (2),11 (10),297403
Lotus,KC,1,3 (1),1 (0),6 (1),7 (2),297403
All Maps,TH,3,5 (3),0 (0),8 (7),21 (16),297403
All Maps,KC,1,8 (1),2 (0),11 (3),13 (4),297403
Split,FUT,1,3 (1),0 (0),4 (3),12 (9),297404
Split,GX,1,3 (1),2 (0),5 (2),9 (3),297404
Icebox,FUT,2,2 (2),3 (1),5 (2),11 (3),297404
Icebox,GX,0,4 (0),0 (0),2 (2),15 (11),297404
All Maps,FUT,2,2 (2),0 (0),5 (4),13 (7),297404
All Maps,GX,0,4 (0),2 (0),2 (1),12 (6),297404
Split,NAVI,2,2 (2),1 (0),8 (3),9 (8),297408
Split,TL,0,4 (0),2 (0),3 (0),11 (7),297408
