date,match_id,time,team1,score1,team2,score2,score,winner,status,week,stage
"Tue, February 20, 2024",297401,9:30 PM,FUT Esports,0,Team Heretics,2,0-2,Team Heretics,Completed,Opening (A),Group Stage
"Wed, February 21, 2024",297402,12:05 AM,GIANTX,1,Karmine Corp,2,1-2,Karmine Corp,Completed,Opening (A),Group Stage
"Wed, February 21, 2024",297406,6:30 PM,Natus Vincere,2,BBL Esports,1,2-1,Natus Vincere,Completed,Opening (B),Group Stage
"Wed, February 21, 2024",297407,9:30 PM,Team Liquid,2,KOI,0,2-0,Team Liquid,Completed,Opening (B),Group Stage
"Thu, February 22, 2024",297412,12:15 AM,Team Vitality,2,Gentle Mates,0,2-0,Team Vitality,Completed,Opening (C),Group Stage
"Thu, February 22, 2024",297403,9:30 PM,Team Heretics,2,Karmine Corp,0,2-0,Team Heretics,Completed,Winner's (A),Group Stage
"Thu, February 22, 2024",297404,11:40 PM,FUT Esports,2,GIANTX,1,2-1,FUT Esports,Completed,Elimination (A),Group Stage
"Fri, February 23, 2024",297408,6:30 PM,Natus Vincere,2,Team Liquid,0,2-0,Natus Vincere,Completed,Winner's (B),Group Stage
"Fri, February 23, 2024",297409,8:40 PM,BBL Esports,0,KOI,2,0-2,KOI,Completed,Elimination (B),Group Stage
"Fri, February 23, 2024",297414,10:50 PM,Team Vitality,0,FNATIC,2,0-2,FNATIC,Completed,Winner's (C),Group Stage
"Sun, February 25, 2024",297416,6:35 PM,Team Vitality,2,Gentle Mates,1,2-1,Team Vitality,Completed,Decider (C),Group Stage
"Sun, February 25, 2024",297405,9:45 PM,Karmine Corp,2,FUT Esports,1,2-1,Karmine Corp,Completed,Decider (A),Group Stage
"Mon, February 26, 2024",297410,1:15 AM,Team Liquid,1,KOI,2,1-2,KOI,Completed,Decider (B),Group Stage
"Mon, February 26, 2024",307567,6:30 PM,Karmine Corp,2,Team Vitality,0,2-0,Karmine Corp,Completed,Play-ins,Play-In Stage
"Mon, February 26, 2024",307565,9:15 PM,KOI,0,Team Vitality,2,0-2,Team Vitality,Completed,Play-ins,Play-In Stage
"Mon, February 26, 2024",307564,11:15 PM,Karmine Corp,2,KOI,0,2-0,Karmine Corp,Completed,Play-ins,Play-In Stage
"Thu, February 29, 2024",303093,9:30 PM,Team Heretics,2,Natus Vincere,0,2-0,Team Heretics,Completed,Semifinals,Playoffs
"Thu, February 29, 2024",303094,11:50 PM,FNATIC,0,Karmine Corp,2,0-2,Karmine Corp,Completed,Semifinals,Playoffs
"Fri, March 1, 2024",303095,9:30 PM,Team Heretics,1,Karmine Corp,3,1-3,Karmine Corp,Completed,Grand Final,Playoffs
