player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
AtaKaptan,AtaKaptan,FUT,6510,"['Breach', 'Omen', 'Viper']",3,182,1.24,216.9,1.23,76%,140.5,0.77,0.51,0.04,0.07,30%,17%,4/23,30,140,114,92,7,13
N4RRATE,N4RRATE,KC,36245,"['Raze', 'Gekko', 'Fade', 'Reyna']",4,383,1.23,249.9,1.27,78%,166.2,0.89,0.33,0.12,0.08,26%,15%,5/33,40,342,269,125,47,31
Cloud,Cloud,GX,4181,"['Breach', 'Fade', 'Skye', 'Sova']",4,124,1.21,241.3,1.17,71%,155.6,0.84,0.36,0.08,0.06,30%,13%,2/16,22,104,89,45,10,8
Zyppan,Zyppan,NAVI,11,"['Raze', 'Kayo', 'Sova', 'Breach']",4,146,1.18,237.1,1.23,72%,156.5,0.86,0.32,0.1,0.08,34%,0%,0/12,25,125,102,47,15,11
MiniBoo,MiniBoo,TH,18350,"['Neon', 'Yoru', 'Raze']",3,208,1.18,254.7,1.22,69%,165.1,0.88,0.19,0.22,0.17,28%,40%,6/15,25,184,151,39,45,36
ardiis,ardiis,NAVI,98,"['Kayo', 'Jett', 'Yoru', 'Breach', 'Chamber']",5,146,1.18,246.0,1.25,74%,155.8,0.9,0.28,0.14,0.1,21%,20%,4/20,28,132,106,41,21,15
Sayf,Sayf,VIT,312,"['Viper', 'Omen', 'Kayo', 'Cypher']",4,238,1.17,209.2,1.22,68%,137.3,0.77,0.28,0.11,0.08,37%,14%,5/37,27,183,150,67,26,19
Chronicle,Chronicle,FNC,458,"['Viper', 'Kayo', 'Breach']",3,88,1.17,218.0,1.2,76%,140.4,0.74,0.57,0.09,0.05,22%,42%,5/12,21,65,54,50,8,4
Keiko,Keiko,TL,11494,"['Jett', 'Raze', 'Yoru']",3,160,1.16,229.0,1.24,71%,150.7,0.83,0.11,0.21,0.12,30%,5%,1/19,37,133,107,18,33,19
marteen,marteen,KC,10307,"['Yoru', 'Raze', 'Jett']",3,383,1.13,241.1,1.2,73%,156.4,0.84,0.25,0.18,0.15,23%,20%,4/20,31,320,266,95,70,57
TakaS,TakaS,M8,301,"['Yoru', 'Raze']",2,104,1.13,260.8,1.25,66%,164.9,0.92,0.2,0.15,0.12,22%,14%,1/7,26,96,77,21,16,12
yetujey,yetujey,FUT,8369,"['Killjoy', 'Viper', 'Phoenix', 'Cypher']",4,182,1.11,210.0,1.16,79%,143.3,0.74,0.25,0.12,0.09,24%,19%,5/27,30,135,116,46,22,17
Kicks,Kicks,VIT,11134,"['Skye', 'Sova']",2,238,1.1,201.3,1.09,72%,127.4,0.73,0.38,0.05,0.11,21%,23%,6/26,26,173,158,91,12,27
Alfajer,Alfajer,FNC,9810,"['Killjoy', 'Cypher']",2,88,1.08,225.5,1.26,74%,146.6,0.83,0.1,0.13,0.06,31%,11%,1/9,24,73,58,9,11,5
Boo,Boo,TH,1144,"['Omen', 'Astra', 'Viper']",3,208,1.07,187.6,1.05,72%,125.1,0.69,0.4,0.07,0.07,29%,4%,1/23,26,143,136,84,15,15
Leo,Leo,FNC,1380,"['Fade', 'Sova', 'Skye']",3,88,1.07,186.8,1.13,77%,126.4,0.67,0.33,0.07,0.05,22%,0%,0/11,24,59,52,29,6,4
Shao,Shao,NAVI,384,"['Brimstone', 'Omen', 'Viper']",3,146,1.06,192.7,1.05,73%,131.9,0.68,0.39,0.05,0.13,30%,10%,1/10,20,99,94,57,7,19
benjyfishy,benjyfishy,TH,29873,"['Killjoy', 'Viper', 'Cypher']",3,208,1.06,214.5,1.09,75%,141.7,0.76,0.2,0.1,0.09,35%,18%,6/33,22,159,146,42,20,18
runneR,runneR,VIT,21610,"['Raze', 'Jett']",2,238,1.05,227.7,1.03,72%,153.2,0.76,0.26,0.16,0.16,19%,31%,4/13,27,182,176,63,39,37
nukkye,nukkye,GX,3070,"['Cypher', 'Sage', 'Killjoy']",3,124,1.04,202.2,0.99,73%,137.4,0.69,0.3,0.1,0.06,29%,8%,1/13,21,86,87,37,13,7
Boaster,Boaster,FNC,438,['Omen'],1,88,1.01,200.3,1.03,70%,134.6,0.73,0.43,0.07,0.1,28%,0%,0/12,20,64,62,38,6,9
MAGNUM,MAGNUM,KC,2173,"['Fade', 'Cypher', 'Killjoy', 'Skye']",4,383,1.01,180.0,0.99,73%,124.0,0.64,0.29,0.08,0.1,25%,17%,8/46,25,247,250,110,29,40
RieNs,RieNs,TH,10971,"['Gekko', 'Sova', 'Breach']",3,208,1.01,202.4,1.01,75%,139.1,0.7,0.31,0.1,0.02,39%,18%,4/22,24,146,145,65,21,5
grubinho,grubinho,MKOI,5550,"['Viper', 'Brimstone', 'Omen']",3,239,1.0,185.7,0.96,72%,115.3,0.65,0.36,0.07,0.07,35%,15%,5/33,17,155,161,85,17,16
nAts,nAts,TL,457,"['Viper', 'Cypher']",2,160,0.99,197.9,0.99,71%,138.7,0.68,0.23,0.07,0.11,28%,8%,2/25,28,109,110,36,11,18
SUYGETSU,SUYGETSU,NAVI,2858,"['Viper', 'Cypher']",2,146,0.99,181.6,1.06,71%,124.3,0.65,0.18,0.04,0.1,38%,20%,5/25,17,95,90,26,6,15
MrFaliN,MrFaliN,FUT,8044,"['Astra', 'Gekko', 'Skye', 'Sova', 'Omen']",5,182,0.98,201.0,0.96,74%,129.3,0.68,0.43,0.1,0.1,20%,11%,2/18,23,124,129,78,19,19
sheydos,sheydos,MKOI,1428,"['Killjoy', 'Viper', 'Cypher']",3,239,0.98,163.0,0.97,72%,115.2,0.59,0.18,0.03,0.05,26%,18%,7/40,17,142,147,43,7,11
Jamppi,Jamppi,TL,9780,"['Killjoy', 'Skye', 'Viper', 'Kayo', 'Breach']",5,160,0.98,208.1,0.99,73%,138.2,0.72,0.22,0.15,0.08,38%,19%,3/16,21,115,116,35,24,12
tomaszy,tomaszy,KC,19691,"['Omen', 'Viper']",2,383,0.97,184.6,0.95,75%,128.7,0.66,0.34,0.09,0.07,33%,18%,8/44,30,251,264,129,36,27
logaN,logaN,M8,868,"['Cypher', 'Killjoy']",2,104,0.96,173.8,0.97,69%,117.9,0.59,0.15,0.05,0.11,30%,0%,0/15,15,61,63,16,5,11
Elite,Elite,BBL,16459,"['Viper', 'Killjoy', 'Cypher']",3,100,0.96,210.0,0.96,65%,134.7,0.72,0.23,0.1,0.1,50%,0%,0/10,20,72,75,23,10,10
sh1n,sh1n,KC,2625,"['Astra', 'Omen', 'Harbor', 'Sage']",4,383,0.96,162.2,1.0,75%,103.0,0.61,0.34,0.05,0.07,32%,15%,9/60,19,235,234,132,20,25
reazy,reazy,BBL,10146,"['Skye', 'Sova']",2,100,0.96,197.0,0.92,73%,134.9,0.66,0.34,0.04,0.04,25%,15%,4/26,18,66,72,34,4,4
qRaxs,qRaxs,FUT,1139,"['Gekko', 'Kayo', 'Raze', 'Fade']",4,182,0.95,201.6,0.89,73%,130.5,0.65,0.43,0.08,0.08,25%,18%,3/17,20,119,133,78,15,14
kamo,kamo,MKOI,14681,"['Yoru', 'Raze']",2,239,0.95,212.1,0.91,67%,144.1,0.72,0.19,0.22,0.21,24%,23%,3/13,24,171,188,46,52,51
cNed,cNed,FUT,573,"['Yoru', 'Neon', 'Chamber', 'Raze']",4,182,0.94,216.4,1.0,71%,141.4,0.75,0.18,0.15,0.16,27%,6%,1/16,22,136,136,33,27,29
starxo,starxo,MKOI,565,"['Harbor', 'Skye', 'Fade', 'Kayo']",4,239,0.94,189.8,0.94,68%,124.3,0.67,0.33,0.07,0.12,24%,21%,6/29,22,159,170,78,17,28
paTiTek,paTiTek,TH,309,"['Viper', 'Kayo']",2,208,0.93,177.2,0.85,73%,116.4,0.59,0.49,0.07,0.09,27%,18%,4/22,22,123,145,101,15,18
nataNk,nataNk,M8,5004,"['Raze', 'Phoenix']",2,104,0.93,216.6,1.0,68%,146.2,0.76,0.17,0.23,0.22,27%,29%,2/7,24,79,79,18,24,23
Mistic,Mistic,TL,1457,"['Sage', 'Brimstone', 'Omen', 'Viper']",4,160,0.92,195.9,0.93,74%,130.4,0.7,0.31,0.06,0.09,31%,17%,3/18,21,112,121,49,9,15
ShadoW,ShadoW,MKOI,451,"['Sova', 'Fade', 'Breach']",3,239,0.9,180.7,0.87,66%,116.3,0.64,0.28,0.07,0.1,22%,19%,4/21,21,153,175,67,16,23
ceNder,ceNder,VIT,4321,"['Omen', 'Viper', 'Cypher', 'Killjoy']",4,238,0.88,166.6,0.84,68%,108.6,0.58,0.27,0.1,0.09,23%,21%,5/24,23,137,163,64,23,21
Wailers,Wailers,M8,19522,"['Omen', 'Viper']",2,104,0.85,168.8,0.87,76%,111.1,0.6,0.29,0.02,0.01,30%,11%,2/18,17,62,71,30,2,1
Destrian,Destrian,VIT,1615,"['Cypher', 'Killjoy', 'Omen', 'Astra']",4,238,0.84,158.7,0.77,68%,111.9,0.54,0.32,0.06,0.09,21%,10%,3/29,19,128,166,76,14,21
QutionerX,QutionerX,BBL,10161,"['Raze', 'Jett']",2,100,0.84,210.6,0.85,66%,140.2,0.72,0.16,0.19,0.22,26%,25%,1/4,18,72,85,16,19,22
hoody,hoody,GX,2690,"['Skye', 'Breach', 'Viper']",3,124,0.81,159.7,0.73,64%,107.7,0.53,0.36,0.06,0.14,23%,11%,2/18,16,66,90,45,7,17
pAura,pAura,BBL,569,"['Breach', 'Kayo']",2,100,0.8,155.8,0.72,72%,96.4,0.56,0.41,0.09,0.07,33%,7%,1/14,20,56,78,41,9,7
Brave,Brave,BBL,8041,"['Brimstone', 'Omen', 'Viper']",3,100,0.75,155.2,0.69,67%,103.7,0.54,0.26,0.05,0.1,37%,27%,4/15,17,54,78,26,5,10
ANGE1,ANGE1,NAVI,109,"['Gekko', 'Sova', 'Omen', 'Fade']",4,146,0.75,167.1,0.77,62%,114.6,0.58,0.25,0.11,0.14,35%,0%,0/10,21,85,110,37,16,21
beyAz,beyAz,M8,220,"['Breach', 'Sova']",2,104,0.75,129.6,0.62,73%,87.4,0.41,0.49,0.05,0.05,30%,10%,1/10,14,43,69,51,5,5
Fit1nho,Fit1nho,GX,292,['Raze'],1,124,0.74,180.3,0.75,62%,120.8,0.6,0.11,0.11,0.15,23%,0%,0/11,21,74,99,14,14,18
Derke,Derke,FNC,5022,"['Raze', 'Jett']",2,88,0.74,188.5,0.84,63%,118.6,0.65,0.08,0.19,0.19,27%,0%,0/3,17,57,68,7,17,17
Redgar,Redgar,GX,1427,['Omen'],1,124,0.73,147.7,0.72,64%,99.1,0.53,0.26,0.09,0.15,30%,19%,3/16,22,66,92,32,11,19
