agent_name,total_utilization,map_utilizations
Viper,71.0,"{'Icebox': 100.0, 'Lotus': 57.0, 'Bind': 100.0, 'Split': 82.0, 'Sunset': 14.0, 'Breeze': 96.0, 'Ascent': 19.0}"
Omen,61.0,"{'Icebox': 9.0, 'Lotus': 90.0, 'Bind': 46.0, 'Split': 96.0, 'Sunset': 100.0, 'Breeze': 8.0, 'Ascent': 100.0}"
Raze,51.0,"{'Icebox': 12.0, 'Lotus': 80.0, 'Bind': 86.0, 'Split': 96.0, 'Sunset': 64.0, 'Breeze': 0.0, 'Ascent': 0.0}"
Cypher,44.0,"{'Icebox': 0.0, 'Lotus': 47.0, 'Bind': 4.0, 'Split': 39.0, 'Sunset': 75.0, 'Breeze': 100.0, 'Ascent': 63.0}"
Sova,41.0,"{'Icebox': 53.0, 'Lotus': 13.0, 'Bind': 11.0, 'Split': 0.0, 'Sunset': 36.0, 'Breeze': 100.0, 'Ascent': 100.0}"
Kayo,38.0,"{'Icebox': 50.0, 'Lotus': 0.0, 'Bind': 32.0, 'Split': 0.0, 'Sunset': 75.0, 'Breeze': 54.0, 'Ascent': 75.0}"
Gekko,31.0,"{'Icebox': 47.0, 'Lotus': 20.0, 'Bind': 71.0, 'Split': 0.0, 'Sunset': 61.0, 'Breeze': 0.0, 'Ascent': 0.0}"
Killjoy,29.0,"{'Icebox': 88.0, 'Lotus': 53.0, 'Bind': 0.0, 'Split': 4.0, 'Sunset': 7.0, 'Breeze': 0.0, 'Ascent': 38.0}"
Jett,23.0,"{'Icebox': 53.0, 'Lotus': 10.0, 'Bind': 0.0, 'Split': 4.0, 'Sunset': 0.0, 'Breeze': 38.0, 'Ascent': 75.0}"
Yoru,22.0,"{'Icebox': 3.0, 'Lotus': 0.0, 'Bind': 18.0, 'Split': 25.0, 'Sunset': 7.0, 'Breeze': 85.0, 'Ascent': 25.0}"
Skye,18.0,"{'Icebox': 0.0, 'Lotus': 0.0, 'Bind': 64.0, 'Split': 57.0, 'Sunset': 0.0, 'Breeze': 0.0, 'Ascent': 0.0}"
Breach,17.0,"{'Icebox': 0.0, 'Lotus': 43.0, 'Bind': 7.0, 'Split': 43.0, 'Sunset': 18.0, 'Breeze': 0.0, 'Ascent': 0.0}"
Sage,13.0,"{'Icebox': 53.0, 'Lotus': 13.0, 'Bind': 4.0, 'Split': 0.0, 'Sunset': 4.0, 'Breeze': 0.0, 'Ascent': 0.0}"
Fade,12.0,"{'Icebox': 0.0, 'Lotus': 50.0, 'Bind': 0.0, 'Split': 29.0, 'Sunset': 0.0, 'Breeze': 0.0, 'Ascent': 0.0}"
Brimstone,9.0,"{'Icebox': 0.0, 'Lotus': 10.0, 'Bind': 50.0, 'Split': 4.0, 'Sunset': 0.0, 'Breeze': 0.0, 'Ascent': 0.0}"
Neon,6.0,"{'Icebox': 0.0, 'Lotus': 10.0, 'Bind': 0.0, 'Split': 0.0, 'Sunset': 32.0, 'Breeze': 0.0, 'Ascent': 0.0}"
Chamber,4.0,"{'Icebox': 9.0, 'Lotus': 0.0, 'Bind': 0.0, 'Split': 14.0, 'Sunset': 0.0, 'Breeze': 0.0, 'Ascent': 0.0}"
Astra,3.0,"{'Icebox': 0.0, 'Lotus': 0.0, 'Bind': 0.0, 'Split': 4.0, 'Sunset': 0.0, 'Breeze': 15.0, 'Ascent': 0.0}"
Harbor,3.0,"{'Icebox': 12.0, 'Lotus': 0.0, 'Bind': 4.0, 'Split': 0.0, 'Sunset': 0.0, 'Breeze': 0.0, 'Ascent': 0.0}"
Reyna,2.0,"{'Icebox': 12.0, 'Lotus': 0.0, 'Bind': 0.0, 'Split': 0.0, 'Sunset': 0.0, 'Breeze': 0.0, 'Ascent': 0.0}"
Phoenix,2.0,"{'Icebox': 0.0, 'Lotus': 3.0, 'Bind': 0.0, 'Split': 4.0, 'Sunset': 0.0, 'Breeze': 4.0, 'Ascent': 6.0}"
Deadlock,2.0,"{'Icebox': 0.0, 'Lotus': 0.0, 'Bind': 4.0, 'Split': 0.0, 'Sunset': 7.0, 'Breeze': 0.0, 'Ascent': 0.0}"
Clove,0.0,"{'Icebox': 0.0, 'Lotus': 0.0, 'Bind': 0.0, 'Split': 0.0, 'Sunset': 0.0, 'Breeze': 0.0, 'Ascent': 0.0}"
Tejo,0.0,"{'Icebox': 0.0, 'Lotus': 0.0, 'Bind': 0.0, 'Split': 0.0, 'Sunset': 0.0, 'Breeze': 0.0, 'Ascent': 0.0}"
Vyse,0.0,"{'Icebox': 0.0, 'Lotus': 0.0, 'Bind': 0.0, 'Split': 0.0, 'Sunset': 0.0, 'Breeze': 0.0, 'Ascent': 0.0}"
Waylay,0.0,"{'Icebox': 0.0, 'Lotus': 0.0, 'Bind': 0.0, 'Split': 0.0, 'Sunset': 0.0, 'Breeze': 0.0, 'Ascent': 0.0}"
Iso,0.0,"{'Icebox': 0.0, 'Lotus': 0.0, 'Bind': 0.0, 'Split': 0.0, 'Sunset': 0.0, 'Breeze': 0.0, 'Ascent': 0.0}"
